swift_code,id,bank,city,branch
ASACUZ22,1,ASIA ALLIANCE BANK,TASHKENT,None
CBUZUZ22,2,CENTRAL BANK OF THE REPUBLIC UZBEKISTAN,TASHKENT,None
CRIDUZ21,3,CREDIT-STANDARD BANK,TASHKENT,None
HPCJUZ22,4,'HI-TECH BANK' PRIVATE CLOSED JOINT STOCK COMMERCIAL BANK,TASHKENT,None
INFBUZ2X,5,INFINBANK,TASHKENT,None
UZHOUZ22,6,IPOTEKA-BANK,TASHKENT,None
PAKHUZ22,7,JOINT STOCK COMMERCIAL BANK 'AGROBANK',TASHKENT,None
JSCSUZ22,8,JOINT STOCK COMMERCIAL BANK SAVDOGAR,TASHKENT,None
ASBKUZ22,9,JOINT-STOCK COMMERCIAL BANK ASAKA,TASHKENT,None
TUROUZ21AND,10,JOINT-STOCK COMMERCIAL BANK TURONBANK,ANDIJAN,(ANDIJAN BRANCH)
TUROUZ21BUH,11,JOINT-STOCK COMMERCIAL BANK TURONBANK,BUKHARA,(BUKHARA BRANCH)
TUROUZ21FER,12,JOINT-STOCK COMMERCIAL BANK TURONBANK,FERGHANA,(FERGANA BRANCH)
TUROUZ21SYR,13,JOINT-STOCK COMMERCIAL BANK TURONBANK,GULISTAN,(SYRDARYA BRANCH)
TUROUZ21JIZ,14,JOINT-STOCK COMMERCIAL BANK TURONBANK,JIZZAH,(JIZZAH BRANCH)
TUROUZ21KAR,15,JOINT-STOCK COMMERCIAL BANK TURONBANK,KARSHI,(KARSHI BRANCH)
TUROUZ21NAM,16,JOINT-STOCK COMMERCIAL BANK TURONBANK,NAMANGAN,(NAMANGAN BRANCH)
TUROUZ21NAV,17,JOINT-STOCK COMMERCIAL BANK TURONBANK,NAVOI,(NAVOI BRANCH)
TUROUZ21NUK,18,JOINT-STOCK COMMERCIAL BANK TURONBANK,NUKUS,(NUKUS BRANCH)
TUROUZ21SAM,19,JOINT-STOCK COMMERCIAL BANK TURONBANK,SAMARKAND,(SAMARKAND BRANCH)
TUROUZ21SHK,20,JOINT-STOCK COMMERCIAL BANK TURONBANK,SHAKHRISABZ,(SHAKHRISABZ BRANCH)
TUROUZ21CHL,21,JOINT-STOCK COMMERCIAL BANK TURONBANK,TASHKENT,(CHILANZAR BRANCH)
TUROUZ21KHZ,22,JOINT-STOCK COMMERCIAL BANK TURONBANK,TASHKENT,(KHAMZA BRANCH)
TUROUZ21MIR,23,JOINT-STOCK COMMERCIAL BANK TURONBANK,TASHKENT,(MIROBOD BRANCH)
TUROUZ22,24,JOINT-STOCK COMMERCIAL BANK TURONBANK,TASHKENT,None
TUROUZ21SUR,25,JOINT-STOCK COMMERCIAL BANK TURONBANK,TERMEZ,(SURKHANDARYA BRANCH)
TUROUZ21KHR,26,JOINT-STOCK COMMERCIAL BANK TURONBANK,URGENCH,(KHOREZM BRANCH)
TUROUZ21ZAN,27,JOINT-STOCK COMMERCIAL BANK TURONBANK,ZANGIOTA,(ZANGIOTA BRANCH)
SCPEUZ22,28,JOINT-STOCK COMMERCIAL XALQ BANK OF THE REPUBLIC OF UZBEKISTAN,TASHKENT,None
JSCLUZ22,29,JSC ALOQABANK,TASHKENT,None
INIPUZ21AND,30,JSIC BANK IPAK YULI,ANDIJAN,(ANDIJAN)
INIPUZ21QAR,31,JSIC BANK IPAK YULI,KARSHI,(KARSHI)
INIPUZ21NAM,32,JSIC BANK IPAK YULI,NAMANGAN,(NAMANGAN)
INIPUZ21NAV,33,JSIC BANK IPAK YULI,NAVOI,(NAVOI BRANCH)
INIPUZ21UMA,34,JSIC BANK IPAK YULI,SAMARKAND,(REGIONAL BRANCH 'UMAR')
INIPUZ21SHZ,35,JSIC BANK IPAK YULI,SHAKHRISABZ,(SHAKHRISABZ)
INIPUZ21CHL,36,JSIC BANK IPAK YULI,TASHKENT,(CHILANZAR)
INIPUZ21MRB,37,JSIC BANK IPAK YULI,TASHKENT,(MIRABAD BRANCH)
INIPUZ21MUB,38,JSIC BANK IPAK YULI,TASHKENT,(MIRZO ULUGBEK BRANCH)
INIPUZ21SGB,39,JSIC BANK IPAK YULI,TASHKENT,(SAGBON)
INIPUZ21SHB,40,JSIC BANK IPAK YULI,TASHKENT,(SHAYHONTOHUR)
INIPUZ21URB,41,JSIC BANK IPAK YULI,TASHKENT,(URIKZOR BRANCH)
INIPUZ21YKB,42,JSIC BANK IPAK YULI,TASHKENT,(YAKKASARAY BRANCH)
INIPUZ22,43,JSIC BANK IPAK YULI,TASHKENT,None
INIPUZ21YNG,44,JSIC BANK IPAK YULI,YANGIYUL,(YANGIYUL')
KACHUZ22,45,KAPITALBANK, JSCB,TASHKENT,None
KODBUZ22,46,KDB BANK UZBEKISTAN JSC,TASHKENT,None
KHKKUZ22,47,KHAMKORBANK AKB,ANDIZHAN,None
XKCEUZ31,48,KHOREZM INTERREGION COMMODITY EXCHANGE,TASHKENT,None
MICDUZ22,49,MICROCREDITBANK,TASHKENT,None
NBFAUZ2X,50,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REPUBLIC OF UZBEKISTAN,TASHKENT,None
OJMIUZ21,51,OJSC MICROCREDITBANK,TASHKENT,None
ORFBUZ22,52,PJSCB 'ORIENT FINANCE',TASHKENT,None
TRKSUZ22,53,PJSCB TURKISTON,TASHKENT,None
PJUNUZ22,54,PJSCB UNIVERSAL BANK,KOKAND,None
DVRBUZ22,55,PRIVATE BANK 'DAVR BANK',TASHKENT,None
GJSOUZ22,56,'QISHLOQ QURILISH BANK' JOINT-STOCK COMMERCIAL BANK,TASHKENT,None
RVBKUZ22,57,RAVNAQ BANK,TASHKENT,None
TRSAUZ22,58,TRUSTBANK, PRIVATE JOINT STOCK-EXCHANGE BANK,TASHKENT,None
POUNUZ21,59,UNIVERSAL BANK PRIVATE JOINT-STOCK COMMERCIAL BANK,KOKANY,None
XUNIUZ21,60,UNIVERSAL BROKER'S EXCHANGE 'TASHKENT',TASHKENT,None
XCETUZ21,61,UNIVERSAL COMMODITY EXCHANGE 'TASHKENT',TASHKENT,None
UZTUUZ22,62,UT-BANK,TASHKENT,None
UJSIUZ22,63,'UZBEK INDUSTRIAL AND CONSTRUCTION BANK' JOINT-STOCK COMMERCIAL BANK,TASHKENT,None
XCUEUZ21,64,UZBEKISTAN REPUBLICAN CURRENCY EXCHANGE, THE,TASHKENT,None
XSTEUZ21,65,UZBEKISTAN STOCK EXCHANGE,TASHKENT,None
