swift_code,id,bank,city,branch
BTBBVCVC,1,B2B BANK LIMITED,KINGSTOWN,None
NOSCVCVC,2,BANK OF NOVA SCOTIA,THE,KINGSTOWN,None
NCBVVC22,3,BANK OF ST. VINCENT AND THE GRENADINES LTD.,KINGSTOWN,None
CADTVC21,4,CARIBBEAN AND OVERSEAS TRUST BANK,KINGSTOWN,None
EPBLVCVC,5,EURO PACIFIC BANK LIMITED,KINGSTOWN,None
FCIBVCVC,6,FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS) LIMITED,KINGSTOWN,None
GVVGVCVC,7,GOVERNMENT OF ST.VINCENT AND THE GRENADINES,KINGSTOWN,None
LOYAVCVX,8,LOYAL BANK LIMITED,KINGSTOWN,None
RBTTVCVC022,9,RBTT BANK CARRIBEAN LIMITED,BEQUIA,None
RBTTVCVC,10,RBTT BANK CARRIBEAN LIMITED,KINGSTOWN,None
STBSVCV1,11,STB SWISS TRUST BANK LTD,KINGSTOWN,None
VDBLVCV1,12,VANILLA DIRECT BANK LTD.,KINGSTOWN,None
