swift_code,id,bank,city,branch
FNCOVECA,1,100 0/0 BANCO, BANCO UNIVERSAL, C.A.,CARACAS,None
ASDCVEC1,2,ACTIVALORES SOCIEDAD DE CORRETAJE S.A.,,CARACAS,None
ARAFVEC1,3,ARAVEN FINANCE LTD.,CARACAS,None
ACONVEC1,4,ARRENDADORA CONSOLIDADO,CARACAS,None
ARBZVEC1,5,ARRENDADORA DE VENEZUELA BANVENEZ, SACA,CARACAS,None
AORIVEC1,6,ARRENDADORA DEL ORINOCO, CA,CARACAS,None
ARPRVEC1,7,ARRENDADORA PROVINCIAL,CARACAS,None
BAMTVEC1,8,BAMERINVEST,CARACAS,None
BMIGVECA,9,BANCAMIGA BANCO MICROFINANCIERO,CARACAS,None
BCBOVEC1,10,BANCARACAS CASA DE BOLSA, C.A.,CARACAS,None
ACTIVECA,11,BANCO ACTIVO, C.A. BANCO UNIVERSAL,CARACAS,None
BAVEVEC1,12,BANCO AGRICOLA DE VENEZUELA, C.A. BANCO UNIVERSAL,CARACAS,None
CONDVECP,13,BANCO BICENTENARIO DEL PUEBLO DE LA CLASE OBRERA, MUJER Y COMUNAS BANCO UNIVERSAL,CARACAS,None
BOCAVEC1,14,BANCO CANARIAS DE VENEZUELA C.A.,CARACAS,None
CAROVECA,15,BANCO CARONI, C.A. BANCO UNIVERSAL,CARACAS,None
CAROVECA022,16,BANCO CARONI, C.A. BANCO UNIVERSAL,PUERTO ORDAZ,None
BCVEVECA,17,BANCO CENTRAL DE VENEZUELA,CARACAS,None
BCEVVECA,18,BANCO DE COMERCIO EXTERIOR,CARACAS,None
BDAGVEC1,19,BANCO DE DESARROLLO AGROPECUARIO,CARACAS,None
FIVVVECA,20,BANCO DE DESARROLLO ECONOMICO Y SOCIAL DE VENEZUELA,CARACAS,None
BECUVECA,21,BANCO DE EXPORTACION Y COMERCIO C.A.,CARACAS,None
BFRCVE21,22,BANCO DE FOMENTO REGIONAL CORO, C.A.,CORO,None
BFRAVE21,23,BANCO DE FOMENTO REGIONAL LOS ANDES,SAN CRISTOBAL,None
BFANVECA,24,BANCO DE LA FUERZA ARMADA NACIONAL BOLIVARIANA, BANCO UNIVERSAL, C.A. (BANFANB),CARACAS,None
PRBAVEC1,25,BANCO DE LA PROVINCIA DE BUENOS AIRES,CARACAS,None
VZLAVECA,26,BANCO DE VENEZUELA, S.A. BANCO UNIVERSAL,CARACAS,None
LLBAVECA,27,BANCO DEL ALBA,CARACAS,None
CARBVECA,28,BANCO DEL CARIBE C.A. BANCO UNIVERSAL,CARACAS,None
BDTEVECA,29,BANCO DEL TESORO, C.A. BANCO UNIVERSAL,CARACAS,None
BEXTVECA,30,BANCO EXTERIOR, C.A. BANCO UNIVERSAL,CARACAS,None
BANFVEC1022,31,BANCO FINANCIERO,BARQUISIMETO,None
BANFVEC1,32,BANCO FINANCIERO,CARACAS,None
BANFVEC102M,33,BANCO FINANCIERO,MARACAIBO,None
BANFVEC102P,34,BANCO FINANCIERO,PORLAMAR,None
BANFVEC102C,35,BANCO FINANCIERO,PUERTO LA CRUZ,None
BHARVEC1,36,BANCO HIPOTECARIO DE ARAGUA,MARACAY,None
BHVIVEC1,37,BANCO HIPOTECARIO DE LA VIVIENDA,CARACAS,None
HBORVEC1,38,BANCO HIPOTECARIO DEL ORINOCO, C.A,PUERTO ORDAZ,None
BHZUVE21,39,BANCO HIPOTECARIO DEL ZULIA C A,MARACAIBO,None
BHVEVEC1,40,BANCO HIPOTECARIO VENEZOLANO, C.A.,CARACAS,None
INDSVECA,41,BANCO INDUSTRIAL DE VENEZUELA, C.A.,CARACAS,None
BIAPVEC1,42,BANCO INTERAMERICANO DE AHORRO Y PRESTAMO, S A,CARACAS,None
BNAPVEC1,43,BANCO NACIONAL DE AHORRO Y PRESTAMO,CARACAS,None
NCRTVECA001,44,BANCO NACIONAL DE CREDITO, C.A.,CARACAS,(SUCURSAL 001)
NCRTVECA,45,BANCO NACIONAL DE CREDITO, C.A.,CARACAS,None
BNOVVE21,46,BANCO NOR-ORIENTAL DE VENEZUELA,PUERTO LA CRUZ,None
BODEVE2MCCS,47,BANCO OCCIDENTAL DE DESCUENTO BU C.A.,CARACAS,(SUCURSAL CARACAS)
BODEVE2M,48,BANCO OCCIDENTAL DE DESCUENTO BU C.A.,MARACAIBO,None
PLZAVECA,49,BANCO PLAZA,CARACAS,None
BPROVECASUC,50,BANCO PROVINCIAL S.A.,CARACAS,None
BPROVECA,51,BANCO PROVINCIAL S.A. BANCO UNIVERSAL,CARACAS,None
BPROVECAMAR,52,BANCO PROVINCIAL S.A. BANCO UNIVERSAL,MARACAIBO,None
BPROVECAPZO,53,BANCO PROVINCIAL S.A. BANCO UNIVERSAL,PUERTO ORDAZ,None
SFTAVE22,54,BANCO SOFITASA,SAN CRISTOBAL,None
CCERVECA,55,BANCRECER S.A. BANCO MICROFINANCIERO,CARACAS,None
