swift_code,id,bank,city,branch
ABVIVGVG,1,BANK OF ASIA (BVI) LIMITED,TORTOLA,None
BEVCVGV1,2,BEVCO LIMITED,TORTOLA,None
BEVCVGV1BEV,3,BEVCO LIMITED,TORTOLA,None
BCCLVGV1,4,BURSATIL CLEARING CORPORATION LIMITED,TORTOLA,None
CACFVGV1,5,CARLSSON CURRENCY FUND LIMITED,ROADTOWN,None
CHGLVGVG,6,CHALHOUB GROUP LIMITED,TORTOLA,None
CHNIVGV1,7,CHEMIUM INTERNATIONAL CORP.,TORTOLA,None
CBMBVGV1,8,CIMB LIMITED,TORTOLA,None
SHILVGV1,9,DE SHAW INTERNATIONAL,TORTOLA,None
EUCTVGV1,10,EUROWIRE CLEARING CORPORATION,ROADTOWN,None
EVCMVGV1,11,EVERYOUNG CAPITAL MANAGEMENT LIMITED,TORTOLA,None
FCIBVGVG,12,FIRSTCARIBBEAN INTERNATIONAL BANK (CAYMAN) LTD,TORTOLA,None
BEXGVGVG,13,GORDEL HOLDINGS LIMITED,TORTOLA,None
IBIFVGV1,14,IBIS INTERNATIONAL FUND LIMITED,TORTOLA,None
IFXGVGV1,15,IFXBG LIMITED,ROADTOWN,None
IOVSVGV1,16,ION VOLIUM STRATEGY LIMITED,ROADTOWN,None
LAMFVGV1,17,LIM ASIA MULTI-STRATEGY FUND INC.,ROADTOWN,None
LAPTVGV1,18,LIM ASIA SPECIAL SITUATIONS MASTER FUND LIMITED,ROADTOWN,None
MVOCVGV1,19,MVM OVERSEAS CAPITAL LTD,ROADTOWN,None
OUCAVGV1,20,OURINVEST CAPITAL INC,TORTOLA,None
PAIEVGV1,21,PACIFIC ALLIANCE INVESTMENT MANAGEMENT LIMITED,TORTOLA,None
PACGVGV1,22,PACIFIC CAPITAL GROUP LIMITED,TORTOLA,None
PYMAVGV1,23,PYRRHO MANAGEMENT LIMITED,TORTOLA,None
QUAAVGV1,24,QUANT ASSET MANAGEMENT,TORTOLA,None
RAMBVGV1,25,RAMBURS INC,TORTOLA,None
NOSCVGVG,26,SCOTIABANK (BRITISH VIRGIN ISLANDS) LTD.,TORTOLA,None
VSAMVGV1,27,VALUE STAR ASSET MANAGEMENT,TORTOLA,None
VPBVVGV1,28,VP BANK (BVI) LTD,TORTOLA,None
