swift_code,id,bank,city,branch
ACBSVN21,1,ACB SECURITIES CO., LTD,HO CHI MINH CITY,None
AIACVNVXGIO,2,AIA (VIETNAM)LIFE INSURANCE COMPANY LIMITED,HO CHI MINH CITY,(GENERAL INVESTMENT OPERATIONS)
AIACVNVX,3,AIA (VIETNAM)LIFE INSURANCE COMPANY LIMITED,HO CHI MINH CITY,None
ABBKVNVX,4,AN BINH COMMERCIAL JOINT STOCK BANK,HO CHI MINH CITY,None
ANZBVNVX,5,ANZ BANK(VIETNAM) LIMITED,HANOI,None
ANZBVNVX472,6,ANZ BANK(VIETNAM) LIMITED,HO CHI MINH CITY,None
ASCBVNVX,7,ASIA COMMERCIAL BANK,HO CHI MINH CITY,None
BKKBVNVXHAN,8,BANGKOK BANK PCL,HANOI,(HANOI BRANCH)
BKKBVNVX,9,BANGKOK BANK PCL,HO CHI MINH CITY,(HO CHI MINH BRANCH)
BKKBVNV10V5,10,BANGKOK BANK PUBLIC COMPANY LIMITED,HANOI,None
BKCHVNVX,11,BANK OF CHINA,HO CHI MINH CITY,None
COMMVNVX,12,BANK OF COMMUNICATIONS CO.,LTD HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
BKIDVNVX,13,BANK OF INDIA,HO CHI MINH CITY,None
BOTKVNVX,14,BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE,HO CHI MINH CITY,(HO CHI MINH CITY BRANCH)
SINOVNVX,15,BANK SINOPAC HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
BVSCVNV1,16,BAO VIET SECURITIES COMPANY,HO CHI MINH CITY,None
BVBVVNVX,17,BAOVIET JOINT STOCK COMMERCIAL BANK,HANOI,None
BNPAVNVX,18,BNP PARIBAS HANOI BRANCH,HANOI,None
BNPAVNVN,19,BNP PARIBAS VIETNAM - HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
BFCEVNVX,20,BPCE IOM - HO CHI MINH CITY BRANCH (FORMERLY NATIXIS BRANCH IN HO CHI MINH CITY),HO CHI MINH CITY,None
BATSVNV1,21,BRITISH AMERICAN TOBACCO VINATABA (JV) LTD,BIEN HOA,None
PCBCVNVX,22,CHINA CONSTRUCTION BANK CORPORATION HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
CIBBVNVN,23,CIMB BANK (VIETNAM) LIMITED,HANOI,None
CITIVNVX,24,CITIBANK N.A.,HANOI,None
CITIVNVXHCM,25,CITIBANK N.A.,HO CHI MINH CITY,(HO CHIH MIN CITY BRANCH)
CTBAVNVX,26,COMMONWEALTH BANK OF AUSTRALIA HO CHI MINH CITY,HO CHI MINH CITY,None
GTBAVNVX,27,CONSTRUCTION BANK,TAN AN,None
CTCBVNVX,28,CTBC BANK CO., LTD HOCHI MINH CITY BRANCH,HO CHI MINH CITY,None
DNDBVNV1,29,DAI-NAM NGAN-HANG (DAI-NAM BANK),HANOI,None
DBSSVNVX,30,DBS BANK LTD.- HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
DEUTVNVX,31,DEUTSCHE BANK, HO CHI MINH CITY BRANCH,HO CHI MINH CITY,None
EACBVNVX,32,DONGA BANK,HO CHI MINH CITY,None
ESUNVNVX,33,E.SUN COMMERCIAL BANK LTD DONG NAI BRANCH,BIEN HOA,None
FCBKVNVXHAN,34,FIRST COMMERCIAL BANK,HANOI,(HANOI BRANCH)
FCBKVNVX,35,FIRST COMMERCIAL BANK,HO CHI MINH CITY,None
GBNKVNVX,36,GLOBAL PETRO SOLE MEMBER LIMITED COMMERCIAL BANK (GPBANK),HANOI,None
HSCCVN21,37,HO CHI MINH SECURITIES CORPORATION,HO CHI MINH CITY,None
HDBCVNVX008,38,HOCHIMINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK,HANOI,(HDB - HANOI BRANCH )
HDBCVNVX,39,HOCHIMINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK,HO CHI MINH CITY,None
HLBBVNVX002,40,HONG LEONG BANK VIETNAM LIMITED,HANOI,(HANOI BRANCH)
HLBBVNVX,41,HONG LEONG BANK VIETNAM LIMITED,HO CHI MINH CITY,None
HSCRVNV1,42,HORIZON SECURITIES CORPORATION (HRS),HO CHI MINH CITY,None
HSBCVNVX004,43,HSBC BANK (VIETNAM) LTD.,BINH DUONG,None
HSBCVNVX003,44,HSBC BANK (VIETNAM) LTD.,CAN THO,None
HSBCVNVX005,45,HSBC BANK (VIETNAM) LTD.,DA NANG,None
HSBCVNVXVHN,46,HSBC BANK (VIETNAM) LTD.,HANOI,(HANOI BRANCH)
HSBCVNVX,47,HSBC BANK (VIETNAM) LTD.,HO CHI MINH CITY,None
HSCCVNV1,48,HSC,HO CHI MINH CITY,None
HNBKVNVX,49,HUA NAN COMMERCIAL BANK, LTD. HOCHIMINH CITY BRANCH,HO CHI MINH CITY,None
ICBKVNVN,50,ICBC HANOI BRANCH,HANOI,None
IABBVNVX,51,INDOVINA BANK LTD.,HO CHI MINH CITY,None
IBKOVNVXHAN,52,INDUSTRIAL BANK OF KOREA, VIETNAM,HANOI,(HANOI BRANCH)
IBKOVNVX,53,INDUSTRIAL BANK OF KOREA, VIETNAM,HO CHI MINH CITY,None
BFTVVNVX015,54,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,AN GIANG,(AN GIANG BRANCH)
BFTVVNVX047,55,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,AN GIANG,(CHAU DOC BRANCH)
BFTVVNVX073,56,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BAC GIANG,(BAC GIANG BRANCH)
BFTVVNVX089,57,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BAC LIEU,(BAC LIEU BRANCH)
BFTVVNVX035,58,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BAC NINH,(BAC NINH BRANCH)
BFTVVNVX048,59,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BIEN HOA,(BIEN HOA BRANCH)
BFTVVNVX084,60,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG,(BAC BINH DUONG BRANCH)
BFTVVNVX028,61,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG,(BINH DUONG BRANCH)
BFTVVNVX046,62,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG,(SONG THAN BRANCH)
BFTVVNVX041,63,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BINH DUONG,(SOUTH BINH DUONG BRANCH)
BFTVVNVX023,64,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BUON MA THUOT,(DAK LAK BRANCH)
BFTVVNVX019,65,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CA MAU,(CA MAU BRANCH)
BFTVVNVX011,66,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CAN THO,(CAN THO BRANCH)
BFTVVNVX039,67,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CAN THO,(TAY DO BRANCH)
BFTVVNVX056,68,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DA LAT,(DA LAT BRANCH)
BFTVVNVX004,69,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DA NANG,(DA NANG BRANCH)
BFTVVNVX012,70,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG NAI,(DONG NAI BRANCH)
BFTVVNVX087,71,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG NAI,(LONG KHANH BRANCH)
BFTVVNVX040,72,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG NAI,(NHON TRACH BRANCH)
BFTVVNVX060,73,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG THAP,(DONG THAP BRANCH)
BFTVVNVX029,74,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,GIA LAI,(GIA LAI BRANCH)
BFTVVNVX090,75,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HA NAM,(HA NAM BRANCH)
BFTVVNVX064,76,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HA TINH,(BAC HA TINH BRANCH)
BFTVVNVX020,77,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HA TINH,(HA TINH BRANCH)
BFTVVNVX034,78,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HAI DUONG,(HAI DUONG BRANCH)
BFTVVNVX003,79,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HAIPHONG,(HAIPHONG BRANCH)
BFTVVNVX052,80,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HALONG,(HA LONG BRANCH)
BFTVVNVX061,81,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(BA DINH BRANCH)
BFTVVNVX054,82,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(CHUONG DUONG BRANCH)
BFTVVNVX096,83,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(DONG ANH BRANCH)
BFTVVNVX069,84,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(HA TAY BRANCH)
BFTVVNVX002,85,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(HANOI BRANCH)
BFTVVNVX,86,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(HEAD OFFICE)
BFTVVNVX030,87,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(HOAN KIEM BRANCH)
BFTVVNVX093,88,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(HOANG MAI BRANCH)
BFTVVNVX097,89,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(NAM HANOI BRANCH)
BFTVVNVX001,90,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(OPERATIONS CENTRE)
BFTVVNVX085,91,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(PRIVATE BANKING BRANCH)
BFTVVNVX094,92,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(SOC SON BRANCH)
BFTVVNVX099,93,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(TAY HO BRANCH)
BFTVVNVX049,94,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(THANG LONG BRANCH)
BFTVVNVX045,95,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(THANH CONG BRANCH)
BFTVVNVX071,96,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HANOI,(THANH XUAN BRANCH)
BFTVVNVX033,97,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(BEN THANH BRANCH)
BFTVVNVX025,98,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(BINH TAY BRANCH)
BFTVVNVX051,99,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(DISTRICT 5 BRANCH)
BFTVVNVX007,100,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(HO CHI MINH CITY BRANCH)
BFTVVNVX072,101,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(KY DONG BRANCH)
BFTVVNVX042,102,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(PHU THO BRANCH)
BFTVVNVX053,103,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(SAIGON EAST BRANCH)
BFTVVNVX050,104,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(SAIGON NORTH BRANCH)
BFTVVNVX018,105,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(SOUTH SAI GON BRANCH)
BFTVVNVX044,106,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(TAN BINH BRANCH)
BFTVVNVX037,107,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(TAN DINH BRANCH)
BFTVVNVX038,108,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HO CHI MINH CITY,(THU DUC BRANCH)
BFTVVNVX016,109,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HUE CITY,(HUE CITY BRANCH)
BFTVVNVX059,110,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HUNG YEN,(HUNG YEN BRANCH)
BFTVVNVX058,111,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,KHANH HOA,(CAM RANH BRANCH)
BFTVVNVX009,112,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,KIEN GIANG,(KIEN GIANG BRANCH)
BFTVVNVX076,113,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,KON TUM,(KON TUM BRANCH)
BFTVVNVX098,114,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,LANG SON,(LANG SON BRANCH)
BFTVVNVX095,115,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,LAO CAI,(LAO CAI BRANCH)
BFTVVNVX063,116,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,LONG AN,(LONG AN BRANCH)
BFTVVNVX055,117,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,MONG CAI,(MONG CAI BRANCH)
BFTVVNVX067,118,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,MY THO,(TIEN GIANG BRANCH)
BFTVVNVX083,119,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,NAM DINH,(NAM DINH BRANCH)
BFTVVNVX006,120,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,NHA TRANG,(KHANH HOA BRANCH)
BFTVVNVX022,121,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,NINH BINH,(NINH BINH BRANCH)
BFTVVNVX081,122,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,PHAN RANG,(NINH THUAN BRANCH)
BFTVVNVX062,123,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,PHAN THIET,(BINH THUAN BRANCH)
BFTVVNVX075,124,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,PHU YEN,(PHU YEN BRANCH)
BFTVVNVX031,125,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG BINH,(QUANG BINH BRANCH)
BFTVVNVX065,126,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG NAM,(QUANG NAM BRANCH)
BFTVVNVX057,127,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG NGAI,(DUNG QUAT BRANCH)
BFTVVNVX027,128,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG NGAI,(QUANG NGAI BRANCH)
BFTVVNVX014,129,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG NINH,(QUANG NINH BRANCH)
BFTVVNVX077,130,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUANG TRI,(QUANG TRI BRANCH)
BFTVVNVX043,131,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,QUI NHON,(PHU TAI BRANCH)
