swift_code,id,bank,city,branch
ALBUVUVV,1,ALPEN BARUCH BANK LIMITED,PORT VILA,None
ANZBVUVX,2,ANZ BANK (VANUATU) LTD,VILA,None
AMBVVUVU,3,ASIA MERCHANT BANK LIMITED,PORT VILA,None
BOSPVUVX,4,BANK SOUTH PACIFIC (VANUATU) LIMITED,VILA,None
BREDVUVU,5,BRED (VANUATU) LTD,PORT VILA,None
FPBLVUV1,6,FINANCIAL PARTNERS BANK LIMITED,PORT VILA,None
GRCRVUV1,7,GREENROCK SECURITIES LIMITED,PORT VILA,None
INKRVUV1,8,INTEGRATED MARKETS LTD,PORT VILA,None
ITLIVUV1,9,INVESTORS' TRUST LIMITED,VILA,None
MGCBVUVV,10,MG COMMERCIAL BANK LIMITED,PORT VILA,None
NBOVVUVU,11,NATIONAL BANK OF VANUATU LIMITED,PORT VILA,None
NAIOVUV1,12,NAUTILUS INTERNATIONAL BANK LTD,PORT VILA,None
PITCVUV1,13,PACIFIC INTERNATIONAL TRUST CO. LTD,PORT VILA,None
PPBLVUVU,14,PACIFIC PRIVATE BANK LIMITED,PORT VILA,None
PBCLVUVV,15,PROSPERITY BANKING CORPORATION LIMITED,PORT VILA,None
RBVAVUVU,16,RESERVE BANK OF VANUATU,PORT VILA,None
VANTVUVU,17,VANTU BANK LIMITED,PORT VILA,None
VITRVUV1,18,VANUATU INTERNATIONAL TRUST COMPANY LIMITED,PORT VILA,None
