swift_code,id,bank,city,branch
AARMYESA,1,AL-AMAL MICROFINANCE BANK (AMB),SANAA,None
KRMBYESA,2,ALKURAIMI ISLAMIC MICROFINANCE BANK,SANAA,None
ARABYESAADN,3,ARAB BANK PLC - YEMEN,ADEN,(ADEN BRANCH)
ARABYESAHOD,4,ARAB BANK PLC - YEMEN,HODEIDA,(HODAIDA BRANCH)
ARABYES102H,5,ARAB BANK PLC - YEMEN,HODEIDA,None
ARABYESAIBB,6,ARAB BANK PLC - YEMEN,IBB,(IBB BRANCH)
ARABYESAMKL,7,ARAB BANK PLC - YEMEN,MUKALLA,(MUKALLA BRANCH)
ARABYESACOU,8,ARAB BANK PLC - YEMEN,SANAA,(CENTRAL OPERATION UNIT)
ARABYESAINV,9,ARAB BANK PLC - YEMEN,SANAA,(PAYMENTS INVESTIGATIONS)
ARABYESASA1,10,ARAB BANK PLC - YEMEN,SANAA,(SANAA BRANCH)
ARABYESAYBC,11,ARAB BANK PLC - YEMEN,SANAA,(YEMEN BRANCH CENTRE)
ARABYESA,12,ARAB BANK PLC - YEMEN,SANAA,None
ARABYESATAZ,13,ARAB BANK PLC - YEMEN,TAIZZ,(TAIZZ BRANCH)
ARABYES102T,14,ARAB BANK PLC - YEMEN,TAIZZ,None
BAYEYEY1,15,BANK OF YEMEN,ADEN,None
CBYEYESA,16,CENTRAL BANK OF YEMEN,ADEN,None
CACBYESASAN,17,COOPERATIVE AND AGRICULTURAL CREDIT BANK,SANAA,(HEAD OFFICE)
CACBYESA,18,COOPERATIVE AND AGRICULTURAL CREDIT BANK,SANAA,None
CACBYESAYIS,19,COOPERATIVE AND AGRICULTURAL CREDIT BANK,SANAA,None
HOCBYES1,20,HOUSING CREDIT BANK,SANAA,None
IBOYYESA,21,INTERNATIONAL BANK OF YEMEN Y.S.C.,SANAA,None
ISBYYESA107,22,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,ADEN,(ADEN - CRATER BRANCH)
ISBYYESA109,23,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,ADEN,(SHEIKH OTHMAN BRANCH)
ISBYYESA103,24,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,HODEIDA,(HODEIDAH BRANCH)
ISBYYESA101,25,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,SANAA,(SANA'A BRANCH)
ISBYYESA,26,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,SANAA,None
ISBYYESA105,27,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT,TAIZZ,(TAIZ BRANCH)
MOFYYES1,28,MINISTRY OF FINANCE,SANAA,None
NBOYYESA001,29,NATIONAL BANK OF YEMEN,ADEN,(AIDROOS BRANCH)
NBOYYESA002,30,NATIONAL BANK OF YEMEN,ADEN,(ARAWA BRANCH)
NBOYYESA003,31,NATIONAL BANK OF YEMEN,ADEN,(MALAA BRANCH)
NBOYYESA,32,NATIONAL BANK OF YEMEN,ADEN,None
NBOYYESA034,33,NATIONAL BANK OF YEMEN,HODEIDA,(HODEIDA BRANCH)
NBOYYESA009,34,NATIONAL BANK OF YEMEN,MUKALLA,(MUKALLA)
NBOYYESA033,35,NATIONAL BANK OF YEMEN,SANAA,(SANAA BRANCH)
NBOYYESA007,36,NATIONAL BANK OF YEMEN,SEIYUN,(SEIYUN BRANCH)
QNBAYESA,37,QATAR NATIONAL BANK SAQ,SANAA,None
RAFBYES1,38,RAFIDAIN BANK,SANAA,None
SAAIYESA,39,SABA ISLAMIC BANK,SANAA,None
SBYBYESA,40,SHAMIL BANK OF YEMEN AND BAHRAIN,SANAA,None
TIBKYESA103,41,TADHAMON INTERNATIONAL ISLAMIC BANK,ADEN,(ADEN BRANCH)
TIBKYESA104,42,TADHAMON INTERNATIONAL ISLAMIC BANK,HODEIDA,(HODEIDA BRANCH)
TIBKYESA105,43,TADHAMON INTERNATIONAL ISLAMIC BANK,MUKALLA,(MUKALLA BRANCH)
TIBKYESA101,44,TADHAMON INTERNATIONAL ISLAMIC BANK,SANAA,(SANAA BRANCH)
TIBKYESA,45,TADHAMON INTERNATIONAL ISLAMIC BANK,SANAA,None
