swift_code,id,bank,city,branch
ECATZAJ4,1,28E CAPITAL PTY LTD,CENTURION,None
AAXXZAJJSLB,2,A2X PROPRIETARY LIMITED,JOHANNESBURG,(A2X SLB)
AAXXZAJJ,3,A2X PROPRIETARY LIMITED,JOHANNESBURG,None
ABIVZAJ1,4,ABAX INVESTMENTS,CAPE TOWN,None
ABSAZAJJCBF,5,ABSA BANK LIMITED,BLOEMFONTEIN,(INTERNATIONAL CENTER BLOEMFONTEIN)
ABSAZAJJCCT,6,ABSA BANK LIMITED,CAPE TOWN,(CORPORATE BANKING SERVICES - WESTERN CAPE/476)
ABSAZAJJCDB,7,ABSA BANK LIMITED,DURBAN,(CORPORATE BANKING SERVICES - NATAL/479)
ABSAZAJJACS,8,ABSA BANK LIMITED,JOHANNESBURG,(ABSA CAPITAL BROKERS)
ABSAZAJJMG3,9,ABSA BANK LIMITED,JOHANNESBURG,(ABSA CUSTODY)
ABSAZAJJMG1,10,ABSA BANK LIMITED,JOHANNESBURG,(ABSA ISSUING AGENT)
ABSAZAJJREK,11,ABSA BANK LIMITED,JOHANNESBURG,(ABSA RECONCILITAION DIVISION)
ABSAZAJJMG2,12,ABSA BANK LIMITED,JOHANNESBURG,(ABSA TRADE REPORTING)
ABSAZAJJ,13,ABSA BANK LIMITED,JOHANNESBURG,(ALL SOUTH AFRICAN OFFICES)
ABSAZAJJCLS,14,ABSA BANK LIMITED,JOHANNESBURG,(CLS BRANCH)
ABSAZAJJCWI,15,ABSA BANK LIMITED,JOHANNESBURG,(CORPORATE BANKING SERVICES - WITWATERSRAND/235)
ABSAZAJJFI1,16,ABSA BANK LIMITED,JOHANNESBURG,(FIXED INCOME INSTRUMENT)
ABSAZAJJFI2,17,ABSA BANK LIMITED,JOHANNESBURG,(FIXED INCOME INSTRUMENT)
ABSAZAJJJAS,18,ABSA BANK LIMITED,JOHANNESBURG,(FOR CLS)
ABSAZAJJSLB,19,ABSA BANK LIMITED,JOHANNESBURG,(LENDING DIVISION)
ABSAZAJJMMD,20,ABSA BANK LIMITED,JOHANNESBURG,(MONEY MARKET BRANCH)
ABSAZAJJTMS,21,ABSA BANK LIMITED,JOHANNESBURG,(MONEY MARKET BRANCH)
ABSAZAJJTPC,22,ABSA BANK LIMITED,JOHANNESBURG,(THIRD PARTY CLS CLEARING)
ABSAZAJJVOS,23,ABSA BANK LIMITED,JOHANNESBURG,(VOSTRO BRANCH)
ABSAZAJJTRS,24,ABSA BANK LIMITED,JOHANNESBURG,None
ABSAZAJJCNE,25,ABSA BANK LIMITED,NELSPRUIT,(INTERNATIONAL BANKING CENTRE NELSPRUIT/449)
ABSAZAJJCPE,26,ABSA BANK LIMITED,PORT ELIZABETH,(CORPORATE BANKING SERVICES - EASTERN CAPE/480)
ABSAZAJJCPT,27,ABSA BANK LIMITED,PRETORIA,(CORPORATE BANKING SERVICES - NORTHERN TRANSVAAL/478)
ABSAZAJJCRD,28,ABSA BANK LIMITED,PRETORIA,(CREDIT CARD ADMIN CENTRE)
ABSAZAJ3,29,ABSA CAPITAL SECURITIES PROPRIETARY LIMITED,JOHANNESBURG,None
ABSAZAJ2,30,ABSA STOCKBROKERS (PROPRIETARY) LIMITED,JOHANNESBURG,None
ABTRZAJ1,31,ABSA TRUST LIMITED,JOHANNESBURG,None
ABVSZAJJ,32,ABVEST ASSOCIATES LTD,CLAREMONT,None
SBCHZAJJ,33,ACH TRADING CC,BEDFORDVIEW,None
ACCYZAJ1,34,ACUMEN CAPITAL (PTY) LTD,FOUR WAYS,None
AFCAZAJ1,35,AFC LIMITED,JOHANNESBURG,None
AFRCZAJJ,36,AFRICAN BANK LIMITED,JOHANNESBURG,None
AHFMZAJ1,37,AFRICAN HARVEST (PTY) LTD,JOHANNESBURG,None
AFRFZAJJ,38,AFRIFOCUS SECURITIES (PTY) LTD,SANDTON,None
AFRPZAJ1,39,AFRIPACK,DURBAN,None
AGLLZAJ1,40,AGILISTO,JOHANNESBURG,None
ALBRZAJJ,41,ALBARAKA BANK,DURBAN,None
ALAAZAJ1,42,ALEXANDER ASSET MANAGEMENT,MARSHALLTOWN,None
AIICZAJ1,43,ALLAN GRAY LIMITED,CAPE TOWN,None
GRAYZAJC,44,ALLAN GRAY LIMITED,CAPE TOWN,None
ALTFZAJJ,45,ALTRON FINANCE (PTY) LTD,PARKTOWN,None
AEIBZAJ1,46,AMERICAN EXPRESS BANK,BRAAMFONTEIN,None
ASTYZAJJ,47,ANCHOR STOCKBROKERS (PTY) LTD,BRYANSTON,None
ANWPZAJ1,48,ANDERSON WILSON AND PARTNERS INC.,JOHANNESBURG,None
AACLZAJJ,49,ANGLO AMERICAN SA FINANCE LIMITED,JOHANNESBURG,None
AACLZAJJCIM,50,ANGLO AMERICAN SA FINANCE LIMITED,JOHANNESBURG,None
PALRZAJJ,51,ANGLORAND SECURITIES PTY LTD,JOHANNESBURG,None
AQPLZAJ1,52,AQUARIUS PLATINUM LIMITED,CENTURION,None
AREMZAJ1,53,ARGON ASSET MANAGEMENT (PTY) LIMITED,CAPE TOWN,None
AONSZAJJ,54,ARGON SECURITIES (PTY) LTD,SANDTON,None
ARQMZAJJ,55,ARQAAM CAPITAL SOUTH AFRICA (PTY) LIMITED,JOHANNESBURG,None
ARFSZAJ1,56,ARROW FINANCIAL SERVICES (PTY) LTD,JOHANNESBURG,None
ASPPZAJ1,57,ASTLEY AND PEARCE (PTY) LTD,JOHANNESBURG,None
WWSEZAJJ,58,ATISA SECURITIES (PTY) LTD,JOHANNESBURG,None
GDPTZAJJ,59,AVIOR RESEARCH (PTY) LTD,JOHANNESBURG,None
AYPTZAJ1,60,AYLETT AND CO (PTY) LTD,CAPE TOWN,None
BERNZAJJ,61,B.P. BERNSTEIN,JOHANNESBURG,None
BBRUZAJ1,62,BANK BRUSSELS LAMBERT, BBL REPRESENTATIVE OFFICE IN SOUTH AFRICA,JOHANNESBURG,None
BARBZAJJ,63,BANK OF BARODA,DURBAN,None
BARBZAJJJNB,64,BANK OF BARODA,JOHANNESBURG,None
BKCHZAJJ,65,BANK OF CHINA JOHANNESBURG BRANCH,JOHANNESBURG,None
BKIDZAJJ,66,BANK OF INDIA JOHANNESBURG BRANCH,JOHANNESBURG,None
BKTWZAJJ,67,BANK OF TAIWAN, SOUTH AFRICA BRANCH,ROSEBANK,None
BKSVZAJS,68,BANK SERV LIMITED,JOHANNESBURG,None
BKSVZAJJ,69,BANKSERV LIMITED,JOHANNESBURG,None
BJMRZAJJ,70,BARNARD JACOBS MELLET PRIVATE CLIENT SERVICES (PTY) LTD,SANDTON,None
SBJMZAJJ,71,BARNARD JACOBS MELLETT AND CO (PTY) LIMITED,JOHANNESBURG,None
BCXCZAJ1,72,BCX CONFIRMATIONS,MIDRAND,None
BIDBZAJJ,73,BIDVEST BANK LTD,BRAAMFONTEIN,None
BIVTZAJJ,74,BIDVEST TREASURY SERVICES (PTY) LTD,JOHANNESBURG,None
BNPAZAJJEQD,75,BNP PARIBAS JOHANNESBURG,JOHANNESBURG,(BNP PARIBAS SA)
BNPAZAJJ,76,BNP PARIBAS JOHANNESBURG,MELROSE ARCH,None
BOEPZAJ1,77,BOE PRIVATE BANK TRUST COMPANY LIMITED,CAPE TOWN,None
SYTRZAJ1,78,BOE TRUST LIMITED,CAPE TOWN,None
BSSYZAJ1,79,BOND STREET SECURITIES (PTY) LTD,DURBANVILLE,None
BSPTZAJ1,80,BRAIT SECUTITIES (PTY) LTD,JOHANNESBURG,None
