swift_code,id,bank,city,branch
ABBAZMLU,1,AB BANK ZAMBIA LTD.,LUSAKA,None
AZAMZMLU,2,ACCESS BANK ZAMBIA LIMITED,LUSAKA,None
FMBZZMLX,3,AFRICAN BANKING CORPORATION ZAMBIA,LUSAKA,None
ACBKZML1,4,AFRICAN COMMERCIAL BANK LTD,LUSAKA,None
BKCHZMLU,5,BANK OF CHINA (ZAMBIA) LTD,LUSAKA,None
BAZAZMLUASA,6,BANK OF ZAMBIA,LUSAKA,(AUTHORISED SETTLEMENT AGENT)
BAZAZMLU,7,BANK OF ZAMBIA,LUSAKA,None
BARCZMLXKPC,8,BARCLAYS BANK PLC ZAMBIA,KITWE,(KITWE PROCESSING CENTRE)
BARCZMLX,9,BARCLAYS BANK PLC ZAMBIA,LUSAKA,(HEAD OFFICE)
BATSZML1,10,BRITISH AMERICAN TOBACCO (ZAMBIA) PLC,LUSAKA,None
CVMTZMLU,11,CAVMONT BANK LIMITED,LUSAKA,None
CAVRZML1,12,CAVMONT SECURITIES LIMITED,LUSAKA,None
CITIZMLU,13,CITIBANK ZAMBIA LTD,LUSAKA,None
DEBZZML1,14,DEVELOPMENT BANK OF ZAMBIA,LUSAKA,None
ECOCZMLU,15,ECOBANK ZAMBIA,LUSAKA,None
ZFBAZMLU,16,FINANCE BANK ZAMBIA LIMITED.,LUSAKA,None
ZFBAZML102N,17,FINANCE BANK ZAMBIA LIMITED.,NDOLA,None
FALLZMLU,18,FIRST ALLIANCE BANK,LUSAKA,None
ICZAZMLU,19,FIRST CAPITAL BANK (Z) LTD (FORMERLY KNOWN AS INTERNATIONAL COMMERCIAL BANK ZAMBIA LIMITED),LUSAKA,None
FIRNZMLX,20,FIRST NATIONAL BANK ZAMBIA LIMITED,LUSAKA,None
FXAFZML1,21,FX AFRICA,LUSAKA,None
INZAZMLX,22,INDO-ZAMBIA BANK,LUSAKA,None
IDHZZML1,23,INTERMARKET BANKING CORPORATION LIMITED,LUSAKA,None
INSZZML1,24,INTERMARKET SECURITIES ZAMBIA LTD,LUSAKA,None
VSTRZMLU,25,INVESTRUST BANK LTD,LUSAKA,None
XLUSZML1,26,LUSAKA STOCK EXCHANGE,LUSAKA,None
LCSDZML1,27,LUSE CENTRAL SHARES DEPOSITORY LIMITED,LUSAKA,None
MINVZML1,28,MANIFOLD INVESTMENT BANK LIMITED,LUSAKA,None
MEZAZML1,29,MERIDIEN BIAO ZAMBIA LTD.,LUSAKA,None
NPSAZML1,30,NATIONAL PENSION SCHEME AUTHORITY,LUSAKA,None
NSCBZML1022,31,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,CHIPATA,None
NSCBZML1023,32,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,KASAMA,None
NSCBZML1024,33,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,LIVINGSTONE,None
NSCBZML1,34,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,LUSAKA,None
NSCBZML1025,35,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,MANSA,None
NSCBZML1026,36,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,MONGU,None
NSCBZML102N,37,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,NDOLA,None
NSCBZML1027,38,NATIONAL SAVINGS AND CREDIT BANK OF ZAMBIA,SOLWEZI,None
NCBPZML1,39,NEW CAPITAL BANK PLC,LUSAKA,None
PSNIZML1,40,PANGAEA/EMI SECURITIES LIMITED,LUSAKA,None
SABMZMZ1,41,SABMILLER ZAMBIA,LUSAKA,None
SABMZMZ1HSL,42,SABMILLER ZAMBIA,LUSAKA,None
SABMZMZ1NBP,43,SABMILLER ZAMBIA,LUSAKA,None
SABMZMZ1ZBP,44,SABMILLER ZAMBIA,LUSAKA,None
SBICZML10ZK,45,STANBIC BANK ZAMBIA LTD.,KITWE,None
SBICZMLX,46,STANBIC BANK ZAMBIA LTD.,LUSAKA,(LUSAKA BRANCH)
SBICZML10ZN,47,STANBIC BANK ZAMBIA LTD.,NDOLA,None
SCBLZMLXSSU,48,STANDARD CHARTERED BANK ZAMBIA PLC,LUSAKA,(SECURITIES SERVICES UNIT)
SCBLZMLX,49,STANDARD CHARTERED BANK ZAMBIA PLC,LUSAKA,None
SCBLZML102N,50,STANDARD CHARTERED BANK ZAMBIA PLC,NDOLA,(NDOLA SOUTH BRANCH)
UNAFZMLU,51,UNITED BANK FOR AFRICA ZAMBIA LIMITED,LUSAKA,None
ZAEIZML1,52,ZAMBIA EXPORT AND IMPORT BANK LIMITED,LUSAKA,None
ZNCOZMLU,53,ZAMBIA NATIONAL COMMERCIAL,LUSAKA,None
