swift_code,id,bank,city,branch
FMBZZWHX,1,AFRICAN BANKING CORP.OF ZIMBABWE LTD.,HARARE,None
AFCNZWHA,2,AFRICAN CENTURY LIMITED,HARARE,None
AGRZZWHA,3,AGRICULTURAL BANK OF ZIMBABWE LTD,HARARE,None
BARCZWHX,4,BARCLAYS BANK OF ZIMBABWE LIMITED,HARARE,None
BDHLZWH1,5,BARD DISCOUNT HOUSE LIMITED,HARARE,None
BSTKZWH1,6,BARD STOCKBROKERS,HARARE,None
BEEQZWH1,7,BETHEL EQUITIES,HARARE,None
BVBSZWH1,8,BEVERLEY BUILDING SOCIETY,HARARE,None
BATSZWH1,9,BRITISH AMERICAN TOBACCO ZIMBABWE (HOLDINGS) LTD,HARARE,None
COBZZWHA,10,CBZ BANK LIMITED,HARARE,None
CABSZWHA,11,CENTRAL AFRICA BUILDING SOCIETY,HARARE,None
CFXBZWH1,12,CFX MERCHANT BANK LIMITED,HARARE,(HEAD OFFICE)
CHDYZWH1,13,CHENGETEDZAI DEPOSITORY COMPANY,HARARE,None
COCUZWHA,14,COMESA CLEARING HOUSE,HARARE,None
ECOCZWHX,15,ECOBANK ZIMBABWE LIMITED,HARARE,None
EDCPZWH1,16,EDWARDS AND COMPANY,HARARE,None
EDNPZWH1,17,EDWARDS NOMINEES (PRIVATE) LIMITED,HARARE,None
EFSRZWH1,18,EFE SECURITIES (PRIVATE) LIMITED,HARARE,None
FBCPZWHA,19,FBC BANK LTD,HARARE,None
FBSRZWH1,20,FBC SECURITIES (PRIVATE) LIMITED,HARARE,None
USPTZWH1,21,GENESIS SECURITIES,HARARE,None
GBSPZWHA,22,GETBUCKS FINANCIAL SERVICES PVTLTD,HARARE,None
SEEVZWH1,23,IH SECURITIES (PRIVATE) LIMITED,HARARE,None
IDCZZWH1,24,INDUSTRIAL DEVELOPMENT CORPORATION OF ZIMBABWE LIMITED,HARARE,None
ZDBLZWHA,25,INFRASTRUCTURE DEVELOPMENT BANK OF ZIMBABWE ED,HARARE,None
INDHZWH1,26,INTERMARKET DISCOUNT HOUSE,HARARE,None
IVEUZWH1,27,INVICTUS SECURITIES,HARARE,None
LMLDZWHA,28,LION MICROFINANCE LIMITED,HARARE,None
LYSOZWH1,29,LYNTON-EDWARDS STOCKBROKERS,HARARE,None
MSTPZWH1,30,MAST STOCKBROKERS (PVT) LTD,HARARE,None
MBCAZWHX,31,MBCA BANK LIMITED,HARARE,None
MBOZZWHA,32,METBANK LIMITED,HARARE,None
MMCPZWH1,33,MMC CAPITAL (PRIVATE) LIMITED,HARARE,None
MSSTZWH1,34,MSASA STOCKBROKERS (PVT) LTD,HARARE,None
NABYZWHA,35,NATIONAL BUILDING SOCIETY,HARARE,None
NMBLZWHXBYO,36,NMB BANK LIMITED,BULAWAYO,(BULAWAYO BRANCH)
NMBLZWHX,37,NMB BANK LIMITED,HARARE,None
PTAHZWH1,38,P.T.A. CLEARING HOUSE,HARARE,None
PWSBZWHX,39,PEOPLE'S OWN SAVINGS BANK,HARARE,None
PLSUZWH1,40,PLATINUM SECURITIES,HARARE,None
PRDHZWH1,41,PREMIER BANKING CORPORATION LTD.,HARARE,None
BSPVZWH1,42,RENAISSANCE SECURITIES (PRIVATE) LIMITED,HARARE,None
REBZZWHQ,43,RESERVE BANK OF ZIMBABWE,HARARE,None
REBZZWHX,44,RESERVE BANK OF ZIMBABWE,HARARE,None
REBZZWHXPCH,45,RESERVE BANK OF ZIMBABWE,HARARE,None
SAGSZWH1,46,SAGIT STOCKBROKERS (PRIVATE) LIMITED,HARARE,None
SCLIZWH102B,47,SCOTFIN LIMITED,BULAWAYO,None
SCLIZWH102C,48,SCOTFIN LIMITED,CHINHOYI,None
SCLIZWH102G,49,SCOTFIN LIMITED,GWERU,None
SCLIZWH1,50,SCOTFIN LIMITED,HARARE,None
SCLIZWH102M,51,SCOTFIN LIMITED,MUTARE,None
SOTIZWH1,52,SOUTHERN TRUST SECURITIES,HARARE,None
SBICZWHX,53,STANBIC BANK ZIMBABWE LIMITED,HARARE,None
SCBLZWHXSSU,54,STANDARD CHARTERED BANK ZIMBABWE LIMITED,HARARE,(SECURITIES SERVICES UNIT)
SCBLZWHX,55,STANDARD CHARTERED BANK ZIMBABWE LIMITED,HARARE,None
STBLZWHX,56,STEWARD BANK LIMITED,HARARE,None
SMFBZWHA,57,SUCCESS MICROFINANCE BANK LIMITED,HARARE,None
TTSLZWHX,58,TETRAD INVESTMENT BANK LIMITED,HARARE,None
DCZWZWH1,59,THE DISCOUNT COMPANY OF ZIMBABWE LIMITED,HARARE,None
TEGRZWH1,60,THE TETRAD GROUP,HARARE,None
TCSPZWH1,61,TRUST CORPORATE SECURITIES (PRIVATE) LIMITED,HARARE,None
ZBCOZWHXBYO,62,ZIMBABWE BANKING CORPORATION LTD.,BULAWAYO,None
ZBCOZWHX,63,ZIMBABWE BANKING CORPORATION LTD.,HARARE,None
XZIMZWH1,64,ZIMBABWE STOCK EXCHANGE,HARARE,None
