swift_code,id,bank,city,branch
AFGUAFKA,1,AFGHAN UNITED BANK,KABUL,None
TBAAAFKA,2,AFGHANISTAN COMMERCIAL BANK,KABUL,None
AFIBAFKA,3,AFGHANISTAN INTERNATIONAL BANK,KABUL,None
AFABAFKA,4,ARIAN BANK,KABUL,None
AZBAAFKA,5,AZIZI BANK,KABUL,None
IBAFAFKA,6,BAKHTAR BANK,KABUL,None
ALFHAFKA803,7,BANK ALFALAH LIMITED (AFGHANISTAN - KABUL BRANCH),HERAT,(AFGHANISTAN - HERAT BRANCH)
ALFHAFKA,8,BANK ALFALAH LIMITED (AFGHANISTAN - KABUL BRANCH),KABUL,None
BMAFAFKA,9,BANKE MILLIE AFGHAN,KABUL,None
AFGBAFKA,10,DA AFGHANISTAN BANK,KABUL,None
FMFBAFKA,11,FIRST MICROFINANCE BANK LTD., THE,KABUL,(SHASH DARAK KABUL BRANCH)
GHBKAFKA,12,GHAZANFAR BANK,KABUL,None
GHBKAFKAISW,13,GHAZANFAR BANK,KABUL,None
HABBAFKA,14,HABIB BANK LIMITED,KABUL,None
IDTBAFK1,15,INDUSTRIAL DEVELOPMENT BANK OF AFGHANISTAN,KABUL,None
MWBKAFKA,16,MAIWAND BANK,KABUL,None
CBMOAFK1,17,MORTGAGE AND CONSTRUCTION BANK,KABUL,None
NBPAAFKA,18,NATIONAL BANK OF PAKISTAN, KABUL BRANCH,KABUL,None
KABUAFKA,19,NEW KABUL BANK,KABUL,None
PIBAAFKA,20,PASHTANY BANK,KABUL,None
