swift_code,id,bank,city,branch
AGCAAM22,1,ACBA-CREDIT AGRICOLE BANK CJSC,YEREVAN,None
ARMIAM22,2,AMERIABANK (FORMERLY ARMIMPEXBANK),YEREVAN,None
ANIKAM22,3,ANELIK BANK CJSC,YEREVAN,None
ARMCAM22,4,ARARATBANK OJSC,YEREVAN,None
ASHBAM22,5,ARDSHINBANK CJSC,YEREVAN,None
ARMNAM22,6,ARMBUSINESSBANK,YEREVAN,None
ARECAM22,7,ARMECONOMBANK,YEREVAN,None
ARSJAM22,8,ARMSWISSBANK CJSC,YEREVAN,None
ARTSAM22,9,ARTSAKHBANK CJSC,YEREVAN,None
BYBAAM22,10,BYBLOS BANK ARMENIA CJSC,YEREVAN,None
CBRAAM22,11,CENTRAL BANK OF ARMENIA,YEREVAN,None
COVBAM22,12,CONVERSE BANK CJSC,YEREVAN,None
CRDTAM21,13,CREDIT-SERVICE BANK,YEREVAN,None
PRMLAM22,14,EVOCABANK CJSC,YEREVAN,None
HACJAM21,15,HAYPOST CJSC,YEREVAN,None
MIDLAM22,16,HSBC BANK ARMENIA CLOSED JOINT STOCK COMPANY,YEREVAN,None
INJSAM22,17,INECO JOINT STOCK BANK,YEREVAN,None
BKMTAM22,18,MELLAT BANK CJSC,YEREVAN,None
UNIJAM22,19,UNIBANK O.J.S.C,YEREVAN,None
ARMJAM22,20,VTB BANK (ARMENIA) CJSC,YEREVAN,None
