swift_code,id,bank,city,branch
BAIPAOLU,1,BANCO ANGOLANO DE INVESTIMENTOS, SA,LUANDA,None
ANCEAOLU,2,BANCO ANGOLANO NEGOCIOS E COMERCIO,LUANDA,None
BCCBAOLU,3,BANCO BIC, S.A.,LUANDA,None
BCGAAOLU,4,BANCO CAIXA GERAL DE ANGOLA,LUANDA,None
COMLAOLU,5,BANCO COMERCIAL ANGOLANO,LUANDA,None
BCHUAOLU,6,BANCO COMERCIAL DO HUAMBO,HUAMBO,None
BDAAAOLU,7,BANCO DE DESENVOLVIMENTO DE ANGOLA,LUANDA,None
BFABAOL1,8,BANCO DE FOMENTO ANGOLA SA,LUANDA,None
BFMXAOLU,9,BANCO DE FOMENTO SARL ANGOLA,LUANDA,None
BIRVAOLU,10,BANCO DE INVESTIMENTO RURAL, S.A.,MALANJE,None
BNICAOLU,11,BANCO DE NEGOCIOS INTERNACIONAL,LUANDA,None
BNICAOLU052,12,BANCO DE NEGOCIOS INTERNACIONAL,LUANDA,None
CGDIAOL1,13,BANCO DE POUPANCA E CREDITO SARL,LUANDA,None
BESCAOLU,14,BANCO ECONOMICO, S.A.,LUANDA,None
BKIAAOLU,15,BANCO KWANZA INVEST SA,LUANDA,None
PRTLAOLU,16,BANCO MILLENNIUM ATLANTICO, S.A.,LUANDA,None
BCOMAOLU,17,BANCO MILLENNIUM ATLANTICO, S.A. (FORMERLY BANCO MILLENNIUM ANGOLA SA),LUANDA,None
BNANAOLU975,18,BANCO NACIONAL DE ANGOLA,LUANDA,(T2S WAVE 1)
BNANAOLD,19,BANCO NACIONAL DE ANGOLA,LUANDA,None
BNANAOLU,20,BANCO NACIONAL DE ANGOLA,LUANDA,None
POTAAOLU,21,BANCO POSTAL, S.A.,LUANDA,None
PRTSAOLU,22,BANCO PRESTIGIO, SA.,LUANDA,None
PUADAOLU,23,BANCO PUNGO ANDONGO SA,LUANDA,None
BRDKAOLU,24,BANCO REGIONAL DO KEVE, SARL,LUANDA,None
SOLOAOLU,25,BANCO SOL SARL,LUANDA,None
BVBXAOLU,26,BANCO VALOR BANK,LUANDA,None
VTBLAOLU,27,BANCO VTB AFRICA, S.A.,LUANDA,None
YETUAOLU,28,BANCO YETU, S.A.,LUANDA,None
BKCHAOLU,29,BANK OF CHINA LIMITED LUANDA BRANCH,LUANDA,None
BCIDAOLU,30,BCI - BANCO DE COMERCIO E INDUSTRIA,LUANDA,None
NOSAAOLU,31,BMF-BANCO BAI MICROFINANCAS, SARL,LUANDA,None
BDVAAOLU,32,BOLSA DE DIVIDA E VALORES DE ANGOLA BODIVA SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS SA,LUANDA,None
BPCLAOLU,33,BPC-BANCO DE POUPANCA E CREDITO,LUANDA,None
BATSAOL1,34,BRITISH AMERICAN TOBACCO ANGOLA LTD,LUANDA,None
CDTSAOLU,35,CREDISUL - BANCO DE CREDITO DO SUL SA,LUANDA,None
FBCOAOLU,36,FINIBANCO ANGOLA S.A,LUANDA,None
MDFNAOLU,37,MINISTERIO DAS FINANCAS,LUANDA,None
BATSAO41,38,SOCIEDADA INDUSTRIAL TABACOS ANGOLA LDA,BENGUELA,None
BATSAO31,39,SOCIEDADE UNIFICANDA TABACOS ANGOLA LDA,LUANDA,None
SBICAOLU,40,STANDARD BANK DE ANGOLA S.A.,LUANDA,None
SCBLAOLU,41,STANDARD CHARTERED BANK ANGOLA SA,LUANDA,None
