swift_code,id,bank,city,branch
AARBBEB1,1,AAREAL BANK AG,BRUSSELS,None
EBACBEBB,2,ABE CLEARING SAS/EBA CLEARING,BRUSSELS,None
EBATBEBB,3,ABE CLEARING SAS/EBA CLEARING,BRUSSELS,None
ABERBE22,4,ABK BANK, DIVISIE VAN BANK J. VAN BREDA EN CO NV,ANTWERPEN,None
ABNABE2AIDJ,5,ABN AMRO BANK N.V. BELGIAN BRANCH,ANTWERPEN,(INTERNATIONAL DIAMOND AND JEWELRY GROUP)
ABNABE2AMYO,6,ABN AMRO BANK N.V. BELGIAN BRANCH,ANTWERPEN,(MONEYOU)
ABNABE2AIPC,7,ABN AMRO BANK N.V. BELGIAN BRANCH,BERCHEM,(INTERNATIONAL PRIVATE CLIENTS DEPARTMENT)
ABNABE2A,8,ABN AMRO BANK N.V. BELGIAN BRANCH,BERCHEM,None
ACCOBEB3,9,ACCORD,LA HULPE,None
JCAEBE9A,10,ADIENT BELGIUM BVBA,ASSENEDE,None
ISSUBEB1,11,AG INSURANCE,BRUSSELS,None
AGFGBEBB,12,AGFA-GEVAERT NV,MORTSEL,None
ALENBEB1,13,ALENA SA,BRUSSELS,None
ABIXBEBB,14,ANHEUSER-BUSCH INBEV NV,BRUSSELS,None
ARSPBE22,15,ARGENTA,ANTWERPEN,None
ASSTBE21,16,ASSOCIATED STOCKBROKERS, BVBA,ANTWERPEN,None
WAFABEBBANT,17,ATTIJARIWAFA BANK (FORMERLY WAFABANK),ANTWERPEN,None
WAFABEBBTG2,18,ATTIJARIWAFA BANK (FORMERLY WAFABANK),BRUSSELS,(TARGET2)
WAFABEBB,19,ATTIJARIWAFA BANK (FORMERLY WAFABANK),BRUSSELS,None
AUETBE21,20,AUDI NV,ANTWERPEN,None
AUXIBEB1,21,AUXIFINA SA,BRUSSELS,None
AVEVBE21,22,AVEVE SA,MERKSEM,None
AXABBE22,23,AXA BANK BELGIUM,BERCHEM,None
AXBIBEBB,24,AXA BELGIUM,WATERMAEL BOITSFORT,None
BNDDBE21326,25,B AND BT NV,ANTWERPEN,(WOMMELGEM)
BNDDBE21,26,B AND BT NV,ANTWERPEN,None
BMPBBEBB,27,BANCA MONTE PASCHI BELGIO,BRUSSELS,None
BMPBBEBBTGT,28,BANCA MONTE PASCHI BELGIO,BRUSSELS,None
BBVABEBBTG2,29,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BRUSSELS,(TARGET2)
BBVABEBB,30,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BRUSSELS,None
BSCHBEBR,31,BANCO SANTANDER CENTRAL HISPANO,BRUSSELS,None
BCMCBEBB,32,BANCONTACT-MISTERCASH SA/NV,BRUSSELS,None
DELEBE22,33,BANK DELEN NV,ANTWERPEN,None
DELEBE22NRA,34,BANK DELEN NV,ANTWERPEN,None
DELEBE22THE,35,BANK DELEN NV,ANTWERPEN,None
JVBABE22,36,BANK J. VAN BREDA AND CO NV,ANTWERPEN,None
BOFABE3XRES,37,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED, BRUSSELS BRANCH,BRUSSELS,(RESERVE ACCOUNT ONLY)
BOFABE3X,38,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED, BRUSSELS BRANCH,BRUSSELS,None
BARBBEBBTGT,39,BANK OF BARODA (BRUSSELS BRANCH),BRUSSELS,(TARGET)
BARBBEBB,40,BANK OF BARODA (BRUSSELS BRANCH),BRUSSELS,None
BKCHBEBBTG2,41,BANK OF CHINA (LUXEMBOURG) S.A. BRUSSELS BRANCH,BRUSSELS,(BANK OF CHINA(LUXEMBOURG) S.A. BRUSSELS BRANCH)
BKCHBEBB,42,BANK OF CHINA (LUXEMBOURG) S.A. BRUSSELS BRANCH,BRUSSELS,None
BKIDBE22BOI,43,BANK OF INDIA,ANTWERPEN,(BOI ANTWERP)
BKIDBE22,44,BANK OF INDIA,ANTWERPEN,None
IRVTBEB1,45,BANK OF NEW YORK (LUXEMBOURG)SA, THE,BRUSSELS,None
BMECBEB1,46,BANQUE BCP S.A. LUXEMBOURG-SUCCURSALE DE BELGIQUE,BRUSSELS,None
BCPOBEB1,47,BANQUE CENTRALE POPULAIRE SA,BRUSSELS,None
BCDMBEBB,48,BANQUE CHAABI DU MAROC,BRUSSELS,None
BLUXBEBB,49,BANQUE DE LUXEMBOURG, SUCCURSALE DE BELGIQUE,BRUSSELS,None
DEGRBEBBTG2,50,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY BANQUE DEGROOF),BRUSSELS,(TARGET 2 SECURITIES PARTICIPATION)
DEGRBEBB,51,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY BANQUE DEGROOF),BRUSSELS,None
PECSBEBB009,52,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY PETERCAM SA),BRUSSELS,(BACK -OFFICE CLIENTS NOT IN CUSTODY)
PECSBEBB,53,BANQUE DEGROOF PETERCAM SA/NV (FORMERLY PETERCAM SA),BRUSSELS,None
BDREBE41,54,BANQUE DREZE,VERVIERS,None
ENIBBEBB,55,BANQUE ENI S.A.,BRUSSELS,None
BNAGBEBB,56,BANQUE NAGELMACKERS S.A. - BANK NAGELMACKERS NV,BRUSSELS,None
NBBEBEBB273,57,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(ACCOUNTS DIVISION)
NBBEBEBB243,58,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(BACK OFFICE DIVISION)
NBBEBEBBTRE,59,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(BELGIAN TREASURY)
NBBEBEBBCEC,60,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(CEC TECHNICAL ACCOUNT)
NBBEBEBB203,61,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(CURRENT ACCOUNTS DIVISION)
NBBEBEBBDAB,62,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(DEBT AGENCY B)
NBBEBEBBDAE,63,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(DEBT AGENCY E)
NBBEBEBBEOC,64,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(EUROCLEAR SETTLEMENT SERVICES)
NBBEBEBBHCC,65,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(HOOFDKAS CAISSE CENTRALE)
NBBEBEBBCAC,66,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(NBB/ESES CONTINGENCY ACCOUNT)
NBBEBEBB223,67,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(NBB-SSS)
NBBEBEBB216,68,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(SECURITIES CLEARING SYSTEM)
NBBEBEBBWTX,69,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,(WITHOLDING TAX)
ECMSBEBB,70,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
ECMSBEBBCCB,71,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
NBBEBEBB,72,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
NBBEBEBBCON,73,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
NBBEBEBBDCK,74,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
NBBEBEBBGLB,75,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,None
PRIBBEBBTG2,76,BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, BELGIANBRANCH,BRUSSELS,(TARGET 2)
PRIBBEBB,77,BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, BELGIANBRANCH,BRUSSELS,None
PSABBEB1,78,BANQUE PSA FINANCE SUCCURSALE EN BELGIQUE,BRUSSELS,None
BAUVBEB1,79,BAUDOUX VERTONGEN ET CIE,BRUSSELS,None
BGHVBE21,80,BEECKMANS, VAN GAVER ET CIE, SCS,ANTWERPEN,None
GKCCBEBB,81,BELFIUS BANK SA/NV,BRUSSELS,(HEAD OFFICE)
BENGBEB1,82,BELGIAN NATIONAL REGISTRY,BRUSSELS,None
BELHBEB1,83,BELHYPERION,BRUSSELS,None
BEMBBEB1,84,BEMO HOLDING SA,BRUSSELS,None
CTBKBEBXTGT,85,BEOBANK NV/SA,BRUSSELS,(TARGET2)
CTBKBEBX,86,BEOBANK NV/SA,BRUSSELS,None
XANTBE21,87,BEURS VAN ANTWERPEN (ANTWERP STOCK EXCHANGE),ANTWERPEN,None
BHBEBEB1,88,BHW BAUSPARKASSE AG,BRUSSELS,None
BIBLBE21,89,BINCKBANK NV,ANTWERPEN,None
BIOABE71,90,BIOPARTICIPATIONS SA,MARQUAIN,None
BUSSBE81,91,BKCP SECURITIES NV,KNOKKE-HEIST,None
BMEUBEB1,92,BMCE EUROSERVICES,BRUSSELS,None
GEBABEBB01A,93,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),AALST,None
GEBABEBB18A,94,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),ANTWERPEN,None
GEBABEBB02A,95,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),ARLON,None
GEBABEBB13A,96,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUGGE,None
GEBABEBB,97,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,(ALL BELGIAN OFFICES)
GEBABEBBLDN,98,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,(EQUITY TRADING LSE)
GEBABEBB36A,99,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,(HEAD OFFICE)
GEBABEBBIPA,100,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,(INTERNAL PROCESS ACCOUNT)
GEBABEBBSSD,101,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,(PROPRIETARY TRADING EQUITIES)
GEBABEBB00A,102,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,None
GEBABEBBALM,103,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,None
GEBABEBBDBK,104,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),BRUSSELS,None
GEBABEBB03A,105,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),CHARLEROI,None
GEBABEBB08E,106,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GENK,None
GEBABEBB05A,107,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),GENT,None
GEBABEBB14A,108,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),HASSELT,None
GEBABEBB07B,109,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),HUY,None
GEBABEBB04A,110,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),KORTRIJK,None
GEBABEBB06A,111,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),LA LOUVIERE,None
GEBABEBB08A,112,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),LEUVEN,None
GEBABEBB07A,113,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),LIEGE,None
GEBABEBB08B,114,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),MECHELEN,None
GEBABEBB09A,115,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),MONS,None
GEBABEBB10A,116,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),NAMUR,None
GEBABEBB18B,117,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),NINOVE,None
GEBABEBB06B,118,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),NIVELLES,None
GEBABEBB05B,119,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),ROESELARE,None
GEBABEBB01B,120,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),SINT-NIKLAAS,None
GEBABEBB08C,121,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TIENEN,None
GEBABEBB11A,122,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TOURNAI,None
GEBABEBB08D,123,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TURNHOUT,None
GEBABEBB12A,124,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),VERVIERS,None
GEBABEBB07C,125,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),WAREMME,None
FIMGBEBB,126,BNP PARIBAS IP BELGIUM SA,BRUSSELS,None
BPPBBEB1,127,BNP PARIBAS PRIVATE BANK,BRUSSELS,None
PARBBEB1,128,BNP PARIBAS SECURITIES SERVICES,,BRUSSELS,None
PARBBEBH,129,BNP PARIBAS SECURITIES SERVICES,,BRUSSELS,None
PARBBEB1000,130,BNP PARIBAS SECURITIES SERVICES, BELGIUM,BRUSSELS,(BRUSSELS)
PARBBEB1001,131,BNP PARIBAS SECURITIES SERVICES, BELGIUM,BRUSSELS,(BRUSSELS)
PARBBEB1002,132,BNP PARIBAS SECURITIES SERVICES, BELGIUM,BRUSSELS,(BRUSSELS)
PARBBEB1003,133,BNP PARIBAS SECURITIES SERVICES, BELGIUM,BRUSSELS,(BRUSSELS)
PARBBEB1004,134,BNP PARIBAS SECURITIES SERVICES, BELGIUM,BRUSSELS,(BRUSSELS)
