swift_code,id,bank,city,branch
ABIEBGS1,1,ABV INVESTICII EOOD,SOFIA,None
AAMJBGS1,2,ACTIVA ASSET MANAGEMENT JSC,SOFIA,None
ADCRBGS1,3,ADAMANT CAPITAL PARTNERS AD,SOFIA,None
ACCGBGS1,4,AGENCY FOR CREDIT RATINGS AND ANALYSES AD,SOFIA,None
AAAPBGS1,5,ALARIC CAPITAL,SOFIA,None
AAMEBGS1,6,ALFA ASSET MANAGEMENT EAD,SOFIA,None
BUINBGSF,7,ALLIANZ BANK BULGARIA AD,SOFIA,None
AAAJBG21,8,ARCUS ASSET MANAGEMENT JSC,PLOVDIV,None
AAESBGS1,9,ASTRA ASSET MANAGEMENT JSC,SOFIA,None
ABIGBGS1,10,AUSTRIAN BULGARIAN INVESTMENT GROUP AD,SOFIA,None
AVJCBGS1,11,AVAL IN JSC,SOFIA,None
AVFIBGS1,12,AVC FINANCE PLC,SOFIA,None
AVCABGS1,13,AVUS CAPITAL,SOFIA,None
BAPDBGS1,14,BALKAN ADVISORY COMPANY-IP EAD,SOFIA,None
BICYBGS1,15,BALKAN INVESTMENT COMPANY AD,SOFIA,None
LUMIBGS1,16,BANK LEUMI ROMANIA-SOFIA BRANCH,SOFIA,None
BSBGBGSFIOP,17,BANKSERVICE AD,SOFIA,(T2 INTEROPERABILITY)
BSBGBGSF,18,BANKSERVICE AD,SOFIA,None
BEFNBGS1,19,BENCHMARK FINANCE,SOFIA,None
BEJSBGS2,20,BETA CORP JSC,SOFIA,None
BGPRBGS1,21,BGPROINVEST,SOFIA,None
BNPABGSX,22,BNP PARIBAS S.A.-SOFIA BRANCH,SOFIA,None
BULBBGS1,23,BULBROKERS A D,SOFIA,None
BUAABGS1,24,BULBROKERS EAD,SOFIA,None
BUIVBG21,25,BULEX INVEST PLC,VARNA,None
BCRCBGS1,26,BULGARIAN CREDIT RATING AGENCY,SOFIA,None
NASBBGSF,27,BULGARIAN DEVELOPMENT BANK (FORMERLY ENCOURAGEMENT BANK),SOFIA,None
BNBGBGSF,28,BULGARIAN NATIONAL BANK,SOFIA,None
BNBGBGSD,29,BULGARIAN NATIONAL BANK - BGN,SOFIA,None
XBULBGS1,30,BULGARIAN STOCK EXCHANGE,SOFIA,None
