swift_code,id,bank,city,branch
ALCUBMHH,1,ALTREE FINANCIAL GROUP LTD.,HAMILTON,None
ATIDBMH1,2,ATLANTIC INVESTMENT AND DEVELOPMENT,HAMILTON,None
AXSBBMHM,3,AXIS SPECIALTY BERMUDA LIMITED,HAMILTON,None
BNTBBMHM,4,BANK OF N.T. BUTTERFIELD AND SON LIMITED, THE,HAMILTON,None
BPBKBMHM,5,BERMUDA COMMERCIAL BANK LIMITED,HAMILTON,None
BEMABMHM,6,BERMUDA MONETARY AUTHORITY,HAMILTON,None
XBDABMH1,7,BERMUDA STOCK EXCHANGE LTD, THE,HAMILTON,None
BERTBMH1,8,BERMUDA TRUST COMPANY LIMITED,HAMILTON,None
TBASBMHM,9,BLOOMBERG TRADEBOOK (BERMUDA) LTD.,HAMILTON,None
BCPNBMH1,10,BOLTON CAPITAL PARTNERS INTERNATIONAL LIMITED,HAMILTON,None
BOSRBMHM,11,BOSTON RE LTD,HAMILTON,None
BOSRBMHMVIS,12,BOSTON RE LTD,HAMILTON,None
BPGTBMH1,13,BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED,HAMILTON,None
BNTBBMHS,14,BUTTERFIELD TRUST (BERMUDA) LIMITED,HAMILTON,None
CMILBMH1,15,CAMBUSLANG INVESTMENTS LIMITED,HAMILTON,None
CAHIBMH1,16,CASTLE HARBOUR INSURANCE LIMITED,HAMILTON,None
CHCABMH1,17,CHURCHILL CAPITAL LTD.,HAMILTON,None
CAGPBMHM,18,CLARIEN BANK LIMITED,HAMILTON,None
CSLEBMH1,19,CS LIFE BERMUDA,HAMILTON,None
DKIBBMH1,20,DKR IBEX,HAMILTON,None
DOFGBMH1,21,DKR OASIS FISCHER GROUP,HAMILTON,None
EVCIBMH1,22,EVEREST CAPITAL GLOBAL LTD,HAMILTON,None
GFBEBMH1,23,GLENCORE FINANCE (BERMUDA) LTD,HAMILTON,None
GTRDBMH1GPO,24,G-TRADE SERVICES LLC,HAMILTON,(DIVISION G-PORT)
GTRDBMH1,25,G-TRADE SERVICES LLC,HAMILTON,None
HSILBMH1,26,HARRINGTON SOUND INSURANCE LIMITED,HAMILTON,None
BBDABMHMCTS,27,HSBC BANK BERMUDA LIMITED,HAMILTON,(CORPORATE TRUST SERVICES)
BBDABMHMINV,28,HSBC BANK BERMUDA LIMITED,HAMILTON,(INVESTMENT DEPT)
BBDABMHM,29,HSBC BANK BERMUDA LIMITED,HAMILTON,None
BBDABMHP,30,HSBC BANK BERMUDA LIMITED,HAMILTON,None
IVZLBMHH,31,INVESCO LTD,HAMILTON,None
KINTBMH1,32,KINTORE INVESTMENTS LIMITED,HAMILTON,None
MAUMBMH1,33,MARCUARD SPECTRUM LIMITED,HAMILTON,None
MLRIBMHM,34,MERRILL LYNCH REINSURANCE SOLUTIONS,HAMILTON,None
MFGLBMH1,35,MF GLOBAL LTD,HAMILTON,None
MSFTBMH1GLB,36,MICROSOFT GLOBAL FINANCE,HAMILTON,(MICROSOFT GLOBAL BOND)
MSFTBMH1SPF,37,MICROSOFT GLOBAL FINANCE,HAMILTON,(MICROSOFT GLOBAL FINANCE FX)
MSFTBMH1,38,MICROSOFT GLOBAL FINANCE,HAMILTON,None
NEPHBMHM,39,NEPHILA CAPITAL LTD.,HAMILTON,None
NOSRBMHM,40,NOMURA SECURITIES (BERMUDA) LIMITED,HAMILTON,None
NOVRBMHM019,41,NOVARTIS SECURITIES INVESTMENT LTD,HAMILTON,(BEFICO)
NOVRBMHM,42,NOVARTIS SECURITIES INVESTMENT LTD,HAMILTON,None
NOVRBMHM035,43,NOVARTIS SECURITIES INVESTMENT LTD,HAMILTON,None
ORMABMH1,44,ORACLE MANAGEMENT LIMITED,HAMILTON,None
ORIMBMH1,45,ORBIS INVESTMENT MANAGEMENT LIMITED,HAMILTON,None
PRPFBMH1,46,P.R.P PERFORMA LIMITED,HAMILTON,None
PTRNBMH1,47,PARSEC TRADING CORP,HAMILTON,None
RRHLBMH1,48,RENAISSANCERE HOLDINGS LTD.,HAMILTON,None
ROCHBMHM,49,ROCHE FINANCIAL INVESTMENTS LTD,HAMILTON,None
ROCHBMHA,50,ROCHE INTERTRADE LIMITED,HAMILTON,None
SBDABMH1,51,SCHRODERS (BERMUDA) LIMITED,HAMILTON,None
SWREBMH1,52,SWISS REINSURANCE COMPANY,HAMILTON,None
TCCMBMH1,53,TCC MARKETS LIMITED,HAMILTON,None
ATFNBMH1,54,THE ATLANTIC FINANCE COMPANY LIMITED,HAMILTON,None
THIGBMH1,55,THRACIAN INVESTMENT MANAGERS,HAMILTON,None
TFIOBMH1,56,TWO AND FIVE INSURANCE COMPANY LTD,HAMILTON,None
UFADBMH1,57,UFG ADVISORS LIMITED,HAMILTON,None
WOTABMH1,58,WORLDWIDE TRANSACTIONS,HAMILTON,None
