swift_code,id,bank,city,branch
AMBDBNBB,1,AUTORITI MONETARI BRUNEI DARUSSALAM,BANDAR SERI BEGAWAN,None
BAIDBNBB,2,BAIDURI BANK BERHAD,BANDAR SERI BEGAWAN,None
BIBDBNBB,3,BANK ISLAM BRUNEI DARUSSALAM BERHAD,BANDAR SERI BEGAWAN,None
BKCHBNBB,4,BANK OF CHINA (HONG KONG) LIMITED, BRUNEI BRANCH,BANDAR SERI BEGAWAN,None
BIAGBNB1,5,BRUNEI INVESTMENT AGENCY,BANDAR SERI BEGAWAN,None
BRHPBNB1,6,BRUNEI SHELL PETROLEUM,SERIA,None
CCBRBNB1,7,CREDIT CORPORATION (BRUNEI) BHD,BANDAR SERI BEGAWAN,None
HSBCBNBB,8,HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, THE,BANDAR SERI BEGAWAN,None
MBBEBNBB,9,MALAYAN BANKING BERHAD,BANDAR SERI BEGAWAN,None
PTAIBNBB,10,PERBADANAN TABUNG AMANAH ISLAM BRUNEI,BANDAR SERI BEGAWAN,None
RHBBBNBB,11,RHB BANK BERHAD, BRUNEI,BANDAR SERI BEGAWAN,None
SCBLBNBB,12,STANDARD CHARTERED BANK - BRUNEI,BANDAR SERI BEGAWAN,None
UOVBBNC1,13,UNITED OVERSEAS BANK LTD,BANDAR SERI BEGAWAN,(BANDAR SERI BEGAWAN BRANCH)
UOVBBNBBCMS,14,UNITED OVERSEAS BANK LTD,BANDAR SERI BEGAWAN,(TRANSACTION BANKING)
UOVBBNBB,15,UNITED OVERSEAS BANK LTD,BANDAR SERI BEGAWAN,None
