swift_code,id,bank,city,branch
CBEBCGC1,1,BANQUE COMMERCIALE CONGOLAISE,POINTE-NOIRE,None
BCBPCGCG,2,BANQUE COMMERCIALE INTERNATIONALE (EX COFIPA CONGO),BRAZZAVILLE,None
BCBPCGCG001,3,BANQUE COMMERCIALE INTERNATIONALE (EX COFIPA CONGO),POINTE-NOIRE,None
BCHCCGCG,4,BANQUE CONGOLAISE DE L'HABITAT,BRAZZAVILLE,None
BDEACGCG,5,BANQUE DE DEVELOPPEMENT DES ETATS DE L'AFRIQUE CENTRALE (BDEAC),BRAZZAVILLE,None
BEACCGCG,6,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. CONGO,BRAZZAVILLE,None
BEACCGCGALL,7,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. CONGO,OUESSO,None
BEACCGCG410,8,BANQUE DES ETATS DE L'AFRIQUE CENTRALE D.N. CONGO,POINTE-NOIRE,(AGENCE DE POINTE-NOIRE)
BESCCGCG,9,BANQUE ESPIRITO SANTO CONGO,BRAZZAVILLE,None
CONICGC1,10,BANQUE INTERNATIONALE DU CONGO,BRAZZAVILLE,None
CONICGC10C2,11,BANQUE INTERNATIONALE DU CONGO,POINTE-NOIRE,None
CNNGCGCG,12,BANQUE POSTALE DU CONGO,BRAZZAVILLE,None
SCAQCGCG,13,BANQUE SINO-CONGOLAISE POUR L'AFRIQUE,BRAZZAVILLE,None
BGFICGCG,14,BGFIBANK CONGO,BRAZZAVILLE,None
BCMACGCG,15,CREDIT DU CONGO,POINTE-NOIRE,None
ECOCCGCG,16,ECOBANK CONGO,BRAZZAVILLE,None
CRAGCGCG,17,LA CONGOLAISE DE BANQUE (LCB),BRAZZAVILLE,None
SOGECGCG,18,SOCIETE GENERALE CONGO,BRAZZAVILLE,None
UNAFCGCG,19,UNITED BANK FOR AFRICA, CONGO BRAZZ,BRAZZAVILLE,None
