swift_code,id,bank,city,branch
ABBNCWC1,1,ABB INVESTMENT N.V.,WILLEMSTAD,None
ABNACWC1,2,ABN-AMRO TRUST COMPANY,WILLEMSTAD,None
IRPPCWCW,3,ADAMA IRVITA N.V.,WILLEMSTAD,None
CARACWCU,4,BANCARIBE CURACAO BANK N.V.,WILLEMSTAD,None
BALICWC1,5,BANCO ALIADO INTERNACIONAL NV,WILLEMSTAD,None
COOVCWC1,6,BANCO CONTINENTAL OVERSEAS N.V.,WILLEMSTAD,None
ORIBCWCU,7,BANCO DEL ORINOCO,WILLEMSTAD,None
BDCCCWCU,8,BANCO DI CARIBE N.V.,WILLEMSTAD,None
BAMRCWC1,9,BANCO MERCANTIL,WILLEMSTAD,None
NCRTCWCA,10,BANCO NACIONAL DE CREDITO, C.A. B U, SRCSAL CURACAO,WILLEMSTAD,None
BPROCWC1,11,BANCO PROVINCIAL,WILLEMSTAD,None
BPOCCWCU,12,BANCO PROVINCIAL OVERSEAS N.V.,WILLEMSTAD,None
BBICCWCW,13,BLUE BANK INTERNATIONAL N.V.,WILLEMSTAD,None
SKYBCWCU,14,BNC INTERNATIONAL BANK NV,WILLEMSTAD,None
CBCSCWCU,15,CENTRALE BANK VAN CURACAO EN SINT MAARTEN,WILLEMSTAD,None
CITCCWCUDSK,16,CITCO BANKING CORPORATION N.V.,WILLEMSTAD,(DEALING ROOM)
CITCCWCU,17,CITCO BANKING CORPORATION N.V.,WILLEMSTAD,(HEAD OFFICE)
DEFBCWC1,18,DEUTSCHE BANK FINANCE N.V.,WILLEMSTAD,None
DVKBCWC1,19,DVB BANK AMERICA N.V.,WILLEMSTAD,None
EBNVCWCU,20,EBNA BANK N.V.,WILLEMSTAD,None
EINBCWCU,21,EXPRINTER INTERNATIONAL BANK N.V.,WILLEMSTAD,None
FCURCWCU,22,FIRST CURACAO INTERNATIONAL BANK N.V.,WILLEMSTAD,None
FCIBCWCD,23,FIRSTCARIBBEAN INTERNATIONAL BANK (CAYMAN LTD) CURACAO BRANCH,WILLEMSTAD,None
FCIBCWCU,24,FIRSTCARIBBEAN INTERNATIONAL BANK (CAYMAN LTD) CURACAO BRANCH,WILLEMSTAD,None
FCIBCWC2,25,FIRSTCARIBBEAN INTERNATIONAL BANK (CURACAO) N.V.,WILLEMSTAD,None
GIRCCWCC,26,GIROBANK INTERNATIONAL N.V.,WILLEMSTAD,None
GIRCCWCU,27,GIROBANK N.V.,WILLEMSTAD,None
HBBOCWCU,28,HB SUBHOLDING B.V.,WILLEMSTAD,None
HOLUCWC1,29,HOLLANDSCHE BANK-UNIE (INTERNATIONA L) N.V.,WILLEMSTAD,None
ITCOCWC1,30,INTERPRO BANK AND TRUST COMPANY,WILLEMSTAD,None
INANCWC1,31,INTERUNION BANK (ANTILLES),WILLEMSTAD,None
MCBKCWCU,32,MADURO AND CURIEL'S BANK N.V.,WILLEMSTAD,None
MLIVCWC1,33,MERRILL LYNCH INTERNATIONAL AND CO. C.V.,WILLEMSTAD,None
MIDCCWC1,34,MIDDENBANK CURACAO N.V.,WILLEMSTAD,None
BMIDCWC1,35,MIDPACIFIC BANK N.V.,WILLEMSTAD,None
MOCNCWC1,36,MOORE GLOBAL FIXED INCOME FUND LTD.,WILLEMSTAD,None
NCBCCWC1,37,NETHERLANDS CARIBBEAN BANK, N.V.,WILLEMSTAD,None
NRROCWC1,38,NORO BANK N.V.,WILLEMSTAD,None
ORBACWCU,39,ORCO BANK N.V.,WILLEMSTAD,None
PBBPCWC1,40,PSB BANK N.V.,WILLEMSTAD,None
RBTTCWCU,41,RBC ROYAL BANK N.V. (FORMERLY RBTT BANK N.V.),WILLEMSTAD,None
RIBKCWCU,42,REPUBLIC INTERNATIONAL BANK, N.V.,WILLEMSTAD,None
RGRRCWC1,43,RORENTO N.V.,WILLEMSTAD,None
SFANCWCU,44,SOCIETE FINANCIERE DES ANTILLES N.V,WILLEMSTAD,None
SAINCWCU,45,SOUTH AMERICAN INTERNATIONAL BANK OF CURACAO,WILLEMSTAD,None
TOTLCWCU,46,TOTALBANK CURACAO N.V.,SCHARLOO,None
UDIBCWCU,47,UNITED INTERNATIONAL BANK N.V.,WILLEMSTAD,None
CITCCWCC,48,VIDANOVA BANK N.V. (FORMERLY S.F.T. BANK),WILLEMSTAD,None
