swift_code,id,bank,city,branch
VENRFRP1,1,123VENTURE SA,PARIS,None
GSTIFRP1,2,1818 GESTION,PARIS,None
PATFFRP1,3,2020 PATRIMOINE FINANCE,PARIS,None
SOCLFRP1,4,21 SOCIETE CENTRALE POUR L'INDUSTRIE,PARIS,None
AMATFRP1,5,2I2C ASSET MANAGEMENT,PARIS,None
TSIGFR22,6,3 SUISSES INTERNATIONAL,CROIX,None
AMDEFRP1,7,360 AM,PARIS,None
ASMRFRP1,8,360 ASSET MANAGERS,PARIS,None
IVPRFR21,9,38X INVESTMENT PARTNERS,AIX EN PROVENCE,None
PLFIFRP1,10,A PLUS FINANCE SA,PARIS,None
GETTFR21,11,A.2. GESTION SAS,AMIENS,None
AAVPFR21,12,A.V.I.P. - ASSURANCE VIE ET PREVOYANCE SA,COURBEVOIE,None
MAMEFRP1,13,A3M (ASSOCIATION DE MOYENS MALAKOFF MEDERIC),PARIS,None
AARBFRP1,14,AAREAL BANK AG, PARIS BRANCH,PARIS,None
AAFAFRP1,15,AAZ FINANCES SA,PARIS,None
ABAXFRP1,16,ABAXBOURSE,PARIS,None
ANNFFRL1,17,ABBEY NATIONAL FRANCE,LILLE,None
ANTSFRP1,18,ABBEY NATIONAL TREASURY SERVICES PLC, PARIS BRANCH,PARIS,None
AAEAFRP1,19,ABC ARBITRAGE ASSET MANAGEMENT,PARIS,None
ABCOFRPP,20,ABC INTERNATIONAL BANK PARIS BRANCH,PARIS,None
EBAPFRPPCOL,21,ABE CLEARING SAS/EBA CLEARING,PARIS,(COLLATERAL ACCOUNT)
EBAPFRPPINT,22,ABE CLEARING SAS/EBA CLEARING,PARIS,(INTEREST ACCOUNT)
EBAPFRPPPSA,23,ABE CLEARING SAS/EBA CLEARING,PARIS,(PRE-SETTLEMENT ACCOUNT)
EBAPFRPP,24,ABE CLEARING SAS/EBA CLEARING,PARIS,None
EBAPFRPS,25,ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),PARIS,None
ABTMFRP1,26,ABERDEEN ASSET MANAGEMENT,PARIS,None
ABEGFRP1,27,ABF ASSET MANAGEMENT,PARIS,None
ABCGFRP1,28,ABF CAPITAL MANAGEMENT,PARIS,None
AACIFRP1,29,ABN AMRO COMMUNICATIONS INTERNATIONALES,PARIS,None
