swift_code,id,bank,city,branch
MEESGGSP,1,ABN AMRO (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,None
ARMKGGSP,2,ALTERNATIVE RISK MANAGEMENT LIMITED,ST. PETER PORT,None
AFALGGSP,3,AUGENTIUS FUND ADMINISTRATION (GUERNSEY) LIMITED,ST. PETER PORT,None
SARAGGSP,4,BANK J. SAFRA SARASIN LTD, GUERNSEY BRANCH,ST. PETER PORT,None
BAERGGSP,5,BANK JULIUS BAER AND CO LTD (GUERNSEY BRANCH),ST. PETER PORT,None
BCYPGGS1,6,BANK OF CYPRUS (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,None
BCVLGGSP,7,BANQUE CANTONALE VAUDOISE,ST. PETER PORT,None
BARCGGS10S2,8,BARCLAYS BANK PLC,ST. PETER PORT,(BARCLAYS BANK PLC GUERNSEY)
BARCGGS10WG,9,BARCLAYS BANK PLC,ST. PETER PORT,(BCPI LIMITED WOOLWICH GUERNSEY)
BARCGGS1,10,BARCLAYS BANK PLC,ST. PETER PORT,None
BGUEGGS1,11,BARCLAYS FINANCE CO (GUERNSEY) LTD,ST. PETER PORT,None
BPBLGGS1,12,BARCLAYS PRIVATE BANK AND TRUST LTD,ST. PETER PORT,None
BSYSGGS1,13,BISYS INVESTMENT SERVICES,ST. PETER PORT,None
BPPBGGS1,14,BNP PARIBAS (SUISSE) SA,ST. PETER PORT,None
BNTBGGSX,15,BUTTERFIELD BANK (GUERNSEY) LIMITED,ST. PETER PORT,None
CGWIGGSP,16,CANACCORD GENUITY WEALTH (INTERNATIONAL) LIMITED,ST. PETER PORT,None
CECIGGS1,17,CENKOS CHANNEL ISLANDS LIMITED,ST. PETER PORT,None
CHSOGGS1,18,CHANDLER SECURITIES (EUROPE) LIMITED,ST. PETER PORT,None
PARBGGS1,19,CIE FINANCIERE PARIBAS NEDERLAND,ST. PETER PORT,None
CLSAGGS1,20,CLSA GUERNSEY LTD,ST. PETER PORT,None
COLTGGS1,21,COLLINS STEWART (CI) LTD,ST. PETER PORT,None
CRESGGSP,22,CREDIT SUISSE AG, GUERNSEY BRANCH,ST. PETER PORT,None
CSDCGGSX,23,CREDIT SUISSE DEPOSIT CENTRE,ST. PETER PORT,None
COSLGGS1,24,CUSTODY OPS (SCIL BULK),ST. PETER PORT,None
MGCOGGS1,25,DEUTSCHE BANK INTERNATIONAL LIMITED,ST. PETER PORT,None
EFGBGGSP,26,EFG PRIVATE BANK (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,None
FIOTGGS1,27,FIRSTRAND INTERNATIONAL LIMITED,ST. PETER PORT,None
FNBBGGS1,28,FLEET BOSTON FINANCIAL (GUERNSEY),ST. PETER PORT,None
FIRNGGSP,29,FNB CHANNEL ISLANDS,ST. PETER PORT,None
GREIGGS1,30,GREIG MIDDLETON (CI) LTD.,ST. PETER PORT,None
HGLIGGS1,31,HANSON BANK LIMITED,ST. PETER PORT,None
MIDLGGS101E,32,HSBC BANK PLC,ALDERNEY,(ALDERNEY)
MIDLGGS101D,33,HSBC BANK PLC,SARK,(SARK)
MIDLGGS101B,34,HSBC BANK PLC,ST. MARTIN,(ST MARTIN)
MIDLGGS101A,35,HSBC BANK PLC,ST. PETER PORT,(PREMIER CENTRE)
MIDLGGS1,36,HSBC BANK PLC,ST. PETER PORT,None
MIDLGGS101C,37,HSBC BANK PLC,ST. SAMPSON,(ST SAMPSON)
BLICGGSX,38,HSBC PRIVATE BANK (C.I.) LIMITED,ST. PETER PORT,None
IPESGGSP,39,INTERNATIONAL PRIVATE EQUITY SERVICE LIMITED,ST. PETER PORT,None
GFFMGGS1,40,INVESTEC ASSET MANAGEMENT GUERNSEY LTD,ST. PETER PORT,None
GMGUGGSP,41,INVESTEC BANK (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,None
JPOLGGSA,42,JOANNOU AND PARASKEVAIDES (OVERSEAS) LIMITED,ST. PETER PORT,None
LBGUGGS1,43,LAZARD BROTHERS AND CO (GUERNSEY) LTD,ST. PETER PORT,None
EFGFGGSP,44,LEONTEQ SECURITIES AG, GUERNSEY BRANCH,ST. PETER PORT,None
LOYDGGS1005,45,LLOYDS BANK INTERNATIONAL LIMITED,ALDERNEY,(ALDERNEY (774708))
LOYDGGS1004,46,LLOYDS BANK INTERNATIONAL LIMITED,ST. MARTIN,(ST. MARTIN (774707))
LOYDGGS1001,47,LLOYDS BANK INTERNATIONAL LIMITED,ST. PETER PORT,(GUERNSEY (309373))
LOYDGGS1002,48,LLOYDS BANK INTERNATIONAL LIMITED,ST. PETER PORT,(GUERNSEY (774705))
LOYDGGS1,49,LLOYDS BANK INTERNATIONAL LIMITED,ST. PETER PORT,None
LOYDGGS1003,50,LLOYDS BANK INTERNATIONAL LIMITED,ST. SAMPSON,(ST. SAMPSON (774706))
ETHNGGS1,51,NATIONAL BANK OF GREECE S.A.,ST. PETER PORT,None
RBOSGG21,52,NATWEST OFFSHORE LIMITED,ST. PETER PORT,None
RBOSGGSX,53,NATWEST-GUERNSEY,ST. PETER PORT,None
NREIGGSP,54,NOMURA REINSURANCE 1 IC LIMITED,ST. PETER PORT,None
BBCOGGSP,55,NORTHERN TRUST (GUERNSEY) LIMITED,ST. PETER PORT,None
OAKTGGSP,56,OAK TRUST (GUERNSEY) LIMITED,ST. PETER PORT,None
ODWMGGS1,57,ODEY WEALTH MANAGEMENT (C.I.) LIMITED,ST. PETER PORT,None
PRAXGGS1,58,PRAXIS FIDUCIARIES LIMITED,ST. PETER PORT,None
PXISGGSP,59,PRAXISIFM TRUST LIMITED,ST. PETER PORT,None
ROSWGGSP,60,ROTHSCHILD BANK (CI) LIMITED,ST. PETER PORT,None
ROTHGGSP,61,ROTHSCHILD BANK INTERNATIONAL LTD,ST. PETER PORT,None
ROWAGGV1,62,ROWAN AND COMPANY LTD,VALE,None
ROYCGGSPOFM,63,ROYAL BANK OF CANADA (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,(OFM)
ROYCGGSP,64,ROYAL BANK OF CANADA (CHANNEL ISLANDS) LIMITED,ST. PETER PORT,None
RBOSGGS1888,65,ROYAL BANK OF SCOTLAND INTERNATIONAL LIMITED, THE,ST. PETER PORT,(GUERNSEY LTD CHAPS ONLY)
RBOSGGS1029,66,ROYAL BANK OF SCOTLAND INTERNATIONAL LIMITED, THE,ST. PETER PORT,(GUERNSEY)
RBOSGGS1886,67,ROYAL BANK OF SCOTLAND INTERNATIONAL LIMITED, THE,ST. PETER PORT,(ST. PETER PORT, GUERNSEY)
RBOSGGSP,68,ROYAL BANK OF SCOTLAND INTERNATIONAL LIMITED, THE,ST. PETER PORT,None
SIMGGGS1,69,SCHRODER INVESTMENT MANAGEMENT (GUERNSEY) LTD,ST. PETER PORT,None
SCHDGGSP,70,SCHRODERS (C.I.) LIMITED,ST. PETER PORT,None
SEIQGGSP,71,SEI INVESTMENTS-GUERNSEY LIMITED,ST. PETER PORT,None
SEIQGGSPG26,72,SEI INVESTMENTS-GUERNSEY LIMITED,ST. PETER PORT,None
SEIQGGSPG66,73,SEI INVESTMENTS-GUERNSEY LIMITED,ST. PETER PORT,None
HAMBGGSP,74,SG KLEINWORT HAMBROS BANK (CI) LIMITED - GUERNSEY BRANCH,ST. PETER PORT,None
KBENGGST,75,SG KLEINWORT HAMBROS BANK (CI) LIMITED - GUERNSEY BRANCH (FORMERLY KLEINWORT BENSON (CI) LTD),ST. PETER PORT,None
SPEAGGS1,76,SPEARPOINT LIMITED,ST. PETER PORT,None
CPBKGGS1,77,THE CO-OPERATIVE BANK PLC,ST. PETER PORT,None
IAMTGGS1,78,TILNEY ASSET MANAGEMENT (GUERNSEY) LTD,ST. PETER PORT,None
USCBGGSP,79,US CB REINSURANCE 1 IC LIMITED,ST. PETER PORT,None
VAGUGGS1,80,VALCOURT (GUERNSEY) LIMITED.,ST. PETER PORT,None
