swift_code,id,bank,city,branch
SAUEGRA1,1,A. SARRIS SECURITIES S.A.,ATHENS,None
ABXEGRA1,2,ABAX SECURITIES S.A.,ATHENS,None
ACPEGRA1,3,ACCESS PAYMENT SERVICES S.A.,ATHENS,None
AEBAGRAA,4,AEGEAN BALTIC BANK S.A.,MAROUSI,None
AEIFGRA1,5,AEOLIAN INVESTMENT FUND S.A.,ATHENS,None
AGGEGRA1,6,AGRICULTURAL BANK OF GREECE SECURITIES S.A.,ATHENS,None
ALEEGRA1,7,ALICO EUROBANK,ATHENS,None
ALKEGRA1,8,ALKE STOCKBROKERS S.A.,ATHENS,None
CRBAGRAA,9,ALPHA BANK AE,ATHENS,None
ALPRGRA1,10,ALPHA FINANCE BROKERAGE INVESTMENT SERVICES S.A.,ATHENS,None
APISGRA1,11,ALPHA PRIVATE INVESTMENT SERVICES,ATHENS,None
ATIEGR21,12,ALPHA TRUST INVESTMENT SERVICES S.A,KIFISIA,None
ARGHGRA1,13,ARGOCHANGE S.A.,ATHENS,None
ARSIGRA1,14,ARTION SECURITIES S.A.,ATHENS,None
XADEGRA1,15,ATHENS DERIVATIVES EXCHANGE S.A. (ADEX), THE,ATHENS,None
XATHGRA1,16,ATHENS STOCK EXCHANGE,ATHENS,None
AUTIGRA1,17,ATHENS URBAN TRANSPORT ORGANISATION S.A. (O.A.S.A.),ATHENS,None
ATHCGRA1,18,ATHEXCLEAR,ATHENS,None
ATSUGRA1,19,ATHINAIKI SECURITIES S.A.,ATHENS,None
ATSRGRA1,20,ATLAS SECURITIES SA,ATHENS,None
ATTIGRAA,21,ATTICA BANK SA,ATHENS,None
AXSEGRA1,22,AXON SECURITIES S.A.,ATHENS,None
KEDRGRAA,23,B AND N BANK GREEK BRANCH,ATHENS,None
BOFAGR2X,24,BANK OF AMERICA, N.A. ATHENS,ATHENS,None
BNGRGRAA030,25,BANK OF GREECE,ATHENS,(ACCOUNTING CONTROL SECTION)
BNGRGRAAACO,26,BANK OF GREECE,ATHENS,(ATHENS CLEARING OFFICE)
BNGRGRAASSS,27,BANK OF GREECE,ATHENS,(BOOK ENTRY SECURITIES MANAGEMENT SECTION)
BNGRGRAACCB,28,BANK OF GREECE,ATHENS,(BOOK ENTRY SECURITIES MANAGEMT SECTION-CORR.CENTRAL BK MODEL SYST)
BNGRGRAA053,29,BANK OF GREECE,ATHENS,(CASH PROCESSING SECTION)
BNGRGRA1CBF,30,BANK OF GREECE,ATHENS,(CBF)
BNGRGRA1CUS,31,BANK OF GREECE,ATHENS,(CUSTOMERS PORTFOLIO)
BNGRGRAA059,32,BANK OF GREECE,ATHENS,(DATA CONTROL SECTION)
BNGRGRAA042,33,BANK OF GREECE,ATHENS,(DEPOSIT ACCOUNTS SECTION)
BNGRGRAADIA,34,BANK OF GREECE,ATHENS,(DIAS-CH)
BNGRGRAA017,35,BANK OF GREECE,ATHENS,(DOCUMENTARY CREDITS SECTION)
BNGRGRAAEUX,36,BANK OF GREECE,ATHENS,(ECB ACCOUNT FOR BANK OF GREECE)
BNGRGRA1APR,37,BANK OF GREECE,ATHENS,(EXCHANGE OF ISIN)
BNGRGRAA013,38,BANK OF GREECE,ATHENS,(FOREIGN EXCHANGE TRANSCACTIONS SECTION)
BNGRGRAA027,39,BANK OF GREECE,ATHENS,(GOVERNMENT SECURITIES CUSTODY AND MANAGEMENT SECTION)
BNGRGRAAHRM,40,BANK OF GREECE,ATHENS,(HERMES RTGS SYSTEM)
BNGRGRA1EFS,41,BANK OF GREECE,ATHENS,(ISSUER EFSF)
BNGRGRA1OAS,42,BANK OF GREECE,ATHENS,(ISSUER OASA)
BNGRGRA1ISS,43,BANK OF GREECE,ATHENS,(ISSUER)
BNGRGRAACON,44,BANK OF GREECE,ATHENS,(LARGE-VALUE PAYMENTS SYSTEM MANAGEMENT SECTION)
BNGRGRAA072,45,BANK OF GREECE,ATHENS,(MONETARY POLICY IMPLEMENTATION SUPPORT SECTION)
BNGRGRAA094,46,BANK OF GREECE,ATHENS,(MONEY MARKETS SECTION)
BNGRGRA1MTI,47,BANK OF GREECE,ATHENS,(MONTE TITOLI)
BNGRGRAAPBS,48,BANK OF GREECE,ATHENS,(PAYMENTS OF BOOK ENTRY SECURITIES SECTION)
BNGRGRA1PII,49,BANK OF GREECE,ATHENS,(PUBLIC INSTITUTIONS AND INSURANCE FUNDS)
BNGRGRAA012,50,BANK OF GREECE,ATHENS,(RESERVES MANAGEMENT BACKUP SECTION)
BNGRGRAASCT,51,BANK OF GREECE,ATHENS,(SEPA CREDIT TRANSFER)
BNGRGRA1STA,52,BANK OF GREECE,ATHENS,(STRIPPING A)
BNGRGRA1STB,53,BANK OF GREECE,ATHENS,(STRIPPING B)
