swift_code,id,bank,city,branch
ABCLKENA,1,AFRICAN BANKING CORPORATION LTD,NAIROBI,None
AFDBKEN1,2,AFRICAN DEVELOPMENT BANK,NAIROBI,None
ASHSKEN1,3,AFRIKA INVESTMENT BANK LTD,NAIROBI,None
AFRIKENX002,4,BANK OF AFRICA KENYA LTD,MOMBASA,(MOMBASA BRANCH)
AFRIKENX,5,BANK OF AFRICA KENYA LTD,NAIROBI,None
BARBKENAELD,6,BANK OF BARODA (KENYA) LTD,ELDORET,(ELDORET BRANCH)
BARBKENAKAK,7,BANK OF BARODA (KENYA) LTD,KAKAMEGA,(KAKAMEGA BRANCH)
BARBKENAKIS,8,BANK OF BARODA (KENYA) LTD,KISUMU,(KISUMU BRANCH)
BARBKENAMER,9,BANK OF BARODA (KENYA) LTD,MERU,(MERU BRANCH)
BARBKENAMOM,10,BANK OF BARODA (KENYA) LTD,MOMBASA,(DIGO ROAD, MOMBASA)
BARBKENAMRN,11,BANK OF BARODA (KENYA) LTD,MOMBASA,(MOMBASA ROAD BRANCH)
BARBKENANYA,12,BANK OF BARODA (KENYA) LTD,MOMBASA,(NYALI BRANCH, MOMBASA, KENYA)
BARBKENADIA,13,BANK OF BARODA (KENYA) LTD,NAIROBI,(DIAMOND PLAZA)
BARBKENAIND,14,BANK OF BARODA (KENYA) LTD,NAIROBI,(INDUSTRIAL AREA BR.)
BARBKENANMO,15,BANK OF BARODA (KENYA) LTD,NAIROBI,(NAIROBI MAIN)
BARBKENASAR,16,BANK OF BARODA (KENYA) LTD,NAIROBI,(SARIT CENTRE)
BARBKENA,17,BANK OF BARODA (KENYA) LTD,NAIROBI,None
BARBKENANAK,18,BANK OF BARODA (KENYA) LTD,NAKURU,(NAKURU BRANCH)
BARBKENATHI,19,BANK OF BARODA (KENYA) LTD,THIKA,(THIKA BRANCH)
BKIDKENAELD,20,BANK OF INDIA,ELDORET,(ELDORET)
BKIDKENAKSM,21,BANK OF INDIA,KISUMU,(KISUMU)
BKIDKENAMSA,22,BANK OF INDIA,MOMBASA,(MOMBASA BR)
BKIDKEM1,23,BANK OF INDIA,MOMBASA,None
BKIDKENAIAB,24,BANK OF INDIA,NAIROBI,(INDUSTRIAL AREA BR)
BKIDKENAWST,25,BANK OF INDIA,NAIROBI,(WESTLANDS BR)
BKIDKEM10NA,26,BANK OF INDIA,NAIROBI,None
BKIDKENA,27,BANK OF INDIA,NAIROBI,None
BARCKENXELD,28,BARCLAYS BANK OF KENYA, LTD.,ELDORET,(ELDORET BRANCH)
BARCKENXMDR,29,BARCLAYS BANK OF KENYA, LTD.,MOMBASA,(DIGO ROAD MOMBASA)
BARCKENXMNR,30,BARCLAYS BANK OF KENYA, LTD.,MOMBASA,(NKRUMAH ROAD BRANCH)
BARCKENXOCB,31,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(BACK OFFICE PROCESSING CENTRE, BANK HOUSE)
BARCKENXNCC,32,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(CARD CENTRE NAIROBI)
BARCKENXDLR,33,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(DEALERS DEPARTMENT H/O)
BARCKENXNDC,34,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(NAIROBI DISTRIBUTION CENTRE)
BARCKENXPIS,35,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(PAYMENTS AND INTERNATIONAL SERVICES)
BARCKENXNPB,36,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(PLAZA BUSINESS CENTRE)
BARCKENXTPC,37,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(TRADE PROCESSING CENTRE)
BARCKENXVPC,38,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,(VOUCHER PROCESSING CENTRE)
BARCKENX,39,BARCLAYS BANK OF KENYA, LTD.,NAIROBI,None
BAIVKEN1,40,BARCLAYTRUST INVESTMENT SERVICES LIMITED,NAIROBI,None
BIBKKEN10MB,41,BIASHARA BANK OF KENYA LTD.,MOMBASA,None
BIBKKEN1,42,BIASHARA BANK OF KENYA LTD.,NAIROBI,None
BATSKE31,43,BRITISH AMERICAN TOBACCO AREA LTD,NAIROBI,None
BATSKEN1,44,BRITISH AMERICAN TOBACCO KENYA LTD,NAIROBI,None
CRMFKENA,45,CARITAS MICROFINANCE BANK LIMITED,NAIROBI,None
CBKEKEN1ELD,46,CENTRAL BANK OF KENYA,ELDORET,(ELDORET BRANCH)
CBKEKEN1KSM,47,CENTRAL BANK OF KENYA,KISUMU,(KISUMU BRANCH)
CBKEKEN1MSA,48,CENTRAL BANK OF KENYA,MOMBASA,(MOMBASA BRANCH)
CBKEKENXBKG,49,CENTRAL BANK OF KENYA,NAIROBI,(BANKING DIVISION)
CBKEKENXCNY,50,CENTRAL BANK OF KENYA,NAIROBI,(CURRENCY DIVISION)
CBKEKENXNDO,51,CENTRAL BANK OF KENYA,NAIROBI,(NATIONAL DEBT DIVISION)
CBKEKENX,52,CENTRAL BANK OF KENYA,NAIROBI,None
CDSNKENA,53,CENTRAL DEPOSITORY AND SETTLEMENT CORPORATION,NAIROBI,None
CFFSKEN1,54,CFC FINANCIAL SERVICES LIMITED,NAIROBI,None
CHBLKEN1,55,CHARTERHOUSE BANK LIMITED,NAIROBI,None
CKENKENA,56,CHASE BANK (KENYA) LIMITED,NAIROBI,None
CITIKENATRD,57,CITIBANK N.A. NAIROBI,NAIROBI,(TRADE SERVICES DEPARTMENT)
CITIKENA,58,CITIBANK N.A. NAIROBI,NAIROBI,None
CBAFKENX,59,COMMERCIAL BANK OF AFRICA LTD.,NAIROBI,None
CONKKENA,60,CONSOLIDATED BANK OF KENYA LTD,NAIROBI,None
CRBTKENA,61,CREDIT BANK LIMITED,NAIROBI,None
CRORKEN1,62,CROSSFIELD SECURITIES LTD,NAIROBI,None
DEVKKENA,63,DEVELOPMENT BANK OF KENYA LIMITED,NAIROBI,None
DTKEKENA,64,DIAMOND TRUST BANK KENYA LIMITED,NAIROBI,(HEAD OFFICE)
DUIBKENA,65,DIB BANK KENYA LTD,NAIROBI,None
DISRKEN1,66,DISCOUNT SECURITIES LIMITED,NAIROBI,None
FRDRKEN1,67,DRUMMOND INVESTMENT BANK LIMITED,NAIROBI,None
DYBRKEN1,68,DYER AND BLAIR LIMITED,NAIROBI,None
EADBKEN1,69,EAST AFRICAN DEVELOPMENT BANK,NAIROBI,None
ESATKENA,70,EASTERN AND SOUTHERN AFRICAN TRADE AND DEVELOPMENTBANK,NAIROBI,None
ECOCKENA,71,ECOBANK KENYA LTD,NAIROBI,None
EFHKKEN1,72,EFG HERMES KENYA LIMITED,NAIROBI,None
EQBLKENA,73,EQUITY BANK (KENYA) LIMITED,NAIROBI,None
EQSTKEN1,74,EQUITY STOCKBROKERS LIMITED,NAIROBI,None
EUOOKEN1,75,EURO BANK,NAIROBI,None
FASRKEN1,76,FAIDA INVESTMENT BANK LTD,NAIROBI,None
FABLKENA,77,FAMILY BANK LIMITED,NAIROBI,None
FAUMKENA,78,FAULU MICROFINANCE BANK LIMITED,NAIROBI,None
IFCBKENA,79,FIRST COMMUNITY BANK LIMITED,NAIROBI,None
GIROKENX,80,GIRO COMMERCIAL BANK LTD,NAIROBI,None
GTBIKENA,81,GUARANTY TRUST BANK (KENYA) LTD,NAIROBI,None
GUARKENA,82,GUARDIAN BANK LIMITED,NAIROBI,None
GAFRKENA,83,GULF AFRICAN BANK LTD,NAIROBI,None
HBZUKEN1MSA,84,HABIB BANK AG ZURICH,MOMBASA,None
HBZUKENA,85,HABIB BANK AG ZURICH,NAIROBI,None
HAKSKEN1,86,HAK SECURITIES LTD,NAIROBI,None
HFCOKENA,87,HFC LIMITED,NAIROBI,None
IMBLKENAFTR,88,I AND M BANK LTD,NAIROBI,(FUNDS TRANSFER DEPARTMENT)
IMBLKENASTL,89,I AND M BANK LTD,NAIROBI,(SETTLEMENT DEPARTMENT)
IMBLKENATRD,90,I AND M BANK LTD,NAIROBI,(TRADE FINANCE DEPARTMENT)
IMBLKENA,91,I AND M BANK LTD,NAIROBI,None
IMPLKENA,92,IMPERIAL BANK LIMITED,NAIROBI,None
CIFIKENA,93,JAMII BORA BANK LTD,NAIROBI,None
KCBLKENX080,94,KCB BANK KENYA LIMITED,MOMBASA,(TREASURY SQUARE)
KCBLKENXDMM,95,KCB BANK KENYA LIMITED,NAIROBI,(DOMESTIC MONEY MARKET UNIT)
KCBLKENX012,96,KCB BANK KENYA LIMITED,NAIROBI,(GIGIRI-UNEP BRANCH)
KCBLKENX,97,KCB BANK KENYA LIMITED,NAIROBI,(HEAD OFFICE)
KCBLKENX002,98,KCB BANK KENYA LIMITED,NAIROBI,(INDUSTRIAL AREA)
KCBLKENX005,99,KCB BANK KENYA LIMITED,NAIROBI,(KIPANDE HOUSE)
KCBLKENX077,100,KCB BANK KENYA LIMITED,NAIROBI,(KISUMU MAIN)
KCBLKENX017,101,KCB BANK KENYA LIMITED,NAIROBI,(MOI AVENUE)
KCBLKENXTMK,102,KCB BANK KENYA LIMITED,NAIROBI,(TREASURY)
KCBLKENXCUS,103,KCB BANK KENYA LIMITED,NAIROBI,None
KCBLKENXTFS,104,KCB BANK KENYA LIMITED,NAIROBI,None
KPOBKEN1,105,KENYA POST OFFICE SAVINGS BANK,NAIROBI,None
KEWSKEN1,106,KENYA WIDE SECURITIES LIMITED,NAIROBI,None
KWMIKENX,107,KENYA WOMEN MICROFINANCE BANK,NAIROBI,None
KCEAKEN1,108,KESTREL CAPITAL EAST AFRICA LTD.,NAIROBI,None
MYBKKENA,109,MAYFAIR BANK LIMITED,NAIROBI,None
MIEKKENA,110,MIDDLE EAST BANK KENYA LTD,NAIROBI,None
MORBKENA,111,M-ORIENTAL BANK LTD,NAIROBI,None
XNAIKEN1,112,NAIROBI STOCK EXCHANGE,NAIROBI,None
NBKEKENX302,113,NATIONAL BANK OF KENYA LTD.,NAIROBI,(AWENDO BRANCH)
NBKEKENX957,114,NATIONAL BANK OF KENYA LTD.,NAIROBI,(BUNGOMA BRANCH)
NBKEKENX828,115,NATIONAL BANK OF KENYA LTD.,NAIROBI,(BUSIA BRANCH)
NBKEKENX310,116,NATIONAL BANK OF KENYA LTD.,NAIROBI,(CORPORATE DIVISION)
NBKEKENX789,117,NATIONAL BANK OF KENYA LTD.,NAIROBI,(ELDORET BRANCH)
NBKEKENX711,118,NATIONAL BANK OF KENYA LTD.,NAIROBI,(HARAMBEE AVENUE BRANCH)
NBKEKENX808,119,NATIONAL BANK OF KENYA LTD.,NAIROBI,(HILL PLAZA BRANCH)
NBKEKENX329,120,NATIONAL BANK OF KENYA LTD.,NAIROBI,(HOSPITAL BRANCH)
NBKEKENX965,121,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KAPSABET BRANCH)
NBKEKENX841,122,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KARATINA BRANCH)
NBKEKENX725,123,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KENYATTA AVENUE BRANCH)
NBKEKENX815,124,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KISII BRANCH)
NBKEKENX761,125,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KISUMU BRANCH)
NBKEKENX884,126,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KITALE BRANCH)
NBKEKENX930,127,NATIONAL BANK OF KENYA LTD.,NAIROBI,(KITUI BRANCH)
NBKEKENX922,128,NATIONAL BANK OF KENYA LTD.,NAIROBI,(LIMURU BRANCH)
NBKEKENX833,129,NATIONAL BANK OF KENYA LTD.,NAIROBI,(MERU BRANCH)
NBKEKENX743,130,NATIONAL BANK OF KENYA LTD.,NAIROBI,(MOI AVENUE BRANCH)
NBKEKENX949,131,NATIONAL BANK OF KENYA LTD.,NAIROBI,(MOLO BRANCH)
NBKEKENX973,132,NATIONAL BANK OF KENYA LTD.,NAIROBI,(MOMBASA MOI BRANCH)
NBKEKENX739,133,NATIONAL BANK OF KENYA LTD.,NAIROBI,(MOMBASA NKURUMAH BRANCH)
NBKEKENX757,134,NATIONAL BANK OF KENYA LTD.,NAIROBI,(NAKURU BRANCH)
NBKEKENX868,135,NATIONAL BANK OF KENYA LTD.,NAIROBI,(NAROK BRANCH)
NBKEKENX876,136,NATIONAL BANK OF KENYA LTD.,NAIROBI,(NYERI BRANCH)
NBKEKENX,137,NATIONAL BANK OF KENYA LTD.,NAIROBI,None
NBKEKENX337,138,NATIONAL BANK OF KENYA LTD.,RUIRU,(RUIRU BRANCH)
NGKAKEN1,139,NGENYE KARIUKI AND CO. LTD.,NAIROBI,None
NINCKENA,140,NIC BANK LIMITED,NAIROBI,(HEAD OFFICE)
PABLKEN1,141,PANAFRICAN BANK LIMITED,NAIROBI,None
PAUTKENA,142,PARAMOUNT BANK LIMITED,NAIROBI,None
PRIEKENX,143,PRIME BANK LTD.,NAIROBI,None
RMFBKENA,144,RAFIKI MICROFINANCE BANK,NAIROBI,None
RELSKEN1,145,RELIABLE SECURITIES LIMITED,NAIROBI,None
RECYKEN1,146,RENAISSANCE CAPITAL (KENYA) LIMITED,NAIROBI,None
SABMKEN1,147,SABMILLER KENYA,NAIROBI,None
SABMKEN1CBL,148,SABMILLER KENYA,NAIROBI,None
FCBLKENA,149,SBM BANK (KENYA) LIMITED,NAIROBI,None
SHMPKEN1,150,SHAH MUNGE AND PARTNERS LTD,NAIROBI,None
SIDNKENA,151,SIDIAN BANK LIMITED,NAIROBI,None
SMEPKENA,152,SMEP MICROFINANCE BANK,NAIROBI,None
SOISKEN1,153,SOLID INVESTMENT SECURITIES LTD,NAIROBI,None
EQUAKENA,154,SPIRE BANK LTD,NAIROBI,None
SBICKEN10MB,155,STANBIC BANK KENYA LIMITED,MOMBASA,None
SBICKENXSSP,156,STANBIC BANK KENYA LIMITED,NAIROBI,(STRUCTURED PAYMENTS)
SBICKENX,157,STANBIC BANK KENYA LIMITED,NAIROBI,None
SCBLKENXSSU,158,STANDARD CHARTERED BANK KENYA LIMITED,NAIROBI,(SECURITIES SERVICES UNIT)
SCBLKENXTRD,159,STANDARD CHARTERED BANK KENYA LIMITED,NAIROBI,(TRADE)
SCBLKENX,160,STANDARD CHARTERED BANK KENYA LIMITED,NAIROBI,None
STSKKEN1,161,STANDARD INVESTMENT BANK LTD,NAIROBI,None
SUSTKEN1,162,SUNTRA INVESTMENT BANK LTD,NAIROBI,None
KCOOKENA,163,THE CO-OPERATIVE BANK OF KENYA LTD,NAIROBI,None
TNBLKENA,164,TRANS-NATIONAL BANK LIMITED,NAIROBI,None
UNAFKENA,165,UBA KENYA BANK LIMITED,NAIROBI,None
VICMKENA,166,VICTORIA COMMERCIAL BANK LIMITED,NAIROBI,None
