swift_code,id,bank,city,branch
BOELKPP1,1,BANK OF EAST LAND, PYONGYANG,PYONGYANG,None
BRBKKPP1,2,BRILLIANCE BANKING CORPORATION LTD.,PYONGYANG,None
DCBKKPP1,3,DAEDONG CREDIT BANK,PYONGYANG,None
FTBDKPP1,4,FOREIGN TRADE BANK OF THE D.P.R. OF KOREA,PYONGYANG,None
FTBDKPP1KBC,5,FOREIGN TRADE BANK OF THE D.P.R. OF KOREA,PYONGYANG,None
KGTBKPP1,6,GOLDEN TRIANGLE BANK,NAMSAN,None
KDBKKPP1,7,KOREA DAESONG BANK,PYONGYANG,None
KKBCKPP1,8,KOREA KWANGSON BANKING CORP.,PYONGYANG,None
KCBKKPP1,9,KORYO COMMERCIAL BANK LTD.,PYONGYANG,None
KGCBKPP1,10,KORYO CREDIT DEVELOPMENT BANK,PYONGYANG,None
KMBKKPP1,11,KUMGANG BANK,PYONGYANG,None
NEABKPP1,12,NORTH EAST ASIA BANK,PYONGYANG,None
