swift_code,id,bank,city,branch
ABOCKRSE,1,AGRICULTURAL BANK OF CHINA SEOUL BRANCH,SEOUL,None
AIKRKRS1,2,AIA INTERNATIONAL, KOREA BRANCH,SEOUL,None
AITMKRS1,3,ANG INVESTMENT TRUST MANAGEMENT COMPANY,SEOUL,None
AUVKKRS1,4,AUDI VOLKSWAGEN KOREA LTD.,SEOUL,None
ANZBKRSX,5,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,SEOUL,None
BKMTKRSE,6,BANK MELLAT, SEOUL BRANCH,SEOUL,None
BNINKRSE,7,BANK NEGARA INDONESIA SEOUL BRANCH,SEOUL,None
BOFAKR2102P,8,BANK OF AMERICA, N.A. PUSAN,PUSAN,None
BOFAKR2X,9,BANK OF AMERICA, N.A. SEOUL BRANCH,SEOUL,None
BKCHKRSEANS,10,BANK OF CHINA SEOUL BRANCH,ANSAN,(ANSAN BRANCH)
BKCHKRSEDAE,11,BANK OF CHINA SEOUL BRANCH,DAEGU,(DAEGU BRANCH)
BKCHKRSEICN,12,BANK OF CHINA SEOUL BRANCH,INCHEON,(INCHEON BRANCH)
BKCHKRSEGRO,13,BANK OF CHINA SEOUL BRANCH,SEOUL,(GURO BRANCH)
BKCHKRSEGUR,14,BANK OF CHINA SEOUL BRANCH,SEOUL,(GURO BRANCH)
BKCHKRSE,15,BANK OF CHINA SEOUL BRANCH,SEOUL,None
COMMKRSE888,16,BANK OF COMMUNICATIONS CO. LTD SEOUL BRANCH,SEOUL,(SEOUL BRANCH (RMB CLEARING BANK))
COMMKRSE,17,BANK OF COMMUNICATIONS CO. LTD SEOUL BRANCH,SEOUL,None
BOKRKRST,18,BANK OF KOREA,SEOUL,None
BOKRKRSE,19,BANK OF KOREA, THE,SEOUL,None
NOSCKRSE,20,BANK OF NOVA SCOTIA, THE, SEOUL BRANCH,SEOUL,None
BOTKKRSX,21,BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE,SEOUL,(SEOUL BRANCH)
BKTIKRS1,22,BANKERS TRUST INTERNATIONAL,SEOUL,None
BZWSKRS1,23,BARCLAYS DE ZOETE WEDD SECURITIES LTD.,SEOUL,None
BRIUKRS1,24,BARO INVESTMENT SECURITIES,SEOUL,None
BATSKR21,25,BAT KOREA MANUFACTURING LTD,SACHEON-SI,None
BPPSKRS1,26,BNP PARIBAS SECURITIES KOREA CO., LTD.,SEOUL,None
BNPAKRSE,27,BNP PARIBAS SEOUL BRANCH,SEOUL,None
BOOSKRS1,28,BOOKOOK SECURITIES CO LTD,SEOUL,None
BATSKRS1,29,BRITISH AMERICAN TOBACCO KOREA,SEOUL,None
PUSBKR2P,30,BUSAN BANK,BUSAN,None
PUSBKR2PMAS,31,BUSAN BANK,MASAN,(MASAN BRANCH)
PUSBKR2PINT,32,BUSAN BANK,SEOUL,(INTERNATIONAL DEPARTMENT SEOUL)
PUSBKR2PSEL,33,BUSAN BANK,SEOUL,(SEOUL BRANCH)
BZSEKRS1,34,BZW SECURITIES LTD.,SEOUL,None
CIWWKRSE,35,CHEIL WORLDWIDE, INC,SEOUL,None
PCBCKRSE,36,CHINA CONSTRUCTION BANK SEOUL BRANCH,SEOUL,None
EVERKRSE,37,CHINA EVERBRIGHT BANK SEOUL BRANCH,SEOUL,None
CHHEKRS1,38,CHO HUNG SECURITIES CORPORATION,SEOUL,None
CSKRKRS1,39,CIMB SECURITIES LTD., KOREA BRANCH,SEOUL,None
CITIKRSXKAK,40,CITIBANK KOREA INC,SEOUL,(CITI KR KAKAO)
CITIKRSXKBA,41,CITIBANK KOREA INC,SEOUL,(CITIBANK KOREA INC  K BANK)
CITIKRSXWLS,42,CITIBANK KOREA INC,SEOUL,(WORLDLINK OPERATION)
CITIKRSX,43,CITIBANK KOREA INC,SEOUL,None
KBSSKRS1,44,CITIGROUP GLOBAL MARKETS KOREA SECURITIES LIMITED,SEOUL,None
CJCCKRSS,45,CJ CHEILJEDANG CORPORATION,SEOUL,None
CLSAKRS1,46,CLSA SECURITIES KOREA LTD.,SEOUL,None
KCGCKRSE,47,CONSTRUCTION GUARANTEE COOPERATIVE,SEOUL,None
CRLYKRSE,48,CREDIT AGRICOLE CIB,SEOUL,None
