swift_code,id,bank,city,branch
ALCVLBBE,1,AL BARAKA BANK S.A.L.,BEIRUT,None
AIIFLBBE,2,AL BILAD ISLAMIC BANK FOR INVESTMENT AND FINANCE PSC,BEIRUT,None
MABALBBE,3,AL MAWARID BANK S.A.L.,BEIRUT,None
ARAILBBE,4,ARAB AFRICAN INTERNATIONAL BANK,BEIRUT,None
ARABLBB10B6,5,ARAB BANK PLC,BEIRUT,(BEIRUT BRANCH)
ARABLBB10B2,6,ARAB BANK PLC,BEIRUT,(DORA BRANCH)
ARABLBBX0B9,7,ARAB BANK PLC,BEIRUT,(HAZMIEH)
ARABLBBX,8,ARAB BANK PLC,BEIRUT,(LEBANON BRANCHES CENTRE)
ARABLBB10B3,9,ARAB BANK PLC,BEIRUT,(MAZRA'A BRANCH)
ARABLBB10B4,10,ARAB BANK PLC,BEIRUT,(RAS BEIRUT BRANCH)
ARABLBBXTBO,11,ARAB BANK PLC,BEIRUT,(TREASURY BACKOFFICE)
ARABLBB10B5,12,ARAB BANK PLC,BEIRUT,(VERDUN BRANCH)
ARABLBB1024,13,ARAB BANK PLC,CHTOURA,(CHTOURA BRANCH)
ARABLBB1026,14,ARAB BANK PLC,JBEIL,(MINA BRANCH)
ARABLBB1022,15,ARAB BANK PLC,JBEIL,(TAL BRANCH)
ARABLBB1025,16,ARAB BANK PLC,JBEIL,(ZAHREIH BRANCH)
ARABLBB1023,17,ARAB BANK PLC,SAIDA,None
ARABLBBX0B7,18,ARAB BANK PLC,SHYAH,(SHYAH BRANCH)
ARABLBBX0B8,19,ARAB BANK PLC,SIN EL-FIL,(SIN EL-FIL BRANCH)
AFCOLBBE,20,ARAB FINANCE CORPORATION SAL,BEIRUT,None
AFHOLBBE,21,ARAB FINANCE HOUSE SAL (ISLAMIC BANK),BEIRUT,None
ARBVLBBE,22,ARAB INVESTMENT BANK SAL,BEIRUT,None
AUSILBBE,23,AUDI INVESTMENT BANK S.A.L.,BEIRUT,None
INFSLBB1,24,AUDI INVESTMENT BANK SAL,BEIRUT,None
BSARLBBX,25,AUDI PRIVATE BANK S.A.L.,BEIRUT,None
LICOLBBX,26,B.L.C. BANK S.A.L.,BEIRUT,None
MADILBL1,27,BANK AL MADINA SAL.,BEIRUT,None
AUDBLBBX,28,BANK AUDI S.A.L.,BEIRUT,None
BABILBBE,29,BANK OF BAGHDAD,BEIRUT,None
BOBPLBBE,30,BANK OF BEIRUT INVEST S.A.L,BEIRUT,None
BABELBBE,31,BANK OF BEIRUT S.A.L.,BEIRUT,None
MEDLLBBX,32,BANKMED,SAL,BEIRUT,None
EUMOLBBE,33,BANQUE BEMO SAL,BEIRUT,None
BCNBLBBE,34,BANQUE DE CREDIT NATIONAL S.A.L.,BEIRUT,None
LHBALBBX,35,BANQUE DE L'HABITAT S.A.L.,BEIRUT,None
NUDTLBB1,36,BANQUE DU CREDIT POPULAIRE S A L,BEIRUT,None
BDLCLBBXACD,37,BANQUE DU LIBAN,BEIRUT,(ACCOUNTING DEPARTMENT)
BDLCLBBXCOD,38,BANQUE DU LIBAN,BEIRUT,(CURRENT OPERATIONS DEPARTMENT)
BDLCLBBXFOD,39,BANQUE DU LIBAN,BEIRUT,(FINANCIAL OPERATIONS DEPARTMENT)
BDLCLBBXFXD,40,BANQUE DU LIBAN,BEIRUT,(FOREIGN EXCHANGE DEPARTMENT)
BDLCLBBXMOF,41,BANQUE DU LIBAN,BEIRUT,(MINISTRY OF FINANCE - TREASURY AND PUBLIC DEBT DIRECTORATE)
BDLCLBBA,42,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBC,43,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBF,44,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBG,45,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBX,46,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBXASA,47,BANQUE DU LIBAN,BEIRUT,None
BDLCLBBXTIA,48,BANQUE DU LIBAN,BEIRUT,None
BJGELBB1,49,BANQUE JOSEPH GEAGEA S A L,BEIRUT,None
BLFSLBBX,50,BANQUE LIBANO FRANCAISE,BEIRUT,None
BMISLBB10B2,51,BANQUE MISR LIBAN S.A.L.,BEIRUT,(MAR ELIAS STREET BRANCH)
BMISLBBE,52,BANQUE MISR LIBAN S.A.L.,BEIRUT,None
BMISLBB1025,53,BANQUE MISR LIBAN S.A.L.,CHTOURA,None
BMISLBB1026,54,BANQUE MISR LIBAN S.A.L.,JOUNIEH,None
BMISLBB1023,55,BANQUE MISR LIBAN S.A.L.,SAIDA,None
BMISLBB1022,56,BANQUE MISR LIBAN S.A.L.,TRIPOLI,None
BMISLBB1024,57,BANQUE MISR LIBAN S.A.L.,ZAHLE,None
BBACLBBX,58,BBAC SAL,BEIRUT,None
XBEYLBB1,59,BEIRUT STOCK EXCHANGE,BEIRUT,None
BEMSLBB1,60,BEMO SECURITISATION SAL,BEIRUT,None
BLOMLBBX,61,BLOM BANK S.A.L.,BEIRUT,None
BDBLLBBE,62,BLOM DEVELOPMENT BANK S.A.L.,BEIRUT,None
BLINLBBE,63,BLOMINVEST BANK S.A.L.,BEIRUT,None
SONBLBBE,64,BSL BANK S.A.L.,BEIRUT,None
BYBALBBX,65,BYBLOS BANK S.A.L.,BEIRUT,None
BYBILBBX,66,BYBLOS INVEST BANK S.A.L.,BEIRUT,None
CEDXLBBE,67,CEDRUS BANK S.A.L.,BEIRUT,None
CIBXLBB2,68,CEDRUS INVEST BANK S.A.L,ACHRAFIEH,None
CIBXLBBE,69,CEDRUS INVEST BANK S.A.L,BEIRUT,None
CITILBBE,70,CITIBANK NA-BEIRUT BRANCH,BEIRUT,None
CDRALBB1,71,COUNCIL FOR DEVELOPMENT AND RECONSTRUCTION,BEIRUT,None
CCFXLBBE,72,CREDIT COMMERCIAL ET FONCIER SAL,BEIRUT,None
CEFVLBB1,73,CREDIT FINANCIER INVEST S.A.L,BEIRUT,None
CRFCLBBE,74,CREDIT FINANCIER SAL.,BEIRUT,None
LIBNLBBE,75,CREDIT LIBANAIS INVESTMENT BANK SAL,BEIRUT,None
CLIBLBBX,76,CREDIT LIBANAIS S.A.L.,BEIRUT,None
CBCBLBBE,77,CREDITBANK SAL,BEIRUT,None
CCSCLBBE,78,CSCBANK SAL,BEIRUT,None
ELBKLBBX,79,EMIRATES LEBANON BANK SAL,BEIRUT,None
FBLELBBX,80,FEDERAL BANK OF LEBANON S A L,BEIRUT,None
BKAWLBBE,81,FENICIA BANK S.A.L.,BEIRUT,None
FFAILBBE,82,FFA PRIVATE BANK S.A.L.,BEIRUT,None
FIDRLBB1,83,FIDUS SAL GROUPE SOCIETE GENERALE DE BANQUE AU LIBAN,BEIRUT,None
FIDRLBBX,84,FIDUS SAL GROUPE SOCIETE GENERALE DE BANQUE AU LIBAN,BEIRUT,None
FBLBLBBX,85,FINANCE BANK,BEIRUT,None
FINKLBBE,86,FIRST NATIONAL BANK S.A.L.,BEIRUT,None
FRAILBBE,87,FRANSA INVEST BANK,BEIRUT,None
FSABLBBX,88,FRANSABANK SAL,BEIRUT,None
HABBLBBE,89,HABIB BANK LIMITED,BEIRUT,None
INLELBBE,90,IBL BANK S.A.L.(FORMERLY INTERCONTINENTAL BANK OF LEBANON S.A.L.),BEIRUT,None
IBLVLBBE,91,IBL INVESTMENT BANK SAL,BEIRUT,None
IBTFLBBE,92,INVEST BANK (P.S.C.),BEIRUT,None
JTBKLBBE,93,JAMMAL TRUST BANK SAL,BEIRUT,None
KAFALBBE,94,KAFALAT S.A.L. GUARANTEES FOR SMALL AND MEDIUM ENTERPRISES,BEIRUT,None
LIBBLBBE,95,LEBANESE ISLAMIC BANK S.A.L.,BEIRUT,None
LEBSLBBX,96,LEBANESE SWISS BANK SAL,BEIRUT,None
LGBALBBE,97,LEBANON AND GULF BANK SAL,BEIRUT,None
LINVLBB1,98,LEBANON INVEST S.A.L,BEIRUT,None
LIBKLBBE,99,LIBANK S.A.L. (LEVANT INVESTMENT BANK),BEIRUT,None
LITELBB1,100,LITEX BANK S A L,BEIRUT,None
LUCILBBX,101,LUCID INVESTMENT BANK S.A.L.,BEIRUT,None
BAMOLBBE,102,MEAB SAL,BEIRUT,None
MECALBBE,103,MECATTAF S.A.L,AWKAR EL METN,None
MIBLLBBX,104,MEDINVESTMENT BANK SAL,BEIRUT,None
MENVLBB1,105,MEDSECURITIES INVESTMENT SAL,BEIRUT,None
MPFSLBB1,106,MERRILL LYNCH PIERCE FENNER AND SMITH (ME) S.A.L.,BEIRUT,None
