swift_code,id,bank,city,branch
HNBSLKLX,1,ACUITY SECURITIES LIMITED,COLOMBO,None
AMNALKLX,2,AMANA BANK PLC,COLOMBO,None
ALSBLKL1,3,ASHA PHILLIP SECURITIES LIMITED,COLOMBO,None
ASIMLKL1,4,ASIA STOCKBROKING AND INVESTMENT MANAGMENT (PVT) LTD,COLOMBO,None
ASSPLKL1,5,ASIAN SECURITIES (PVT) LTD,COLOMBO,None
AXISLKLX,6,AXIS BANK LTD.,COLOMBO,None
BCEYLKLX573,7,BANK OF CEYLON,COLOMBO,(CENTRAL BUS STAND BRANCH)
BCEYLKLX131,8,BANK OF CEYLON,COLOMBO,(FOREIGN CURRENCY BANKING UNIT)
BCEYLKLX618,9,BANK OF CEYLON,COLOMBO,(METROPOLITAN BRANCH)
BCEYLKLX125,10,BANK OF CEYLON,COLOMBO,(NON RESIDENT FOREIGN CURRENCY UNIT)
BCEYLKLXPRI,11,BANK OF CEYLON,COLOMBO,(PRIMARY DEALER UNIT)
BCEYLKLX,12,BANK OF CEYLON,COLOMBO,None
BCEYLKLX002,13,BANK OF CEYLON,KANDY,(SUPER GRADE BRANCH)
BCEYLKLX004,14,BANK OF CEYLON,PETTAH,None
BMSVLKL1,15,BARTLEET MALLORY STOCKBROKERS (PVT) LTD.,COLOMBO,None
SMSPLKL1,16,C T SMITH STOCKBROKERS (PVT) LTD,COLOMBO,None
CALDLKLX,17,CAPITAL ALLIANCE LIMITED,COLOMBO,None
CGRBLKLX,18,CARGILLS BANK LIMITED,COLOMBO,None
CSCSLKL1,19,CDIC SASSOON CUMBERBATCH STOCKBROKERS (PVT) LTD,COLOMBO,None
CBCELKLXEPF,20,CENTRAL BANK OF SRI LANKA,COLOMBO,(EMPLOYEES' PROVIDENT FUND - CBSL)
CBCELKLS,21,CENTRAL BANK OF SRI LANKA,COLOMBO,None
CBCELKLX,22,CENTRAL BANK OF SRI LANKA,COLOMBO,None
CDSPLKLC,23,CENTRAL DEPOSITORY SYSTEMS (PVT) LTD,COLOMBO,None
BATSLKA1,24,CEYLON TOBACCO COMPANY PLC,COLOMBO,None
CITILKLX,25,CITIBANK N.A. SRI LANKA,COLOMBO,None
XCOLLKL1,26,COLOMBO STOCK EXCHANGE,COLOMBO,None
CCEYLKLX,27,COMMERCIAL BANK OF CEYLON PLC,COLOMBO,None
CBPDLKL1,28,COMMERCIAL BANK PRIMARY DEALER LTD.,COLOMBO,None
COSPLKL1,29,COMMERCIAL STOCKBROKERS (PVT) LTD,COLOMBO,None
SASVLKL1,30,DE SILVA AND ABEYWARDENA STOCKBROKERS (PVT) LTD,COLOMBO,None
DEUTLKLX001,31,DEUTSCHE BANK AG, COLOMBO BRANCH,COLOMBO,(COLOMBO BRANCH)
DEUTLKLX,32,DEUTSCHE BANK AG, COLOMBO BRANCH,COLOMBO,None
