swift_code,id,bank,city,branch
USINMK21,1,ARCELORMITTAL SKOPJE (CRM),SKOPJE,None
BDBKMK21,2,BRO-DEAL, INC,SKOPJE,None
POBRMK21,3,BROKER HOUSE POSTEL-BROKER A.D,SKOPJE,None
KBBRMK21,4,BROKERAGE HOUSE KB BROKER INC.SKOPJE,SKOPJE,None
MIBRMK21,5,BROKERAGE HOUSE MAKOS-INVEST BROKER INC,SKOPJE,None
SBSBMK21,6,BROKER-SB A.D. SKOPJE BROKERAGE HOUSE OF STOPANSKA BANKA AD SKOPJE,SKOPJE,None
INPBMK21,7,CAPITAL BANK AD,SKOPJE,None
CECBMK22,8,CENTRAL COOPERATIVE BANK AD SKOPJE,SKOPJE,None
CDHVMK21,9,CENTRAL SECURITIES DEPOSITORY JSC,SKOPJE,None
KIBSMK21,10,CLEARING HOUSE INTERBANK CLEARING SYSTEMS,SKOPJE,None
ESWBMK22,11,EUROSTANDARD BANK AD,SKOPJE,None
FLAMMK21,12,FERSPED - BROKER AD,SKOPJE,None
EXPCMK22,13,HALKBANK AD SKOPJE,SKOPJE,None
HIFDMK21,14,HEALTH INSURANCE FUND OF MACEDONIA,SKOPJE,None
KAPBMK22,15,KAPITAL BANKA AD SKOPJE,SKOPJE,None
KOBSMK2XBTB,16,KOMERCIJALNA BANKA AD SKOPJE,BITOLA,None
KOBSMK2XGVB,17,KOMERCIJALNA BANKA AD SKOPJE,GOSTIVAR,None
KOBSMK2XKVB,18,KOMERCIJALNA BANKA AD SKOPJE,KAVADARCI,None
KOBSMK2XKOB,19,KOMERCIJALNA BANKA AD SKOPJE,KOCANI,None
KOBSMK2XKUB,20,KOMERCIJALNA BANKA AD SKOPJE,KUMANOVO,None
KOBSMK2XOHB,21,KOMERCIJALNA BANKA AD SKOPJE,OHRID,None
KOBSMK2XPRB,22,KOMERCIJALNA BANKA AD SKOPJE,PRILEP,None
KOBSMK2X,23,KOMERCIJALNA BANKA AD SKOPJE,SKOPJE,None
KOBSMK2XSTB,24,KOMERCIJALNA BANKA AD SKOPJE,STIP,None
KOBSMK2XSRB,25,KOMERCIJALNA BANKA AD SKOPJE,STRUMICA,None
KOBSMK2XTEB,26,KOMERCIJALNA BANKA AD SKOPJE,TETOVO,None
KOBSMK2XVEB,27,KOMERCIJALNA BANKA AD SKOPJE,VELES,None
MBDPMK22,28,MACEDONIAN BANK FOR DEVELOPMENT PROMOTION,SKOPJE,None
XMAEMK21,29,MACEDONIAN STOCK EXCHANGE AD,SKOPJE,None
MBBRMK21,30,MAK BROKER AD,SKOPJE,None
PPHVMK21,31,MONEY MARKET AND SHORT-TERM SECURITIES OF THE REP. OF MACEDONIA,SKOPJE,None
NBRMMK2A,32,NATIONAL BANK OF THE REPUBLIC OF MACEDONIA,SKOPJE,None
NBRMMK2X,33,NATIONAL BANK OF THE REPUBLIC OF MACEDONIA,SKOPJE,None
NPKMMK21,34,NATIONAL PAYMENT CARD AD,SKOPJE,None
TUTNMK22,35,NLB BANKA AD SKOPJE,SKOPJE,None
OHRDMK22,36,OHRIDSKA BANKA A.D. SKOPJE,SKOPJE,None
PELAMK21,37,PELAGONISKA BANKA AD,PRILEP,None
PRBUMK22,38,PROCREDIT BANK, MACEDONIA (FORMERLY PRO BUSINESS BANK A.D. SKOPJE),SKOPJE,None
SKBRMK21,39,SAKSES BROKERS INC,SKOPJE,None
KRSKMK2X,40,SILK ROAD BANK AD SKOPJE,SKOPJE,None
INSBMK22,41,SPARKASSE BANK MAKEDONIJA AD SKOPJE,SKOPJE,None
STOBMK2X,42,STOPANSKA BANKA A.D.,SKOPJE,None
STBBMK22,43,STOPANSKA BANKA AD BITOLA,BITOLA,None
BATSMK21,44,TDR SKOPJE D.O.O.E.L.,SKOPJE,None
TTXBMK2X,45,TTK BANKA AD SKOPJE,SKOPJE,None
UIBMMK22,46,UNIVERSAL INVESTMENT BANK AD SKOPJE (UNIBANK),SKOPJE,None
KMBPMK21,47,ZAVOD ZA PLATEN PROMET,SKOPJE,None
ZEMBMK21,48,ZEMJODELSKA BANKA A.D.,SKOPJE,None
