swift_code,id,bank,city,branch
ARGBMNUB,1,ARIG BANK OF MONGOLIA (ARIG BANK LLC),ULAANBAATAR,None
BOMUMNUB,2,BANK OF MONGOLIA, THE,ULAANBAATAR,None
BOGDMNUB,3,BOGD BANK,ULAANBAATAR,None
CBMNMNUB,4,CAPITAL BANK OF MONGOLIA,ULAANBAATAR,None
CPITMNUB,5,CAPITRON BANK,ULAANBAATAR,None
CHKHMNUB,6,CHINGGIS KHAAN BANK,ULAANBAATAR,None
CRMNMNUB,7,CREDIT BANK OF MONGOLIA,ULAANBAATAR,None
DBOMMNUB,8,DEVELOPMENT BANK OF MONGOLIA,ULAANBAATAR,None
GLMTMNUBCUS,9,GOLOMT BANK OF MONGOLIA,ULAANBAATAR,(CUSTODIAN BANKING DEPARTMENT)
GLMTMNUB,10,GOLOMT BANK OF MONGOLIA,ULAANBAATAR,None
AGMOMNUB,11,KHAN BANK OF MONGOLIA,ULAANBAATAR,None
NAIMMNUB,12,NATIONAL INVESTMENT BANK OF MONGOLIA,ULAANBAATAR,None
STBMMNUB,13,STATE BANK,ULAANBAATAR,None
TDBMMNUB,14,TRADE AND DEVELOPMENT BANK OF MONGOLIA,ULAANBAATAR,None
TBOMMNUB,15,TRANSBANK,ULAANBAATAR,None
TRDMMNU1,16,TRANSPORT DEVELOPMENT BANK OF MONGOLIA,ULAANBAATAR,None
CIBMMNUB,17,ULAANBAATAR CITY BANK,ULAANBAATAR,None
CAXBMNUB,18,XACBANK,ULAANBAATAR,None
