swift_code,id,bank,city,branch
BCNINIMA,1,BANCO CENTRAL DE NICARAGUA,MANAGUA,None
BCIENIM1,2,BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,MANAGUA,None
BOFPNIMA,3,BANCO CORPORATIVO, S. A.,MANAGUA,None
BAMCNIMA,4,BANCO DE AMERICA CENTRAL,MANAGUA,None
BCEANIM1,5,BANCO DE CENTRO AMERICA,MANAGUA,None
CRPONIM1,6,BANCO DE CREDITO POPULAR,MANAGUA,None
EXPTNIM1,7,BANCO DE EXPORTACION,MANAGUA,None
BBDFNIMA,8,BANCO DE FINANZAS, S.A.(BDF),MANAGUA,None
BAPRNIMA,9,BANCO DE LA PRODUCCION S.A.,MANAGUA,None
BVISNIM1,10,BANCO DE LA VIVIENDA DE NICARAGUA,MANAGUA,None
BPRENIM1,11,BANCO DE PRESTAMOS,MANAGUA,None
BEUCNIM1,12,BANCO EUROPEO DE CENTRO AMERICA, S.A.,MANAGUA,None
BUNONIMA,13,BANCO FICOHSA NICARAGUA S.A.,MANAGUA,None
BCCENIMA,14,BANCO LAFISE BANCENTRO, S.A.,MANAGUA,None
BMRCNIM1,15,BANCO MERCANTIL,MANAGUA,None
BNDENIM1,16,BANCO NACIONAL DE DESARROLLO,MANAGUA,None
PRCBNIMA,17,BANCO PROCREDIT NICARAGUA,MANAGUA,None
BATSNIM1,18,BRITISH AMERICAN TOBACCO CENTRAL AMERICA S.A., SUCURSAL NICARAGUA,MANAGUA,None
CNVCNIM1,19,CENTRAL NICARAGUEENSE DE VALORES, S.A.,MANAGUA,None
CITINIM1,20,CITIBANK N.A.,MANAGUA,None
