swift_code,id,bank,city,branch
ADBLNPKA,1,AGRICULTURAL DEVELOPMENT BANK LTD,KATHMANDU,None
BOKLNPKA,2,BANK OF KATHMANDU LIMITED,KATHMANDU,None
CCBNNPKA,3,CENTURY COMMERCIAL BANK LIMITED,KATHMANDU,None
CITINPK1,4,CITIBANK N. A.,KATHMANDU,None
CTZNNPKA,5,CITIZENS BANK INTERNATIONAL LIMITED,KATHMANDU,None
CIVLNPKA,6,CIVIL BANK LIMITED,KATHMANDU,None
EVBLNPKA,7,EVEREST BANK LTD.,KATHMANDU,None
GLBBNPKA,8,GLOBAL IME BANK LIMITED,KATHMANDU,None
HIMANPKA,9,HIMALAYAN BANK LTD.,KATHMANDU,None
JBNLNPKA,10,JANATA BANK NEPAL LIMITED,KATHMANDU,None
KDBLNPK1,11,KASTHAMANDAP DEVELOPMENT BANK LTD,KATHMANDU,None
KMBLNPKA,12,KUMARI BANK LTD,KATHMANDU,None
LXBLNPKA,13,LAXMI BANK LIMITED,KATHMANDU,None
MBLNNPKA,14,MACHHAPUCHCHHRE BANK LIMITED,KATHMANDU,None
MBNLNPKA,15,MEGA BANK NEPAL LIMITED,KATHMANDU,None
NARBNPKA,16,NABIL BANK LIMITED,KATHMANDU,None
NPBBNPKA,17,NEPAL BANGLADESH BANK LIMITED,KATHMANDU,None
NEBLNPKA,18,NEPAL BANK LIMITED,KATHMANDU,None
NBOCNPKANRD,19,NEPAL CREDIT AND COMMERCE BANK LTD.,KATHMANDU,(NEW ROAD BRANCH)
NBOCNPKA,20,NEPAL CREDIT AND COMMERCE BANK LTD.,KATHMANDU,None
NIBLNPKT,21,NEPAL INVESTMENT BANK LTD.,KATHMANDU,None
NRBLNPKAFED,22,NEPAL RASTRA BANK,KATHMANDU,(FOREIGN EXCHANGE DEPARTMENT)
NRBLNPKA,23,NEPAL RASTRA BANK,KATHMANDU,None
NSBINPKA001,24,NEPAL SBI BANK LTD., KATHMANDU,KATHMANDU,(BIRGUNJ BRANCH)
NSBINPKA,25,NEPAL SBI BANK LTD., KATHMANDU,KATHMANDU,None
NICENPKA,26,NIC ASIA BANK LIMITED,KATHMANDU,None
NMBBNPKA,27,NMB BANK LTD,KATHMANDU,None
PRVUNPKA,28,PRABHU BANK LTD,KATHMANDU,None
PCBLNPKA,29,PRIME COMMERCIAL BANK LTD,KATHMANDU,None
RBBANPKA,30,RASTRIYA BANIJYA BANK,KATHMANDU,None
SECTNP21,31,SAMSUNG NEPAL SERVICES PRIVATE LIMITED,KATHMANDU,None
SNMANPKA,32,SANIMA BANK LIMITED,KATHMANDU,None
SIDDNPKA,33,SIDDHARTHA BANK LIMITED,KATHMANDU,None
SCBLNPKA,34,STANDARD CHARTERED BANK NEPAL LIMITED,KATHMANDU,None
SRBLNPKA,35,SUNRISE BANK LIMITED,KATHMANDU,None
TDBLNPKA,36,TOURISM DEVELOPMENT BANK LTD.,KATHMANDU,None
