swift_code,id,bank,city,branch
AICNPAP1,1,A.I. CREDIT FUSION INC,PANAMA CITY,None
AIREPAP1,2,AIRBEX SA,CHITRE,None
ALLKPAPA,3,ALLBANK CORP.,PANAMA,None
BACAPAPA,4,ANDBANK (PANAMA), S.A.,PANAMA,None
ARHOPAP1,5,ARGENTARIA HOLDINGS INC,CHITRE,None
ARVNPAP1,6,ARK INVESTMENTS SA,PANAMA CITY,None
ATPFPAP1,7,ASPHALTOS TRADE S.A. PANAMA 9TH FLOOR OFFICE,,PANAMA,None
ATSEPAP1,8,ATLANTIC SECURITY BANK,PANAMA,None
AUBAPAPA,9,AUSTROBANK (OVERSEAS) PANAMA S.A.,PANAMA,None
ACPMPAPA,10,AUTORIDAD DEL CANAL DE PANAMA,PANAMA,None
BCINPAPA,11,BAC INTERNATIONAL BANK, INC.,PANAMA,None
BNASPAP1,12,BANAPREST S.A.,PANAMA,None
BPANPAP1,13,BANCA PRIVADA D'ANDORRA (PANAMA) SA,PANAMA,None
BNGOPAP1,14,BANCLEAR GROUP INC,PANAMA,None
BAWTPAP1,15,BANCLEAR WIRE TRANSFERS INC,PANAMA,None
BAALPAPA,16,BANCO ALIADO, S.A.,PANAMA,None
AZTKPAPA,17,BANCO AZTECA (PANAMA), S.A.,PANAMA,None
COLPPAPA,18,BANCO COLPATRIA MULTIBANCA COLPATRIA, S.A. PANAMA BRANCH,PANAMA,None
CRNMPAP1,19,BANCO CORFICOLOMBIANA (PANAMA) S.A.,PANAMA,None
CRDAPAPA,20,BANCO CREDIT ANDORRA (PANAMA) S.A.,PANAMA,None
CAFEPAPAZLC,21,BANCO DAVIVIENDA (PANAMA), S.A.,COLON,(SUCURSAL ZONA LIBRE)
CAFEPAPA,22,BANCO DAVIVIENDA (PANAMA), S.A.,PANAMA,None
DAVPPAPA,23,BANCO DAVIVIENDA INTERNACIONAL (PANAMA), S.A.,PANAMA CITY,None
BBOGPAPA,24,BANCO DE BOGOTA (PANAMA), S.A.,PANAMA,None
BBOGPAPB,25,BANCO DE BOGOTA S.A,PANAMA,None
BCPLPAPA,26,BANCO DE CREDITO DEL PERU SUCURSAL PANAMA,PANAMA,None
BAXBPAP1,27,BANCO DE LA EXPORTACION (BANEX) S.A.,PANAMA,None
NACNPAPA,28,BANCO DE LA NACION ARGENTINA,PANAMA,None
PRBAPAP1,29,BANCO DE LA PROVINCIA DE BUENOS AIRES,PANAMA,None
OCCIPAPA,30,BANCO DE OCCIDENTE (PANAMA), S.A.,PANAMA,None
PACIPAPX,31,BANCO DEL PACIFICO (PANAMA) S.A.,PANAMA,None
BDSAPAPA,32,BANCO DELTA, S.A.,PANAMA,None
BDISPAP1,33,BANCO DISA,PANAMA,None
BRASPAP1,34,BANCO DO BRASIL, S.A.,PANAMA,None
FCOHPAPA,35,BANCO FICOHSA (PANAMA), S.A.,PANAMA,None
BAGEPAPA,36,BANCO GENERAL S A,PANAMA,None
COSRPAPA,37,BANCO INTERNACIONAL DE COSTA RICA S.A.,PANAMA,None
BCCEPAPA,38,BANCO LAFISE PANAMA,PANAMA,None
BLAEPAPA,39,BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A. (BLADEX),PANAMA CITY,None
NAPAPAPA,40,BANCO NACIONAL DE PANAMA,PANAMA,None
BPTYPAPA,41,BANCO PANAMA S.A.,PANAMA,None
BPVVPAPA,42,BANCO PANAMENO DE LA VIVIENDA,PANAMA,None
PICHPAPA,43,BANCO PICHINCHA PANAMA,PANAMA,None
SCSPPAP1,44,BANCO SANTA CRUZ, S.A.,PANAMA,None
BSCHPAPA,45,BANCO SANTANDER PANAMA, S..A,PANAMA,None
BUNVPAP1,46,BANCO UNIVERSAL S.A.,DAVID,None
COLOPAPA,47,BANCOLOMBIA (PANAMA), S.A.,PANAMA,None
COLOPAPS,48,BANCOLOMBIA SUCURSAL PANAMA,PANAMA,None
NCREPAP1,49,BANCREDITO PANAMA S.A.,PANAMA,None
BANSPAPA,50,BANESCO S.A.,PANAMA,None
GUAYPAPA,51,BANISI, S.A.,PANAMA,None
MIDLPAPACLN,52,BANISTMO S.A,COLON,(COLON BRANCH)
MIDLPAPA,53,BANISTMO S.A,PANAMA,(PANAMA BRANCH)
MIDLPAPA001,54,BANISTMO S.A,PANAMA,(SECURITIES)
BKCHPAPA,55,BANK OF CHINA, PANAMA BRANCH,PANAMA,None
NOSCPAPA,56,BANK OF NOVA SCOTIA, THE,PANAMA,None
BBOLPAPA,57,BBP BANK, S.A.,PANAMA,None
BCTBPAPA,58,BCT BANK INTERNATIONAL, S.A.,PANAMA,None
BHINPAPA,59,BHD INTERNATIONAL BANK (PANAMA), S.A.,PANAMA,None
BIAKPAPA,60,BI-BANK, S.A.,PANAMA CITY,None
XPTYPAP1,61,BOLSA DE VALORES DE PANAMA S.A.,PANAMA,None
