swift_code,id,bank,city,branch
MCRUPHM1,1,1ST MACRO BANK, INC. (A RURAL BANK),PATEROS,None
VADVPHM1,2,1ST VALLEY BANK INC., A DEVELOPMENT BANK,CAGAYAN DE ORO CITY,None
SEUUPHM1,3,A AND A SECURITIES, INC.,MANILA,None
CASUPHM1,4,A.T. DE CASTRO SECURITIES CORPORATION,MANILA,None
AASQPHM1,5,AAA SOUTHEAST EQUITIES INC.,MANILA,None
CAVPPHM1,6,AB CAPITAL AND INVESTMENT CORPORATION,MANILA,None
ACICPHM1,7,ABACUS CAPITAL AND INVESTMENT CORPORATION,PASIG CITY,None
ABAEPHM1,8,ABACUS SECURITIES CORPORATION,MANILA,None
ABTZPH21,9,ABOITIZ EQUITY VENTURES INC.,CEBU,None
AGJSPHM1,10,AGJ SECURITIES CORP.,MANILA,None
AGBUPHM1,11,AGRIBUSINESS RURAL BANK, INC.,PASIG CITY,None
PHSAPHM1,12,AIG-PHILAM SAVINGS BANK, INC,MANILA,None
AIIPPHM1,13,AL-AMANAH ISLAMIC INVESTMENT BANK OF THE PHILIPPINES,MAKATI CITY,None
AASSPHM1,14,ALL ASIA SECURITIES MANAGEMENT CORP.,CEBU,None
AASSPHM10MM,15,ALL ASIA SECURITIES MANAGEMENT CORP.,MANILA,None
ALSGPHM1,16,ALLIED SAVINGS BANK,MAKATI CITY,None
ALPCPHM1,17,ALPHA SECURITIES CORP.,MANILA,None
AMECPHM1,18,AMETHYST SECURITIES CORP.,MANILA,None
AMONPHM1,19,AMON SECURITIES CORP.,MANILA,None
ANGPPHM1,20,ANGPING AND ASSOCIATES,MANILA,None
ANSGPHM1,21,ANSALDO, GODINEZ AND COMPANY, INC.,MANILA,None
ANSCPHM1,22,ANSCOR-HAGEDORN SECURITIES INC.,MANILA,None
ARMEPHM1,23,ARMSTRONG SECURITIES INC.,MANILA,None
ASISPHM1,24,ASI SECURITIES INC.,MANILA,None
APCEPHM1,25,ASIA PACIFIC CAPITAL EQUITIES AND SEC. CORP.,QUEZON CITY,None
AUBKPHMM,26,ASIA UNITED BANK CORPORATION,PASIG CITY,None
ASDBPHMM,27,ASIAN DEVELOPMENT BANK,MANILA,None
AOMSPHM1,28,ASIAN OCEANIC MERIT SECURITIES INC.,MANILA,None
ASESPHM1,29,ASIASEC EQUITIES INC.,MANILA,None
ATDBPHM10M5,30,ASIATRUST BANK,ANTIPOLO,(MASINAG BRANCH)
ATDBPHM10M2,31,ASIATRUST BANK,ANTIPOLO,None
ATDBPHM10M3,32,ASIATRUST BANK,BACOOR,None
ATDBPHM10M4,33,ASIATRUST BANK,CALOOCAN CITY,None
ATDBPHM10MM,34,ASIATRUST BANK,MANILA,(PASONG TAMO BRANCH)
ATDBPHM10MB,35,ASIATRUST BANK,MANILA,(SALCEDO BRANCH)
ATDBPHM10M7,36,ASIATRUST BANK,PASAY CITY,None
ATDBPHM10M8,37,ASIATRUST BANK,QUEZON CITY,(DEL MONTE BRANCH)
ATDBPHM10M6,38,ASIATRUST BANK,QUEZON CITY,(NEW MANILA BRANCH)
ATDBPHM10MA,39,ASIATRUST BANK,QUEZON CITY,(ROOSEVELT BRANCH)
ATDBPHM1,40,ASIATRUST BANK,QUEZON CITY,None
ATDBPHM10MC,41,ASIATRUST BANK,SAN JUAN,None
ATDBPHM10MD,42,ASIATRUST BANK,SANTIAGO,None
ATDBPHM10ME,43,ASIATRUST BANK,TONDO,(TUTUBAN CENTERMALL BRANCH)
ATDBPHM10MF,44,ASIATRUST BANK,VALENZUELA,None
ASDVPHM1,45,ASIATRUST DEVELOPMENT BANK,QUEZON CITY,None
ASTSPHM1,46,ASTRA SECURITIES CORP.,MANILA,None
ATCSPHM1,47,ATC SECURITIES INC.,MANILA,None
ATSCPHM1,48,ATR-KIM ENG SECURITIES, INC,MANILA,None
AURSPHM1,49,AURORA SECURITIES, INC.,MANILA,None
ANZBPHMX,50,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,MAKATI CITY,None
AYALPH22,51,AYALA LAND, INC.,MAKATI CITY,None
BHCHPHM1,52,B. H. CHUA SECURITIES CORPORATION,MANILA,None
BATTPHM1,53,BA SECURITIES INC.,MANILA,None
BRULPHM1,54,BALANGA RURAL BANK, INC.,BALANGA,None
BKRUPHM1,55,BANCO BAKUN, INC. (A RURAL BANK),ITOGON,None
ORSIPHM1,56,BANCO DE ORO SAVINGS BANK, INC.,MAKATI CITY,None
FIAOPHM1,57,BANCO FILIPINO SAVINGS AND MORTGAGE BANK,MANILA,None
SAVRPHM1,58,BANCO SAN VICENTE, INC. (A RURAL BANK),SAN VICENTE,None
BADGPHM1,59,BANCODIPOLOG, INC.,DIPOLOG CITY,None
KARUPHM1,60,BANGKO KABAYAN (A RURAL BANK) INC.,BATANGAS,None
