swift_code,id,bank,city,branch
BFCORERX,1,BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,SAINT DENIS,None
BNPARERXPOR,2,BNP PARIBAS LA REUNION,LE PORT,None
BNPARERX,3,BNP PARIBAS LA REUNION,SAINT DENIS,None
REUBRERX,4,CAISSE D'EPARGNE CEPAC (FORMERLY BANQUE DE LA REUNION),SAINT DENIS,None
CGRARER1,5,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE LA REUNION,SAINT DENIS,None
AGRIRERXLEO,6,CREDIT AGRICOLE,LE PORT,None
AGRIRERX,7,CREDIT AGRICOLE,SAINT DENIS,None
AGRIRERXSNL,8,CREDIT AGRICOLE,SAINT LOUIS,(LA REUNION BRANCH)
OCLRRER1,9,OCEOR LEASE REUNION,SAINT DENIS,None
SODIRER1,10,SOCIETE FINANCIERE POUR LE DEVELOPPEMENT DE LA REUNION,SAINT DENIS,None
SORFRER1,11,SOCIETE REUNIONNAISE DE FINT-SOREFI,SAINT DENIS,None
