swift_code,id,bank,city,branch
BMUSSCSC,1,AL SALAM BANK SEYCHELLES LIMITED,PROVIDENCE MAHE,None
BAHLSCSC,2,BANK AL HABIB LIMITED,VICTORIA,None
BARBSCSC,3,BANK OF BARODA,VICTORIA,None
BCEYSCSC,4,BANK OF CEYLON, SEYCHELLES BRANCH,VICTORIA,None
BARCSCSC,5,BARCLAYS BANK (SEYCHELLES) LTD,VICTORIA,None
BAEZSCS1,6,BARONS DE EZE LIMITED,VICTORIA,None
SSCBSCSC,7,CENTRAL BANK OF SEYCHELLES,VICTORIA,None
HABBSCSC,8,HABIB BANK LIMITED,VICTORIA,None
MARVSCS1,9,MAGNATE PREMIER PRIVATE BANK LIMITED,VICTORIA,None
MCBLSCSC,10,MCB SEYCHELLES,VICTORIA,None
MLLSSCS1,11,MILS CORP LIMITED,PROVIDENCE MAHE,None
NOVHSCSC,12,NOUVOBANQ,VICTORIA,None
INHLSCS1,13,RM INTERNATIONAL HOLDINGS AG,PROVIDENCE MAHE,None
STCBSCSC,14,SBM BANK (SEYCHELLES) LIMITED.,VICTORIA,None
SEYSSCSC,15,SEYCHELLES COMMERCIAL BANK,VICTORIA,None
