swift_code,id,bank,city,branch
MPABSE21,1,24MONEY PAYMENTS AB (PUBL),UPPSALA,None
AAKFSEM1,2,AARHUSKARLSHAMN FINANCE AB,MALMO,None
INUFSES1,3,AB INVESTOR GROUP FINANCE,STOCKHOLM,None
SEFSSEG1,4,AB STENA FINANS,GOTEBORG,None
ABVOSEGG,5,AB VOLVO,GOTHENBURG,None
ABBFSES1,6,ABB AROS FONDKOMMISSION AB,STOCKHOLM,None
APFASES1,7,ABERDEEN PROPERTY FUND MANAGEMENT AB,STOCKHOLM,None
APIISES1,8,ABERDEEN PROPERTY INVESTORS INDIRECT,STOCKHOLM,None
ASNFSES1,9,ABG SECURITIES AS (NORGE), FILIAL STOCKHOLM,STOCKHOLM,None
ABUCSES1,10,ABG SUNDAL COLLIER AB,STOCKHOLM,None
AAMISEG1,11,ABILITY ASSET MANAGEMENT SCANDINAVIA,GOTEBORG,None
ABROSES1,12,A-BROKERS AB.,STOCKHOLM,None
ACCMSES1,13,ACCUMULATE AB,STOCKHOLM,None
AKFTSES1,14,ACTA KAPITALFORVALTNING, FILIAL TILL,STOCKHOLM,None
ADADSES1,15,ADAPTO ADVISORS AB,STOCKHOLM,None
ADKASES1,16,ADVICE KAPITALFORVALTNING AKTIEBOLAG,STOCKHOLM,None
ADKTSES1,17,ADVISOR KAPITALFORVALTNING I STOCKHOLM,STOCKHOLM,None
AFAISES1,18,AFA INSURANCE,STOCKHOLM,None
AGETSE21,19,AGENTA,UDDEVALLA,None
AGIESES1,20,AIG GLOBAL INVESTMENT (EUROPE) LTD UK,STOCKHOLM,None
ELETSES1,21,AKTIEBOLAGET ELECTROLUX,STOCKHOLM,None
AKNVSES1,22,AKTIEBOLAGET NAVIGARE,STOCKHOLM,None
AKSSSES1,23,AKTIEBOLAGET SEK SECURITIES,STOCKHOLM,None
AIVESES1,24,AKTIEINVEST FK AB,STOCKHOLM,None
XSATSES1EMA,25,AKTIETORGET,STOCKHOLM,(SB MM AKTIETORGET)
XSATSES1CNV,26,AKTIETORGET,STOCKHOLM,(SB MM AKTIETORGET-COTR)
XSATSES1,27,AKTIETORGET,STOCKHOLM,None
AABASESSTMS,28,ALANDSBANKEN ABP (FINLAND),SVENSK FILIAL,STOCKHOLM,(TREASURY DEPARTMENT)
AABASESS,29,ALANDSBANKEN ABP (FINLAND),SVENSK FILIAL,STOCKHOLM,None
ALTASESS,30,ALECTA PENSIONSFORSAKRING OMSESIDIGT,STOCKHOLM,None
ALKKSES1,31,ALFA KRAFT AKTIEBOLAG,STOCKHOLM,None
ALKFSES1,32,ALFA KRAFT FONDER AB,STOCKHOLM,None
ALEDSES1,33,ALFRED BERG FONDER AB,STOCKHOLM,None
ALPNSES1,34,ALM AND PARTNERS AB,STOCKHOLM,None
ANNISES1,35,ALNAIR AB,STOCKHOLM,None
ALRPSES1,36,ALPEN RESSOURCEN SPARKASSA,STOCKHOLM,None
ALORSES1,37,ALSBACK FORVALTNING AB,STOCKHOLM,None
ALKSSES1,38,ALTERNATIVA AKTIEMARKNADEN I SVERIGE AB,STOCKHOLM,None
AMFDSES1,39,AMF FONDER AB,STOCKHOLM,None
AMFDSES1AIM,40,AMF FONDER AB,STOCKHOLM,None
