swift_code,id,bank,city,branch
ABANSI2X,1,ABANKA D.D.,LJUBLJANA,None
HAABSI22,2,ADDIKO BANK D.D.,LJUBLJANA,None
ADSVSI21,3,ADRIATIC SLOVENICA,KOPER,None
POPJSI21,4,ALTA INVEST, INVESTICIJSKE STORITVE, D.D.,LJUBLJANA,None
ABPHSI21,5,ARGONOS, BORZNO POSREDNISKA HISA, D.O.O.,LJUBLJANA,None
BSLJSI2XCCB,6,BANK OF SLOVENIA,LJUBLJANA,(CCBM)
BSLJSI2XFNB,7,BANK OF SLOVENIA,LJUBLJANA,(MONEY MARKET AND FOREIGN EXCHANGE ONLY)
BSLJSI2XSCT,8,BANK OF SLOVENIA,LJUBLJANA,(PORAVNAVA SEPA CT)
BSLJSI2XB2B,9,BANK OF SLOVENIA,LJUBLJANA,(PORAVNAVA STEP2 MPEDD - STORITEV B2B)
BSLJSI2XCOR,10,BANK OF SLOVENIA,LJUBLJANA,(PORAVNAVA STEP2 MPEDD - STORITEV CORE)
BSLJSI2XEUX,11,BANK OF SLOVENIA,LJUBLJANA,(TARGET)
BSLJSI2X,12,BANK OF SLOVENIA,LJUBLJANA,None
BSLJSI2XIND,13,BANK OF SLOVENIA,LJUBLJANA,None
BAKOSI2XIBO,14,BANKA INTESA SANPAOLO D.D.,KOPER,(IBOS CODE)
BAKOSI2X,15,BANKA INTESA SANPAOLO D.D.,KOPER,None
KSPKSI22,16,BANKA SPARKASSE D.D.,LJUBLJANA,None
BPHGSI22,17,BANQUECORP PHYSICAL GOLD D.O.O.,LJUBLJANA,None
BFKKSI22,18,BKS BANK AG, BANCNA PODRUZNICA,LJUBLJANA,None
BSPDSI21,19,BROKERJET SPARKASSE-BORZNO POSREDNISKA DRUZBA, D.D.,LJUBLJANA,None
KDDSSI22,20,CENTRAL SECURITIES CLEARING CORPORATION - KDD,LJUBLJANA,None
CEBDSI21,21,CERTIUS BPH D.O.O.,LJUBLJANA,None
HDELSI22,22,DELAVSKA HRANILNICA D.D. LJUBLJANA,LJUBLJANA,None
SZKBSI2X,23,DEZELNA BANKA SLOVENIJE D.D.,LJUBLJANA,None
GBDGSI21,24,GBD GORENJSKA BORZNOPOSREDNISKA DRUZBA D.D.,KRANJ,None
GEIUSI21,25,GENERALI INSURANCE CO.,LJUBLJANA,None
GORESI2X,26,GORENJSKA BANKA D.D., KRANJ,KRANJ,None
GRZASI21,27,GRAWE ZAVAROVALNICA D.D.,MARIBOR,None
HLONSI22,28,HRANILNICA LON D.D.,KRANJ,None
HKVISI22,29,HRANILNICA VIPAVA D.D.,VIPAVA,None
HSKISI21,30,HSBC KIRISH AND CO.,NOVA GORICA,None
ILIISI21,31,ILIRIKA D.D. LJUBLJANA,LJUBLJANA,None
JASMSI21,32,JASMIN MUHIC,VODICE,None
KADRSI21,33,KAPITALSKA DRUZBA,LJUBLJANA,None
KBIZSI21,34,KBM INFOND DZU,MARIBOR,None
FNDDSI21,35,KD FUNDS,LJUBLJANA,None
SKOOSI21,36,KD SKLADI D.O.O.,LJUBLJANA,None
BDDOSI21,37,KD, BORZNOPOSREDNISKA DRUZBA, D.O.O,LJUBLJANA,None
XLJUSI21,38,LJUBLJANA STOCK EXCHANGE,LJUBLJANA,None
MOZVSI21,39,MODRA ZAVAROVALNICA, D.D.,LJUBLJANA,None
MODPSI21,40,MOJA DELNICA BPH D.D.,LJUBLJANA,None
MNPDSI21,41,MOJA NALOZBA POKOJNINSKA DRURBA,MARIBOR,None
BPHBSI21,42,MP BPH D.D.,LJUBLJANA,None
NSUPSI21,43,NLB SKLADI, UPRAVLJANJE PREMOZENJA, D.O.O.,LJUBLJANA,None
KBMASI2X,44,NOVA KREDITNA BANKA MARIBOR D.D.,MARIBOR,None
KREKSI22,45,NOVA KREDITNA BANKA MARIBOR D.D. (FORMERLY KBS BANKA D.D.),MARIBOR,None
LJBASI2X,46,NOVA LJUBLJANSKA BANKA D.D.,LJUBLJANA,None
PAYESI21,47,PAYSERA LT,SLOVENJ GRADEC,None
PEBPSI21,48,PERSPEKTIVA BPD D.D.,LJUBLJANA,None
POBFSI21,49,POTEZA D.D.,LJUBLJANA,None
PFCISI21,50,PRIMORSKI FINANCNI CENTER INTERFIN D.O.O.,KOPER,None
PROZSI21,51,PRVA OSEBNA ZAVAROVALNICA,LJUBLJANA,None
PUBPSI21,52,PUBLIKUM BORZNO POSREDOVANJE,D.D.,LJUBLJANA,None
RSMFSI21,53,REPUBLIKA SLOVENIJA MINISTRSTVO ZA FINANCE,LJUBLJANA,None
SABRSI2X,54,SBERBANK BANKA D.D.,LJUBLJANA,None
SEDJSI21,55,SID-SLOVENE EXPORT AND DEVELOPMENT BANK INC., LJUBLJANA,LJUBLJANA,None
SIDRSI22,56,SID-SLOVENSKA IZVOZNA IN RAZVOJNA BANKA, D.D., LJUBLJANA,LJUBLJANA,None
SKBASI2X,57,SKB BANKA D.D.,LJUBLJANA,None
SDRHSI21,58,SLOVENSKI DRZAVNI HOLDING D.D.,LJUBLJANA,None
TRDRSI21,59,TRIGLAV DRUZBA ZA,LJUBLJANA,None
ZEIMSI21,60,TS ZERON IMPERIAL LTD,CELJE,None
BACXSI22,61,UNICREDIT BANKA SLOVENIJA D.D.,LJUBLJANA,None
VERISI21,62,VERITAS B.H. D.O.O.,MARIBOR,None
ZAMASI21,63,ZAVAROVALNICA MARBOR,MARBOR,None
ZATRSI21,64,ZAVAROVALNICA TRIGLAV D.D.,LJUBLJANA,None
