swift_code,id,bank,city,branch
ABSFSLFR,1,ACCESS BANK SIERRA LEONE LIMITED,FREETOWN,None
APIESLFR,2,APEX BANK SIERRA LEONE LIMITED,FREETOWN,None
BSLESLFA,3,BANK OF SIERRA LEONE,FREETOWN,None
BSLESLFR,4,BANK OF SIERRA LEONE,FREETOWN,None
HFCMSLFR,5,COMMERCE AND MORTGAGE BANK (SL) PLC,FREETOWN,None
ECOCSLFR,6,ECOBANK SIERRA LEONE LIMITED,FREETOWN,None
FSTISLFR,7,FIRST INTERNATIONAL BANK (SL) LIMITED,FREETOWN,None
GTBISLFR,8,GUARANTY TRUST BANK (SL) LTD,FREETOWN,None
ICBZSLFR,9,INTERNATIONAL COMMERCIAL BANK(SL) LIMITED,FREETOWN,None
PHBXSLFR,10,KEYSTONE BANK (SL) LIMITED,FREETOWN,None
NCDBSLF1,11,NATIONAL COOPERATIVE DEVELOPMENT BANK LTD.,FREETOWN,None
RCBKSLFR,12,ROKEL COMMERCIAL BANK (SIERRA LEONE) LTD.,FREETOWN,None
SLCBSLFR,13,SIERRA LEONE COMMERCIAL BANK LTD,FREETOWN,None
SKYESLFR,14,SKYE BANK (SL) LTD,FREETOWN,None
SCBLSLFR,15,STANDARD CHARTERED BANK SIERRA LEONE LTD,FREETOWN,None
UTBSSLFR,16,UNION TRUST BANK LIMITED,FREETOWN,None
UNAFSLFR,17,UNITED BANK FOR AFRICA (S/L) LTD,FREETOWN,None
ZESLSLFR,18,ZENITH BANK (SIERRA LEONE) LIMITED,FREETOWN,None
