swift_code,id,bank,city,branch
AFNASSJB,1,AFRICAN NATIONAL BANK LIMITED,JUBA,None
CCEISSJB,2,AFRILAND FIRST BANK SOUTH SUDAN,JUBA,None
ALROSSJB,3,ALPHA COMMERCIAL BANK LTD,JUBA,None
BSSDSSJB,4,BANK OF SOUTH SUDAN,JUBA,None
BCBJSSJB,5,BUFFALO COMMERCIAL BANK PLC.,JUBA,None
SBICSSJB,6,CFC STANBIC BANK LTD,JUBA,None
COBJSSJB,7,CHARTER ONE BANK,JUBA,None
CBETSSJB,8,COMMERCIAL BANK OF ETHIOPIA-SOUTHERN SUDAN LTD.,JUBA,None
COBLSSJB,9,CO-OPERATIVE BANK OF SOUTH SUDAN,JUBA,None
EBONSSJB,10,EBONY NATIONAL BANK LTD,JUBA,None
ECOCSSJB,11,ECOBANK SOUTH SUDAN LIMITED,JUBA,None
EQBLSSJB,12,EQUITY BANK SOUTHERN SUDAN LIMITED HEAD OFFICE,JUBA,None
ICBJSSJB,13,INTERNATIONAL COMMERCIAL BANK LTD,JUBA,None
IVOJSSJB,14,IVORY BANK PLC HEAD OFFICE JUBA SOUTH SUDAN,JUBA,None
KCBLSSJB,15,KCB BANK SOUTH SUDAN LIMITED,JUBA,None
KUSHSSJB,16,KUSH BANK FOR AGRICULTURE DEVELOPMENT LTD,JUBA,None
MTDBSSJB,17,MOUNTAINS TRADE AND DEVELOPMENT BANK,JUBA,None
NBCPSSJ1,18,NATIONAL COMMERCIAL BANK PLC,JUBA,None
CNABSSJ1,19,NATIONAL CREDIT BANK,JUBA,None
NCBLSSJ1,20,NILE COMMERCIAL BANK LTD,JUBA,None
OBXXSSJB,21,OPPORTUNITY BANK PLC,JUBA,None
QNBASSJB,22,QNB,JUBA,None
RABKSSJ1,23,REGENT AFRICAN BANK,JUBA,None
SSDCSSJB,24,SOUTH SUDAN COMMERCIAL BANK LTD,JUBA,None
SRBASSJB,25,SOUTHERN ROCK BANK,JUBA,None
