swift_code,id,bank,city,branch
ACSCTHB1,1,ACL SECURITIES CO. LTD,BANGKOK,None
ADKSTHB1,2,ADKINSON SECURITIES LTD,BANGKOK,None
ADVNTHB1,3,ADVANCE FINANCE PUBLIC COMPANY LIMITED,BANGKOK,None
ASPCTHB1,4,AEC SECURITIES PUBLIC COMPANY LIMITED,BANGKOK,None
AFCETHB1,5,AFCO SECURITIES CORP LIMITED,BANGKOK,None
AIACTHK1GIO,6,AIA COMPANY LIMITED,BANGKOK,(GENERAL INVESTMENT OPERATIONS)
AIACTHBK,7,AIA COMPANY LIMITED,BANGKOK,None
AFTCTHB1,8,AIG RETAIL BANK PUBLIC CO., LTD,BANGKOK,None
PSSCTHB1,9,AIRA SECURITIES PUBLIC COMPANY LIMITED,BANGKOK,None
AITHTHB1,10,AL ATAS INTERNATIONAL TRADING HOUSE (THAILAND) LIMITED,BANGKOK,None
AEIBTHB1,11,AMERICAN EXPRESS BANK LTD,BANGKOK,None
ASTLTHB1,12,AMSTEEL SECURITIES (THAILAND) PUBLIC CO., LTD,BANGKOK,None
ANZBTHB1,13,ANZ BANK (THAI) PUBLIC COMPANY LIMITED,BANGKOK,None
ANZBTHBK,14,ANZ BANK (THAI) PUBLIC COMPANY LIMITED,BANGKOK,None
AWSCTHB1,15,APPLE WEALTH SECURITIES COMPANY LIMITED,BANGKOK,None
ASCITHB1,16,ASIA CREDIT FONCIER CO., LTD.,BANGKOK,None
ASETTHB1,17,ASIA EQUITY THAILAND LTD,BANGKOK,None
APSOTH21,18,ASIA PLUS SECURITIES COMPANY LTD,BANGKOK,None
AAASTHB1,19,ASIA PLUS SECURITIES PUBLIC COMPANY LIMITED,BANGKOK,None
ASSRTHB1,20,ASIA SECURITIES TRADING CO LTD,BANGKOK,None
CGSTTHB1,21,ASIA WEALTH SECURITIES COMPANY LIMITED,BANGKOK,None
APSSTHB1,22,ASSET PLUS SECURITIES COMPANY LIMITED,BANGKOK,None
AYITTHB1,23,AYUDHYA SECURITIES PUBLIC COMPANY LIMITED,BANGKOK,None
AYITTHB1001,24,AYUDHYA SECURITIES PUBLIC COMPANY LIMITED,BANGKOK,None
BKKBTHBKTRD,25,BANGKOK BANK PUBLIC COMPANY LIMITED,BANGKOK,(BOND TRADING)
BKKBTHBK,26,BANGKOK BANK PUBLIC COMPANY LIMITED,BANGKOK,None
BKKBTHB10BC,27,BANGKOK BANK PUBLIC COMPANY LIMITED,CHIANGMAI,None
BKKBTHB10BP,28,BANGKOK BANK PUBLIC COMPANY LIMITED,PHUKET,None
BKKBTHB10BS,29,BANGKOK BANK PUBLIC COMPANY LIMITED,SONGKHLA,None
CANYTHB1,30,BANGKOK CAPITAL ASSET MANAGEMENT COMPANY LIMITED,BANGKOK,None
BFITTHB1,31,BANGKOK FIRST INVESTMENT AND TRUST PUBLIC COMPANY LIMITED,BANGKOK,None
BIPUTHB1,32,BANGKOK INVESTMENT PUBLIC CO. LTD.,BANGKOK,None
MARHTHB1,33,BANGKOK MASS TRANSIT AUTHORITY,BANGKOK,None
ALCBTHB1,34,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,BANGKOK,None
BAABTHBK,35,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,BANGKOK,None
BOFATH2XTHA,36,BANK OF AMERICA, N.A. BANGKOK,BANGKOK,(BANGKOK BRANCH)
BOFATH2X,37,BANK OF AMERICA, N.A. BANGKOK,BANGKOK,None
AYUDTHBK,38,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,BANGKOK,None
AYUDTHB10BP,39,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,PHUKET,None
AYUDTHB10BS,40,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,SONGKHLA,None
BOTKTHBX,41,BANK OF AYUDHYA PUBLIC COMPANY LIMITED, BANGKOK SATHORN BRANCH (EX -THE BANK OF TOKYO-MITSUBISHI UFJ LTD),BANGKOK,(BANGKOK SATHORN BRANCH)
BKCHTHBK,42,BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,BANGKOK,None
BOTHTHB1ACG,43,BANK OF THAILAND,BANGKOK,(ACCOUNTING GROUP)
BOTHTHB1OP1,44,BANK OF THAILAND,BANGKOK,(BAHTNET OPERATION TEAM 1, PAYMENT SYSTEMS GROUP)
BOTHTHB1OP2,45,BANK OF THAILAND,BANGKOK,(BAHTNET OPERATION TEAM 2, PAYMENT SYSTEMS GROUP)
BOTHTHB1PSG,46,BANK OF THAILAND,BANGKOK,(BAHTNET OPERATION TEAM, PAYMENT SYSTEMS GROUP)
BOTHTHB1DAS,47,BANK OF THAILAND,BANGKOK,(BOT DEPOSITS ACCOUNT MANAGEMENT SERVICES)
BOTHTHB1CAT,48,BANK OF THAILAND,BANGKOK,(BOT DEPOSITS ACCOUNT SERVICES TEAM)
BOTHTHB1NEO,49,BANK OF THAILAND,BANGKOK,(BOT NORTHEASTERN REGIONAL OFFICE)
BOTHTHB1NRO,50,BANK OF THAILAND,BANGKOK,(BOT NORTHERN REGIONAL OFFICE)
BOTHTHB1SRO,51,BANK OF THAILAND,BANGKOK,(BOT SOUTHERN REGIONAL OFFICE)
BOTHTHB1FOC,52,BANK OF THAILAND,BANGKOK,(CREDIT AND REFINANCING DIVISION, FINANCIAL MARKETS OPERATIONS GROUP)
BOTHTHB1DDG,53,BANK OF THAILAND,BANGKOK,(DEPOSITS AND DEBT INSTRUMENTS GROUP)
BOTHTHB1ECH,54,BANK OF THAILAND,BANGKOK,(ELECTRONIC CLEARING HOUSE, PAYMENT SYSTEMS GROUP)
BOTHTHB1FMG,55,BANK OF THAILAND,BANGKOK,(FUND MANAGEMENT GROUP)
BOTHTHB1NIG,56,BANK OF THAILAND,BANGKOK,(NOTE ISSUE GROUP)
BOTHTHB1FOT,57,BANK OF THAILAND,BANGKOK,(TREASURY OPERATIONS DIVISION, F.O.G.)
