swift_code,id,bank,city,branch
CBTUTM2A,1,CENTRAL BANK OF TURKMENISTAN, THE,ASHKHABAD,None
BDAYTM22,2,DAYKHANBANK,ASHKHABAD,None
HALKTM22,3,HALKBANK,ASHKHABAD,None
RYSGTM2A,4,JOINT-STOCK COMMERCIAL BANK RYSGAL,ASHKHABAD,None
NBPATM22,5,NATIONAL BANK OF PAKISTAN,ASHKHABAD,None
SATUTM21,6,SAVINGS BANK OF TURKMENISTAN,ASHKHABAD,None
SENBTM22,7,SENAGAT BANK JSCB,ASHKHABAD,None
SBFETM22,8,STATE BANK FOR FOREIGN ECONOMIC AFFAIRS OF TURKMENISTAN,ASHKHABAD,None
STCGTM21,9,STATE COMMERCIAL BANK 'GARASHSYZLYK ',ASHKHABAD,None
TUTCTM2X,10,TURKMEN TURKISH JOINT STOCK COMMERCIAL BANK,ASHKHABAD,None
TNBKTM2X,11,TURKMENBANK,ASHKHABAD,None
INVATM2X,12,TURKMENBASHIBANK,ASHKHABAD,None
