swift_code,id,bank,city,branch
ADABTRIS,1,ADABANK A.S.,ISTANBUL,None
POYNTRI1,2,AK PORTFOY YONETIMI A.S.,ISTANBUL,None
YAMGTRI1,3,AK YATIRIM MENKUL DE ERLER A.S.,ISTANBUL,None
AKBKTRIS002,4,AKBANK T.A.S.,ADANA,None
AKBKTRIS005,5,AKBANK T.A.S.,ANKARA,None
AKBKTRIS056,6,AKBANK T.A.S.,ANTALYA,None
AKBKTRIS043,7,AKBANK T.A.S.,BURSA,None
AKBKTRIS012,8,AKBANK T.A.S.,DENIZLI,(DENIZLI BRANCH)
AKBKTRIS057,9,AKBANK T.A.S.,GAZIANTEP,None
AKBKTRIS035,10,AKBANK T.A.S.,ISKENDERUN,None
AKBKTRIS004,11,AKBANK T.A.S.,ISTANBUL,(BAHCEKAPI BRANCH)
AKBKTRIS039,12,AKBANK T.A.S.,ISTANBUL,(BEYOGLU BRANCH)
AKBKTRIS019,13,AKBANK T.A.S.,ISTANBUL,(GALATA BRANCH)
AKBKTRIS888,14,AKBANK T.A.S.,ISTANBUL,(INTERNATIONAL OPERATIONS)
AKBKTRIS020,15,AKBANK T.A.S.,ISTANBUL,(KADIKOY BRANCH)
AKBKTRIS192,16,AKBANK T.A.S.,ISTANBUL,(MAIN BRANCH)
AKBKTRIS,17,AKBANK T.A.S.,ISTANBUL,None
AKBKTRIS006,18,AKBANK T.A.S.,IZMIR,None
AKBKTRIS066,19,AKBANK T.A.S.,IZMIT,None
AKBKTRIS999,20,AKBANK T.A.S.,KOCAELI,(TREASURY OPERATIONS)
AKBKTRIS622,21,AKBANK T.A.S.,MERSIN,(MERSIN FREE ZONE BRANCH)
AKBKTRIS018,22,AKBANK T.A.S.,MERSIN,None
AKBKTRIS059,23,AKBANK T.A.S.,SAMSUN,None
AKMDTRI1,24,AKDENIZ MENKUL DE ERLER TICARET A.S.,ISTANBUL,None
AKMETRI1,25,AKS MENKUL DE ERLER AS,ISTANBUL,None
CAYTTRIS,26,AKTIF YATIRIM BANKASI A.S.,ISTANBUL,None
CAYTTRIS001,27,AKTIF YATIRIM BANKASI A.S.,ISTANBUL,None
CAYTTRIS002,28,AKTIF YATIRIM BANKASI A.S.,ISTANBUL,None
CAYTTRIS003,29,AKTIF YATIRIM BANKASI A.S.,ISTANBUL,None
ALMDTRI1,30,ALAN MENKUL DE ERLER AS,ISTANBUL,None
ALSITRI1,31,ALAN SECURITIES INC.,ISTANBUL,None
BTFHTRIS,32,ALBARAKA TURK PARTICIPATION BANK,ISTANBUL,None
