swift_code,id,bank,city,branch
ABCFUGKA,1,ABC CAPITAL BANK LIMITED,KAMPALA,None
ULTXUGK1,2,ALT XCHANGE LIMITED.,KAMPALA,None
AFRIUGKA,3,BANK OF AFRICA-UGANDA LTD.,KAMPALA,None
BARBUGKA,4,BANK OF BARODA (UGANDA) LIMITED,KAMPALA,None
BKIDUGKA,5,BANK OF INDIA (UGANDA) LTD,KAMPALA,None
UGBAUGKABKG,6,BANK OF UGANDA,KAMPALA,(LETTERS OF CREDIT PROCESSING)
UGBAUGKA,7,BANK OF UGANDA,KAMPALA,None
BARCUGKX,8,BARCLAYS BANK OF UGANDA LTD.,KAMPALA,None
BATSUGK1,9,BRITISH AMERICAN TOBACCO UGANDA LTD,KAMPALA,None
CAIEUGKA,10,CAIRO INTERNATIONAL BANK LTD,KAMPALA,None
CERBUGKA,11,CENTENARY RURAL DEVELOPMENT BANK LIMITED,KAMPALA,None
CITIUGKATRD,12,CITIBANK UGANDA LIMITED,KAMPALA,(TRADE SERVICES DEPT)
CITIUGKA,13,CITIBANK UGANDA LIMITED,KAMPALA,None
CBAFUGKA,14,COMMERCIAL BANK OF AFRICA UGANDA LIMITED,KAMPALA,None
COPBUGK1,15,CO-OPERATIVE BANK LTD.,THE,KAMPALA,None
CRANUGKA,16,CRANE BANK LTD,KAMPALA,None
CRKSUGK1,17,CRESTED STOCKS AND SECURITIES LIMITED,KAMPALA,None
DFCUUGKA,18,DFCU BANK LIMITED,KAMPALA,None
DTKEUGKA,19,DIAMOND TRUST BANK UGANDA LIMITED,KAMPALA,None
AFDEUGKA,20,EAST AFRICAN DEVELOPMENT BANK,KAMPALA,None
ECOCUGKA,21,ECOBANK UGANDA,KAMPALA,None
ENCOUGK1,22,ENGIPLAN CONSULTANTS,KAMPALA,None
EQBLUGKA,23,EQUITY BANK UGANDA LTD,KAMPALA,None
EQSBUGK1,24,EQUITY STOCK BROKERS,KAMPALA,None
EXTNUGKA,25,EXIM BANK (UGANDA) LIMITED,KAMPALA,None
FTBLUGKA,26,FINANCE TRUST BANK LTD,KAMPALA,None
GOLTUGK1,27,GOLD TRUST BANK,KAMPALA,None
GTBIUGKA,28,GUARANTY TRUST BANK (UGANDA) LTD,KAMPALA,None
HFINUGKA,29,HOUSING FINANCE BANK LTD.,KAMPALA,None
ICFBUGK1,30,INTERNATIONAL CREDIT BANK LTD.,KAMPALA,None
KCBLUGKA,31,KCB BANK UGANDA LIMITED,KAMPALA,None
TRARUGK1,32,M/D TRANS AFRICA BANK,KAMPALA,None
MBRSUGK1,33,MBEA BROKERAGE SERVICES (U) LIMITED,KAMPALA,None
MCBDUGK1,34,MERCANTILE CREDIT BANK LTD,KAMPALA,None
NINCUGKA,35,NC BANK UGANDA LIMITED,KAMPALA,None
NLBKUGK1,36,NILE BANK LTD,KAMPALA,None
ORINUGKA,37,ORIENT BANK LIMITED,KAMPALA,None
UGPBUGKA,38,POSTBANK UGANDA LIMITED,KAMPALA,None
SABMUGT1,39,SABMILLER UGANDA,KAMPALA,None
SABMUGT1NBL,40,SABMILLER UGANDA,KAMPALA,None
SABMUGT1RBL,41,SABMILLER UGANDA,KAMPALA,None
SBICUGKX,42,STANBIC BANK UGANDA LIMITED,KAMPALA,None
SCBLUGKASSU,43,STANDARD CHARTERED BANK UGANDA LIMITED,KAMPALA,(SECURITIES SERVICES UNIT)
SCBLUGKA,44,STANDARD CHARTERED BANK UGANDA LIMITED,KAMPALA,None
TOPFUGKA,45,TOP FINANCE BANK LIMITED,KAMPALA,None
LAUBUGK1,46,TROPICAL BANK LIMITED,KAMPALA,None
TROAUGKA,47,TROPICAL BANK LTD,KAMPALA,None
TRBAUGK1,48,TRUST BANK (UGANDA) LIMITED,KAMPALA,None
UIDBUGK1,49,UGANDA INSTITUTE OF BANKERS,KAMPALA,None
USCDUGKA,50,UGANDA SECURITIES EXCHANGE LTD,KAMPALA,None
UNAFUGKA,51,UNITED BANK FOR AFRICA (UGANDA) LTD,KAMPALA,None
