swift_code,id,bank,city,branch
AFAAUYM1,1,AFINIDAD A.F.A.P.S.A.,MONTEVIDEO,None
LMARUYMT,2,ALMAR S.A.,MONTEVIDEO,None
ANTLUYM1,3,ANTEL,MONTEVIDEO,None
BBVAUYMM,4,BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.,MONTEVIDEO,None
CBCUUYMD,5,BANCO CENTRAL DEL URUGUAY,MONTEVIDEO,None
CBCUUYMF,6,BANCO CENTRAL DEL URUGUAY,MONTEVIDEO,None
CBCUUYMM,7,BANCO CENTRAL DEL URUGUAY,MONTEVIDEO,None
CBCUUYMMFGD,8,BANCO CENTRAL DEL URUGUAY,MONTEVIDEO,None
CBCUUYMMGPA,9,BANCO CENTRAL DEL URUGUAY,MONTEVIDEO,None
NACNUYMM,10,BANCO DE LA NACION ARGENTINA,MONTEVIDEO,None
BROUUYMM,11,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,MONTEVIDEO,None
BPSOUYM1,12,BANCO DE PREVISION SOCIAL,MONTEVIDEO,None
BSEMUYM1,13,BANCO DE SEGUROS DEL ESTADO,MONTEVIDEO,None
BHUMUYM1,14,BANCO HIPOTECARIO DEL URUGUAY,MONTEVIDEO,None
ITAUUYMM,15,BANCO ITAU,MONTEVIDEO,None
BPATUYMM,16,BANCO PATAGONIA (URUGUAY) S.A.I.F.E.,PUNTA DEL ESTE,None
BSCHUYMM,17,BANCO SANTANDER,MONTEVIDEO,None
CFACUYMM,18,BANDES URUGUAY S.A.,MONTEVIDEO,None
SURIUYMM,19,BANQUE HERITAGE (URUGUAY) S.A.,MONTEVIDEO,None
PRBAUYMM,20,BAPRO URUGUAY,MONTEVIDEO,None
BCURUYM1,21,BCC CREDIT AND FINANCE (URUGUAY) S.A.,MONTEVIDEO,None
XMNTUYM1,22,BOLSA DE VALORES DE MONTEVIDEO,MONTEVIDEO,None
CJPBUYM1,23,CAJA DE JUB. Y PENS. BANCARIAS,MONTEVIDEO,None
CJPPUYM1,24,CAJA DE JUB. Y PENS. PROFESION. UNIVERS.,MONTEVIDEO,None
CJNOUYM1,25,CAJA NOTARIAL DE JUBILACIONES Y PENS.,MONTEVIDEO,None
REGLUYM1,26,CAMBIO REGIONAL S.A.,MONTEVIDEO,None
CFCOUYM1,27,CENTRO FINANCIERO COOPERATIVO,MONTEVIDEO,None
CHMIUYM1,28,CHASE MANHATTAN INVESTMENTS S.A.,MONTEVIDEO,None
CITIUYMMCOL,29,CITIBANK N.A. URUGUAY,COLONIA,None
CITIUYMM,30,CITIBANK N.A. URUGUAY,MONTEVIDEO,None
CITIUYMMPDE,31,CITIBANK N.A. URUGUAY,PUNTA DEL ESTE,None
COLUUYMM,32,COLUMBUSNET S.A.,MONTEVIDEO,None
