swift_code,id,bank,city,branch
EKOMXKPR,1,BANKA EKONOMIKE SH.A,PRISTINA,None
NCBAXKPR,2,BANKA KOMBETARE TREGTARE SH.A,PRISTINA,None
BPBXXKPR,3,BANKA PER BIZNES SH.A.,PRISTINA,None
CBRKXKPR,4,CENTRAL BANK OF THE REPUBLIC OF KOSOVO,PRISTINA,None
JJKMXK21,5,JUGOBANKA, JUGOBANKA A.D. KOSOVSKA MITROVICA,KOSOVSKA MITROVICA,None
NLPRXKPR,6,NLB PRISHTINA SH.A.,PRISTINA,None
MBKOXKPR,7,PROCREDIT BANK KOSOVO (FORMERLY MICRO ENTERPRISE BANK, PRISTINA, KOSOVO),PRISTINA,None
RBKOXKPR,8,RAIFFEISEN BANK KOSOVO,PRISTINA,None
TEBKXKPR030,9,TEB SHA,KLINA,(KLINA)
TEBKXKPR020,10,TEB SHA,PRISTINA,(DARDANIA)
TEBKXKPR024,11,TEB SHA,PRISTINA,(DRENAS)
TEBKXKPR013,12,TEB SHA,PRISTINA,(FERIZAJ)
TEBKXKPR014,13,TEB SHA,PRISTINA,(FUSHE KOSOVA)
TEBKXKPR018,14,TEB SHA,PRISTINA,(GJAKOVA)
TEBKXKPR017,15,TEB SHA,PRISTINA,(GJILAN)
TEBKXKPR029,16,TEB SHA,PRISTINA,(HANI ELEZIT)
TEBKXKPR026,17,TEB SHA,PRISTINA,(LYPJAN)
TEBKXKPR011,18,TEB SHA,PRISTINA,(MAIN)
TEBKXKPR023,19,TEB SHA,PRISTINA,(MALISHEVA)
TEBKXKPR027,20,TEB SHA,PRISTINA,(MITROVICA)
TEBKXKPR031,21,TEB SHA,PRISTINA,(PEJA CITY OFFICE)
TEBKXKPR015,22,TEB SHA,PRISTINA,(PEJA)
TEBKXKPR034,23,TEB SHA,PRISTINA,(PRISTINA QENDRA)
TEBKXKPR028,24,TEB SHA,PRISTINA,(PRIZREN MAIN)
TEBKXKPR033,25,TEB SHA,PRISTINA,(QAFA CITY OFFICE)
TEBKXKPR019,26,TEB SHA,PRISTINA,(RAHOVEC)
TEBKXKPR012,27,TEB SHA,PRISTINA,(SHADERVAN)
TEBKXKPR022,28,TEB SHA,PRISTINA,(SKENDERAJ)
TEBKXKPR025,29,TEB SHA,PRISTINA,(THERANDA)
TEBKXKPR021,30,TEB SHA,PRISTINA,(ULPIANA)
TEBKXKPR016,31,TEB SHA,PRISTINA,(VUSHTRRI)
TEBKXKPR,32,TEB SHA,PRISTINA,None
TCZBXKPR,33,TURKIYE CUMHURIYETI ZIRAAT BANKASI,PRISTINA,None
ISBKXKPR,34,TURKIYE IS BANKASI A.S. ALL KOSOVO BRANCHES,PRISTINA,None
